"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~4세","2017년_계_5~9세","2017년_계_10~14세","2017년_계_15~19세","2017년_계_20~24세","2017년_계_25~29세","2017년_계_30~34세","2017년_계_35~39세","2017년_계_40~44세","2017년_계_45~49세","2017년_계_50~54세","2017년_계_55~59세","2017년_계_60~64세","2017년_계_65~69세","2017년_계_70~74세","2017년_계_75~79세","2017년_계_80~84세","2017년_계_85~89세","2017년_계_90~94세","2017년_계_95~99세","2017년_계_100세 이상"
"부산광역시 중구 (2611000000)","12,208","12,208","0","1","6","39","435","985","756","666","766","1,046","1,010","1,375","1,475","1,129","857","790","447","236","102","33","54"
"부산광역시 서구 (2614000000)","23,106","23,106","0","4","4","89","1,316","1,591","1,095","1,210","1,198","1,659","1,939","2,580","2,642","2,221","1,791","1,784","1,100","539","196","56","92"
"부산광역시 동구 (2617000000)","19,946","19,946","1","4","9","27","416","1,070","1,061","1,057","1,163","1,630","1,659","2,300","2,338","1,975","1,659","1,662","1,104","531","161","44","75"
"부산광역시 영도구 (2620000000)","21,451","21,451","0","1","10","46","523","783","737","937","1,144","1,653","1,830","2,634","2,748","2,295","2,075","1,962","1,238","517","174","60","84"
"부산광역시 부산진구 (2623000000)","66,369","66,369","1","4","10","207","4,063","7,151","5,582","4,923","4,255","5,053","4,923","6,525","6,277","5,113","4,050","4,098","2,435","1,083","333","107","176"
"부산광역시 동래구 (2626000000)","33,592","33,592","0","6","4","56","958","2,297","2,280","2,479","2,322","2,707","2,789","3,896","3,918","3,053","2,432","2,137","1,303","617","185","55","98"
"부산광역시 남구 (2629000000)","37,980","37,980","3","9","7","221","2,696","3,459","2,325","2,269","2,416","2,995","2,736","3,751","3,850","3,183","2,787","2,583","1,588","724","229","56","93"
"부산광역시 북구 (2632000000)","35,294","35,294","2","7","7","87","926","1,989","2,022","2,210","2,214","2,949","3,229","4,482","4,332","3,319","2,638","2,457","1,523","658","156","32","55"
"부산광역시 해운대구 (2635000000)","50,473","50,473","6","16","24","100","1,341","3,257","3,689","3,976","3,814","4,548","4,341","5,275","5,374","4,337","3,423","3,348","2,183","959","289","65","108"
"부산광역시 사하구 (2638000000)","44,745","44,745","3","19","8","144","1,697","2,767","2,878","3,100","2,870","3,866","4,017","5,298","5,151","3,886","3,186","2,897","1,719","769","275","69","126"
"부산광역시 금정구 (2641000000)","38,091","38,091","0","6","9","375","3,369","3,434","2,202","2,159","2,270","2,795","2,960","3,950","3,952","3,091","2,493","2,416","1,551","699","208","54","98"
"부산광역시 강서구 (2644000000)","16,180","16,180","1","4","0","28","382","1,137","1,613","1,545","1,273","1,447","1,487","1,927","1,725","1,179","858","773","444","232","74","21","30"
"부산광역시 연제구 (2647000000)","28,424","28,424","1","5","6","74","1,074","2,202","2,221","2,106","1,919","2,341","2,284","3,141","3,167","2,408","1,903","1,723","1,104","510","146","48","41"
"부산광역시 수영구 (2650000000)","30,254","30,254","0","2","10","84","1,349","3,313","2,979","2,569","2,097","2,402","2,141","2,817","2,834","2,338","1,847","1,621","1,096","544","140","32","39"
"부산광역시 사상구 (2653000000)","34,099","34,099","6","17","8","106","1,367","2,166","2,004","2,179","2,275","3,090","3,568","4,595","3,877","3,007","2,125","1,950","1,128","435","123","26","47"
"부산광역시 기장군 (2671000000)","21,311","21,311","0","1","2","37","480","1,343","1,510","1,814","1,732","1,892","1,778","2,356","2,252","1,863","1,473","1,295","832","443","142","43","23"
