"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상"
"부산광역시 중구 (2611000000)","13,800","13,800","1","48","2,142","1,634","1,650","2,357","2,924","1,907","885","191","61","6,713","6,713","0","17","926","975","1,043","1,387","1,413","676","210","56","10","7,087","7,087","1","31","1,216","659","607","970","1,511","1,231","675","135","51"
"부산광역시 서구 (2614000000)","25,428","25,428","4","111","3,756","2,401","2,680","4,343","5,512","4,072","2,126","317","106","11,709","11,709","2","36","1,523","1,391","1,651","2,649","2,573","1,305","481","68","30","13,719","13,719","2","75","2,233","1,010","1,029","1,694","2,939","2,767","1,645","249","76"
"부산광역시 동구 (2617000000)","22,467","22,467","8","37","2,155","2,550","2,682","3,908","4,959","3,696","2,085","299","88","10,703","10,703","2","21","950","1,533","1,726","2,473","2,404","1,118","394","56","26","11,764","11,764","6","16","1,205","1,017","956","1,435","2,555","2,578","1,691","243","62"
"부산광역시 영도구 (2620000000)","23,453","23,453","6","51","1,559","1,680","2,580","4,371","5,886","4,604","2,317","296","103","11,292","11,292","4","28","942","1,064","1,652","2,805","2,850","1,366","490","63","28","12,161","12,161","2","23","617","616","928","1,566","3,036","3,238","1,827","233","75"
"부산광역시 부산진구 (2623000000)","76,432","76,432","3","241","15,788","12,015","9,092","11,274","13,411","9,126","4,676","608","198","35,136","35,136","0","93","6,636","6,750","5,297","6,542","5,985","2,675","978","141","39","41,296","41,296","3","148","9,152","5,265","3,795","4,732","7,426","6,451","3,698","467","159"
"부산광역시 동래구 (2626000000)","38,717","38,717","2","65","4,406","5,530","5,153","6,520","8,538","5,422","2,627","339","115","17,595","17,595","0","26","2,015","3,217","3,038","3,530","3,486","1,612","576","79","16","21,122","21,122","2","39","2,391","2,313","2,115","2,990","5,052","3,810","2,051","260","99"
"부산광역시 남구 (2629000000)","43,357","43,357","8","217","8,498","5,244","5,212","6,435","8,184","6,042","3,013","389","115","20,126","20,126","3","89","4,297","3,284","3,147","3,616","3,334","1,616","629","93","18","23,231","23,231","5","128","4,201","1,960","2,065","2,819","4,850","4,426","2,384","296","97"
"부산광역시 북구 (2632000000)","39,663","39,663","10","72","3,449","4,398","4,808","7,632","9,739","6,164","3,013","311","67","18,860","18,860","7","30","1,844","2,875","3,100","4,220","4,231","1,870","618","51","14","20,803","20,803","3","42","1,605","1,523","1,708","3,412","5,508","4,294","2,395","260","53"
"부산광역시 해운대구 (2635000000)","58,018","58,018","26","112","6,220","8,523","8,503","10,026","11,755","7,999","4,177","550","127","24,985","24,985","11","58","2,776","4,694","4,619","5,056","4,694","2,141","791","110","35","33,033","33,033","15","54","3,444","3,829","3,884","4,970","7,061","5,858","3,386","440","92"
"부산광역시 사하구 (2638000000)","51,458","51,458","15","177","6,286","5,910","6,677","9,430","11,563","7,328","3,464","467","141","25,863","25,863","9","78","3,490","3,930","4,380","5,615","5,218","2,287","740","86","30","25,595","25,595","6","99","2,796","1,980","2,297","3,815","6,345","5,041","2,724","381","111"
"부산광역시 금정구 (2641000000)","43,856","43,856","4","230","9,060","4,988","4,781","6,918","8,668","5,718","3,000","377","112","20,847","20,847","4","85","4,839","3,136","2,893","3,831","3,620","1,705","633","76","25","23,009","23,009","0","145","4,221","1,852","1,888","3,087","5,048","4,013","2,367","301","87"
"부산광역시 강서구 (2644000000)","20,691","20,691","1","47","2,506","4,193","3,324","3,697","3,892","1,999","849","149","34","12,610","12,610","0","27","1,560","3,106","2,398","2,374","2,103","846","166","21","9","8,081","8,081","1","20","946","1,087","926","1,323","1,789","1,153","683","128","25"
"부산광역시 연제구 (2647000000)","33,847","33,847","4","70","4,787","5,010","4,452","5,443","6,995","4,578","2,163","288","57","14,960","14,960","2","29","1,948","2,848","2,476","2,869","2,886","1,356","474","59","13","18,887","18,887","2","41","2,839","2,162","1,976","2,574","4,109","3,222","1,689","229","44"
"부산광역시 수영구 (2650000000)","35,828","35,828","8","83","6,898","6,498","4,731","4,893","6,056","4,212","2,126","277","46","15,474","15,474","3","32","2,843","3,552","2,580","2,472","2,311","1,180","440","53","8","20,354","20,354","5","51","4,055","2,946","2,151","2,421","3,745","3,032","1,686","224","38"
"부산광역시 사상구 (2653000000)","38,706","38,706","22","142","4,933","4,332","4,858","8,129","8,809","5,012","2,188","229","52","20,089","20,089","13","53","2,423","2,811","3,265","5,199","4,230","1,609","446","36","4","18,617","18,617","9","89","2,510","1,521","1,593","2,930","4,579","3,403","1,742","193","48"
"부산광역시 기장군 (2671000000)","26,544","26,544","2","42","2,601","4,053","4,203","4,621","5,409","3,580","1,750","254","29","13,367","13,367","0","18","1,442","2,693","2,580","2,623","2,410","1,187","369","39","6","13,177","13,177","2","24","1,159","1,360","1,623","1,998","2,999","2,393","1,381","215","23"
