"행정구역","2023년12월_전체세대","2023년12월_1인세대","2023년12월_2인세대","2023년12월_3인세대","2023년12월_4인세대","2023년12월_5인세대","2023년12월_6인세대","2023년12월_7인세대","2023년12월_8인세대","2023년12월_9인세대","2023년12월_10인이상세대"
"부산광역시  (2600000000)","1,564,588","650,239","407,820","266,830","187,978","41,343","7,845","1,768","463","156","146"
"부산광역시 중구 (2611000000)","23,747","14,674","5,278","2,291","1,136","281","64","15","4","1","3"
"부산광역시 서구 (2614000000)","53,630","26,085","13,426","7,820","4,779","1,190","242","59","12","7","10"
"부산광역시 동구 (2617000000)","47,428","24,207","12,143","6,408","3,598","852","162","44","8","2","4"
"부산광역시 영도구 (2620000000)","54,293","24,659","15,363","7,979","4,782","1,167","269","50","16","3","5"
"부산광역시 부산진구 (2623000000)","181,914","85,125","45,761","27,646","18,381","3,961","814","169","36","15","6"
"부산광역시 동래구 (2626000000)","119,706","42,932","31,071","23,073","18,045","3,710","654","147","41","13","20"
"부산광역시 남구 (2629000000)","118,427","47,609","30,776","20,651","15,195","3,336","628","159","47","11","15"
"부산광역시 북구 (2632000000)","123,082","43,789","34,514","23,781","16,665","3,518","636","131","34","9","5"
"부산광역시 해운대구 (2635000000)","169,532","60,896","45,224","32,897","24,136","5,023","1,002","246","68","26","14"
"부산광역시 사하구 (2638000000)","140,764","56,770","38,069","24,628","16,816","3,608","664","138","41","17","13"
"부산광역시 금정구 (2641000000)","105,906","47,015","27,392","16,983","11,230","2,579","513","128","39","9","18"
"부산광역시 강서구 (2644000000)","62,238","23,747","13,727","11,507","10,371","2,381","388","88","19","6","4"
"부산광역시 연제구 (2647000000)","95,873","37,786","25,539","17,221","12,189","2,544","450","106","27","8","3"
"부산광역시 수영구 (2650000000)","88,299","41,182","22,714","13,468","8,330","2,021","447","96","19","13","9"
"부산광역시 사상구 (2653000000)","100,003","43,726","26,639","16,198","10,587","2,322","412","83","25","7","4"
"부산광역시 기장군 (2671000000)","79,746","30,037","20,184","14,279","11,738","2,850","500","109","27","9","13"
