"행정구역","2017년12월_전체세대","2017년12월_1인세대","2017년12월_2인세대","2017년12월_3인세대","2017년12월_4인세대","2017년12월_5인세대","2017년12월_6인세대","2017년12월_7인세대","2017년12월_8인세대","2017년12월_9인세대","2017년12월_10인이상세대"
"전국  (1000000000)","21,632,851","7,725,203","4,734,928","3,959,421","3,855,145","1,043,118","234,136","57,025","15,225","4,633","4,017"
"서울특별시  (1100000000)","4,220,082","1,608,998","867,814","776,452","735,420","176,927","40,051","10,106","2,772","897","645"
"부산광역시  (2600000000)","1,467,555","513,523","344,340","280,666","247,514","62,899","14,087","3,246","813","250","217"
"대구광역시  (2700000000)","1,006,753","327,800","225,525","199,211","193,180","48,091","10,006","2,173","498","136","133"
"인천광역시  (2800000000)","1,188,917","386,809","254,920","236,649","234,759","59,283","12,433","2,907","759","227","171"
"광주광역시  (2900000000)","592,818","201,069","125,870","110,890","110,524","35,261","7,066","1,527","387","123","101"
"대전광역시  (3000000000)","614,639","212,004","130,377","115,300","115,524","32,234","6,949","1,578","449","110","114"
"울산광역시  (3100000000)","458,547","139,775","96,840","93,303","99,643","23,316","4,335","952","260","68","55"
"세종특별자치시  (3600000000)","109,490","35,209","21,587","20,821","22,946","6,864","1,524","397","95","30","17"
"경기도  (4100000000)","5,131,379","1,673,349","1,049,823","995,063","1,065,293","270,394","58,080","13,714","3,802","1,070","791"
"강원도  (4200000000)","700,265","286,315","167,704","112,271","94,341","29,494","7,549","1,884","446","140","121"
"충청북도  (4300000000)","692,140","266,072","161,381","114,637","106,685","32,929","7,797","1,881","459","154","145"
"충청남도  (4400000000)","923,499","360,418","215,040","149,198","140,006","44,061","10,732","2,874","741","216","213"
"전라북도  (4500000000)","797,916","302,551","191,464","129,785","116,438","42,558","10,664","2,950","859","311","336"
"전라남도  (4600000000)","851,376","349,575","208,836","127,158","108,491","41,829","10,966","3,053","867","280","321"
"경상북도  (4700000000)","1,193,261","464,248","292,583","197,453","172,473","50,051","12,155","3,005","793","238","262"
"경상남도  (4800000000)","1,406,011","488,224","322,910","255,210","250,113","69,348","15,189","3,535","909","271","302"
"제주특별자치도  (5000000000)","278,203","109,264","57,914","45,354","41,795","17,579","4,553","1,243","316","112","73"
