"행정구역","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~4세","2019년_계_5~9세","2019년_계_10~14세","2019년_계_15~19세","2019년_계_20~24세","2019년_계_25~29세","2019년_계_30~34세","2019년_계_35~39세","2019년_계_40~44세","2019년_계_45~49세","2019년_계_50~54세","2019년_계_55~59세","2019년_계_60~64세","2019년_계_65~69세","2019년_계_70~74세","2019년_계_75~79세","2019년_계_80~84세","2019년_계_85~89세","2019년_계_90~94세","2019년_계_95~99세","2019년_계_100세 이상"
"부산광역시 중구 (2611000000)","12,837","12,837","0","3","3","46","575","1,197","790","633","657","980","1,053","1,300","1,545","1,224","955","837","552","249","138","41","59"
"부산광역시 서구 (2614000000)","24,442","24,442","1","2","7","122","1,480","1,916","1,178","1,160","1,138","1,572","1,904","2,534","2,805","2,426","2,012","1,887","1,294","602","239","63","100"
"부산광역시 동구 (2617000000)","21,403","21,403","1","8","3","26","498","1,445","1,204","1,159","1,066","1,602","1,740","2,169","2,577","2,110","1,784","1,753","1,282","621","225","46","84"
"부산광역시 영도구 (2620000000)","22,459","22,459","1","5","5","59","553","793","707","914","1,055","1,534","1,893","2,517","3,002","2,483","2,296","2,153","1,480","612","226","75","96"
"부산광역시 부산진구 (2623000000)","70,508","70,508","2","2","11","252","4,804","8,523","5,916","4,846","3,954","4,886","5,128","5,987","6,968","5,499","4,583","4,188","2,901","1,283","457","132","186"
"부산광역시 동래구 (2626000000)","36,051","36,051","1","2","7","73","1,018","2,669","2,562","2,563","2,253","2,759","2,860","3,609","4,318","3,496","2,676","2,387","1,593","791","230","73","111"
"부산광역시 남구 (2629000000)","40,871","40,871","2","5","9","289","3,342","4,000","2,514","2,452","2,296","2,887","2,947","3,474","4,202","3,446","3,012","2,836","1,829","849","304","68","108"
"부산광역시 북구 (2632000000)","37,859","37,859","1","8","6","54","941","2,185","2,083","2,166","2,065","2,783","3,359","4,399","5,059","3,880","3,036","2,788","1,808","875","253","47","63"
"부산광역시 해운대구 (2635000000)","54,794","54,794","5","22","25","99","1,486","3,952","3,889","4,205","3,732","4,586","4,599","5,353","5,958","4,852","3,943","3,680","2,578","1,214","395","100","121"
"부산광역시 사하구 (2638000000)","48,953","48,953","4","13","18","205","2,225","3,315","2,847","3,058","2,866","3,731","4,216","5,307","5,886","4,702","3,715","3,162","2,192","945","329","80","137"
"부산광역시 금정구 (2641000000)","41,618","41,618","1","5","8","373","4,021","4,072","2,391","2,182","2,094","2,754","3,050","3,871","4,486","3,588","2,879","2,615","1,878","917","263","63","107"
"부산광역시 강서구 (2644000000)","18,730","18,730","2","1","3","41","497","1,598","1,801","1,909","1,464","1,565","1,626","1,898","2,074","1,438","991","861","520","281","100","31","29"
"부산광역시 연제구 (2647000000)","31,774","31,774","0","4","4","93","1,330","2,848","2,426","2,281","1,942","2,399","2,485","2,970","3,533","2,878","2,314","2,014","1,316","632","202","53","50"
"부산광역시 수영구 (2650000000)","33,145","33,145","0","8","8","99","1,638","4,316","3,342","2,575","2,110","2,409","2,253","2,583","3,150","2,459","2,115","1,850","1,292","644","206","39","49"
"부산광역시 사상구 (2653000000)","36,374","36,374","2","16","18","137","1,661","2,659","1,937","2,070","2,089","2,738","3,649","4,529","4,575","3,393","2,595","2,053","1,400","590","177","36","50"
"부산광역시 기장군 (2671000000)","23,975","23,975","0","3","5","42","568","1,645","1,702","1,933","1,752","2,027","2,042","2,351","2,632","2,129","1,816","1,485","1,054","531","180","54","24"
