"행정구역","2019년12월_전체세대","2019년12월_1인세대","2019년12월_2인세대","2019년12월_3인세대","2019년12월_4인세대","2019년12월_5인세대","2019년12월_6인세대","2019년12월_7인세대","2019년12월_8인세대","2019년12월_9인세대","2019년12월_10인이상세대"
"부산광역시  (2600000000)","1,497,908","555,793","365,110","277,089","227,855","56,067","12,116","2,732","720","230","196"
"부산광역시 중구 (2611000000)","23,160","12,837","5,169","2,814","1,681","467","138","44","4","3","3"
"부산광역시 서구 (2614000000)","52,786","24,442","12,546","7,979","5,705","1,602","384","85","24","4","15"
"부산광역시 동구 (2617000000)","44,657","21,403","10,954","6,476","4,269","1,169","299","55","19","6","7"
"부산광역시 영도구 (2620000000)","54,859","22,459","14,665","9,145","6,360","1,675","417","96","24","10","8"
"부산광역시 부산진구 (2623000000)","166,865","70,508","39,590","27,977","21,747","5,499","1,209","251","54","25","5"
"부산광역시 동래구 (2626000000)","112,136","36,051","27,498","22,347","20,029","4,914","974","229","57","17","20"
"부산광역시 남구 (2629000000)","117,397","40,871","29,082","22,453","18,888","4,686","1,066","247","70","21","13"
"부산광역시 북구 (2632000000)","120,273","37,859","29,940","24,542","21,618","5,087","980","173","53","12","9"
"부산광역시 해운대구 (2635000000)","168,650","54,794","40,717","34,392","29,922","6,807","1,509","350","105","31","23"
"부산광역시 사하구 (2638000000)","138,790","48,953","34,661","26,744","21,809","5,191","1,101","230","65","20","16"
"부산광역시 금정구 (2641000000)","107,024","41,618","26,137","19,180","15,100","3,819","861","210","55","18","26"
"부산광역시 강서구 (2644000000)","53,731","18,730","11,545","10,306","9,976","2,497","499","127","34","8","9"
"부산광역시 연제구 (2647000000)","90,266","31,774","22,321","17,474","14,275","3,465","723","160","45","17","12"
"부산광역시 수영구 (2650000000)","81,452","33,145","20,545","14,185","10,122","2,628","608","155","38","16","10"
"부산광역시 사상구 (2653000000)","96,726","36,374","23,526","18,229","14,257","3,430","681","182","30","10","7"
"부산광역시 기장군 (2671000000)","69,136","23,975","16,214","12,846","12,097","3,131","667","138","43","12","13"
