"행정구역","2012년_계_총인구수","2012년_계_연령구간인구수","2012년_계_0~4세","2012년_계_5~9세","2012년_계_10~14세","2012년_계_15~19세","2012년_계_20~24세","2012년_계_25~29세","2012년_계_30~34세","2012년_계_35~39세","2012년_계_40~44세","2012년_계_45~49세","2012년_계_50~54세","2012년_계_55~59세","2012년_계_60~64세","2012년_계_65~69세","2012년_계_70~74세","2012년_계_75~79세","2012년_계_80~84세","2012년_계_85~89세","2012년_계_90~94세","2012년_계_95~99세","2012년_계_100세 이상"
"부산광역시  (2600000000)","3,538,484","3,538,484","132,653","132,781","177,306","230,016","237,793","228,981","272,275","257,083","297,400","286,169","339,007","289,914","214,907","156,443","133,545","81,272","43,465","18,917","5,895","1,479","1,183"
"부산광역시 중구 (2611000000)","48,148","48,148","1,264","1,224","1,737","2,371","2,774","2,980","3,636","3,299","3,884","3,610","4,581","4,581","3,637","2,925","2,640","1,481","885","414","130","40","55"
"부산광역시 서구 (2614000000)","120,828","120,828","3,115","3,553","5,138","7,095","7,643","7,291","8,431","7,500","9,446","9,081","11,756","10,754","8,847","7,032","6,427","4,068","2,184","972","323","76","96"
"부산광역시 동구 (2617000000)","98,529","98,529","2,829","2,665","3,834","5,355","5,646","6,064","7,214","6,642","7,541","7,179","9,289","8,842","7,438","5,988","5,573","3,570","1,782","743","213","67","55"
"부산광역시 영도구 (2620000000)","139,765","139,765","3,965","4,216","6,099","7,932","8,513","8,582","9,659","9,196","10,704","10,571","13,626","12,818","10,221","8,227","7,370","4,357","2,235","979","332","77","86"
"부산광역시 부산진구 (2623000000)","392,731","392,731","14,943","13,762","17,345","23,083","26,520","28,272","33,131","29,528","31,827","30,104","36,500","32,052","24,092","17,866","16,149","9,649","4,887","2,055","626","182","158"
"부산광역시 동래구 (2626000000)","278,767","278,767","9,626","10,398","14,838","19,563","19,136","17,883","20,501","19,753","23,500","22,819","27,163","23,248","17,207","12,104","9,816","5,891","3,240","1,411","469","114","87"
"부산광역시 남구 (2629000000)","291,175","291,175","10,834","11,199","14,848","18,036","19,548","18,923","22,260","21,777","24,866","21,977","26,253","23,683","18,625","14,237","11,747","6,742","3,431","1,530","466","114","79"
"부산광역시 북구 (2632000000)","312,937","312,937","12,101","12,301","17,632","23,817","23,553","20,336","22,820","21,773","27,016","28,509","32,244","24,209","16,253","10,788","9,119","5,571","3,079","1,282","384","87","63"
"부산광역시 해운대구 (2635000000)","428,188","428,188","17,275","19,339","25,966","31,133","28,307","24,606","30,540","33,085","40,814","37,417","39,188","31,592","22,264","16,058","13,907","8,940","4,837","2,059","625","138","98"
"부산광역시 사하구 (2638000000)","352,726","352,726","14,797","13,775","18,593","24,126","24,232","23,495","28,417","25,973","29,820","28,989","34,418","28,481","19,862","13,699","11,221","6,689","3,672","1,697","521","127","122"
"부산광역시 금정구 (2641000000)","255,692","255,692","8,181","8,751","12,306","17,512","18,972","17,015","18,570","16,822","20,355","21,145","25,478","21,814","16,211","11,395","9,620","6,023","3,310","1,499","458","143","112"
"부산광역시 강서구 (2644000000)","65,806","65,806","3,231","2,628","2,735","3,130","3,644","4,169","5,458","5,001","4,878","4,727","6,514","5,832","4,309","3,140","2,821","1,779","1,118","470","157","43","22"
"부산광역시 연제구 (2647000000)","211,536","211,536","7,946","8,267","10,488","13,190","13,764","13,383","16,646","15,757","17,793","16,737","19,934","17,870","13,408","9,636","7,934","4,811","2,511","1,029","319","61","52"
"부산광역시 수영구 (2650000000)","176,666","176,666","5,918","5,927","7,640","10,261","11,236","12,076","14,566","12,764","14,155","12,777","16,418","15,798","12,238","9,077","7,319","4,402","2,562","1,087","327","84","34"
"부산광역시 사상구 (2653000000)","250,424","250,424","9,772","8,894","11,882","16,765","18,371","17,895","20,566","17,923","20,547","22,154","26,641","20,370","14,149","9,302","7,447","4,343","2,094","921","275","74","39"
"부산광역시 기장군 (2671000000)","114,566","114,566","6,856","5,882","6,225","6,647","5,934","6,011","9,860","10,290","10,254","8,373","9,004","7,970","6,146","4,969","4,435","2,956","1,638","769","270","52","25"
