"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~4세","2018년_계_5~9세","2018년_계_10~14세","2018년_계_15~19세","2018년_계_20~24세","2018년_계_25~29세","2018년_계_30~34세","2018년_계_35~39세","2018년_계_40~44세","2018년_계_45~49세","2018년_계_50~54세","2018년_계_55~59세","2018년_계_60~64세","2018년_계_65~69세","2018년_계_70~74세","2018년_계_75~79세","2018년_계_80~84세","2018년_계_85~89세","2018년_계_90~94세","2018년_계_95~99세","2018년_계_100세 이상"
"부산광역시 중구 (2611000000)","12,302","12,302","0","1","2","37","469","1,032","731","654","676","1,020","1,013","1,329","1,486","1,160","936","793","517","229","124","37","56"
"부산광역시 서구 (2614000000)","23,834","23,834","2","3","5","122","1,324","1,743","1,163","1,193","1,154","1,622","1,912","2,655","2,737","2,305","1,898","1,872","1,185","575","206","66","92"
"부산광역시 동구 (2617000000)","20,333","20,333","1","6","6","31","436","1,220","1,074","1,074","1,130","1,560","1,641","2,215","2,447","2,018","1,722","1,685","1,199","565","180","44","79"
"부산광역시 영도구 (2620000000)","22,017","22,017","0","3","8","48","501","787","730","941","1,095","1,601","1,849","2,613","2,902","2,413","2,165","2,120","1,344","550","192","64","91"
"부산광역시 부산진구 (2623000000)","67,614","67,614","2","2","11","211","4,254","7,632","5,410","4,976","4,017","4,994","4,979","6,315","6,560","5,270","4,293","4,205","2,623","1,151","407","128","174"
"부산광역시 동래구 (2626000000)","34,347","34,347","1","4","10","60","957","2,559","2,293","2,545","2,179","2,751","2,714","3,693","4,074","3,238","2,487","2,282","1,413","720","201","63","103"
"부산광역시 남구 (2629000000)","39,555","39,555","4","4","11","281","2,801","3,769","2,402","2,451","2,387","2,957","2,876","3,675","4,101","3,319","2,886","2,713","1,743","742","271","61","101"
"부산광역시 북구 (2632000000)","36,430","36,430","1","7","9","66","946","2,037","2,030","2,234","2,084","2,852","3,282","4,450","4,752","3,533","2,739","2,635","1,717","753","201","46","56"
"부산광역시 해운대구 (2635000000)","52,340","52,340","7","19","24","89","1,357","3,546","3,665","4,155","3,708","4,581","4,483","5,329","5,606","4,595","3,662","3,538","2,393","1,073","310","82","118"
"부산광역시 사하구 (2638000000)","46,945","46,945","3","18","12","157","1,987","3,154","2,813","3,107","2,830","3,865","4,135","5,286","5,565","4,270","3,424","3,050","1,943","835","287","75","129"
"부산광역시 금정구 (2641000000)","39,949","39,949","1","5","11","389","3,529","3,828","2,330","2,224","2,109","2,787","3,022","3,913","4,264","3,380","2,752","2,512","1,723","792","222","53","103"
"부산광역시 강서구 (2644000000)","17,297","17,297","2","1","3","24","444","1,307","1,677","1,757","1,309","1,510","1,536","1,899","1,931","1,264","925","826","485","255","93","21","28"
"부산광역시 연제구 (2647000000)","30,008","30,008","1","4","4","70","1,209","2,478","2,331","2,213","1,925","2,363","2,382","3,087","3,372","2,509","2,152","1,894","1,199","551","168","50","46"
"부산광역시 수영구 (2650000000)","31,438","31,438","1","3","10","72","1,470","3,837","3,077","2,623","2,030","2,422","2,136","2,672","2,948","2,388","1,998","1,718","1,188","578","193","29","45"
"부산광역시 사상구 (2653000000)","35,073","35,073","5","19","12","102","1,469","2,409","1,853","2,180","2,126","2,934","3,629","4,582","4,233","3,147","2,349","2,032","1,246","529","134","35","48"
"부산광역시 기장군 (2671000000)","22,711","22,711","0","0","5","38","505","1,462","1,617","1,954","1,718","1,997","1,913","2,354","2,419","2,015","1,676","1,380","947","479","156","53","23"
