"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~4세","2020년_계_5~9세","2020년_계_10~14세","2020년_계_15~19세","2020년_계_20~24세","2020년_계_25~29세","2020년_계_30~34세","2020년_계_35~39세","2020년_계_40~44세","2020년_계_45~49세","2020년_계_50~54세","2020년_계_55~59세","2020년_계_60~64세","2020년_계_65~69세","2020년_계_70~74세","2020년_계_75~79세","2020년_계_80~84세","2020년_계_85~89세","2020년_계_90~94세","2020년_계_95~99세","2020년_계_100세 이상"
"부산광역시  (2600000000)","3,391,946","3,391,946","97,374","134,982","130,808","141,206","205,631","225,356","190,729","228,285","243,202","267,946","281,674","287,239","299,803","231,817","169,886","123,413","79,270","36,410","12,152","2,876","1,887"
"부산광역시 중구 (2611000000)","41,523","41,523","526","794","861","1,166","2,482","3,197","2,201","2,270","2,327","3,067","3,441","3,633","4,243","3,648","2,846","2,264","1,449","648","292","83","85"
"부산광역시 서구 (2614000000)","108,135","108,135","2,315","3,307","3,386","3,901","6,648","6,893","5,193","6,013","6,720","7,987","8,673","9,329","10,424","8,690","6,945","5,424","3,722","1,704","578","160","123"
"부산광역시 동구 (2617000000)","88,901","88,901","1,854","2,231","2,245","2,900","4,591","5,881","5,060","5,335","5,374","6,579","7,224","7,484","8,762","7,332","5,941","4,789","3,193","1,439","489","97","101"
"부산광역시 영도구 (2620000000)","113,342","113,342","2,039","3,100","3,395","4,008","6,001","5,989","4,711","5,899","6,741","8,418","9,322","10,237","11,999","10,172","8,166","6,390","4,125","1,761","580","157","132"
"부산광역시 부산진구 (2623000000)","359,886","359,886","9,349","11,969","11,722","13,283","23,393","29,388","23,443","24,551","24,430","27,268","28,695","29,941","31,558","24,456","18,126","13,639","8,928","3,991","1,236","288","232"
"부산광역시 동래구 (2626000000)","270,745","270,745","7,913","11,722","12,284","12,686","15,963","16,719","14,743","18,335","20,458","22,726","22,484","21,908","22,877","18,151","13,095","9,196","5,634","2,619","891","202","139"
"부산광역시 남구 (2629000000)","267,731","267,731","7,042","11,010","11,107","11,928","18,159","17,080","13,333","16,853","19,610","22,283","22,019","20,780","22,629","18,289","14,164","10,719","6,604","2,863","926","196","137"
"부산광역시 북구 (2632000000)","283,952","283,952","8,158","10,836","10,768","12,533","18,105","19,480","15,880","17,637","18,742","21,743","25,985","27,966","26,815","18,650","12,547","8,761","5,523","2,683","835","201","104"
"부산광역시 해운대구 (2635000000)","402,169","402,169","11,277","17,234","18,216","19,934","24,433","24,635","20,596","26,193","30,340","35,489","36,079","34,211","33,226","24,676","17,708","13,088","8,763","4,211","1,368","330","162"
"부산광역시 사하구 (2638000000)","311,757","311,757","8,191","11,778","11,883","13,502","19,724","20,104","16,530","20,447","21,529","24,494","26,933","27,949","29,123","22,119","15,550","10,685","6,736","2,965","1,086","267","162"
"부산광역시 금정구 (2641000000)","232,666","232,666","5,126","7,907","8,155","9,555","16,809","16,500","11,962","13,266","14,926","17,258","19,526","21,092","21,664","17,100","12,521","9,151","5,842","2,915","959","233","199"
"부산광역시 강서구 (2644000000)","137,957","137,957","9,310","10,785","7,106","4,608","5,054","7,281","10,908","16,400","13,829","9,838","8,263","8,684","9,258","6,589","4,111","2,764","1,782","893","369","78","47"
"부산광역시 연제구 (2647000000)","209,157","209,157","6,448","8,299","7,927","8,540","12,261","13,870","12,555","14,639","15,371","16,536","17,140","17,001","18,055","14,454","10,591","7,606","4,823","2,108","687","156","90"
"부산광역시 수영구 (2650000000)","176,894","176,894","4,628","5,700","5,429","6,423","10,251","14,098","11,670","12,207","12,236","13,251","13,773","13,945","15,673","12,872","10,035","7,010","4,616","2,141","738","137","61"
"부산광역시 사상구 (2653000000)","212,586","212,586","5,203","7,152","6,961","8,127","13,511","15,421","12,029","13,195","13,735","15,628","19,365","21,825","21,569","15,149","10,356","6,776","4,084","1,765","540","125","70"
"부산광역시 기장군 (2671000000)","174,545","174,545","7,995","11,158","9,363","8,112","8,246","8,820","9,915","15,045","16,834","15,381","12,752","11,254","11,928","9,470","7,184","5,151","3,446","1,704","578","166","43"
