"행정구역","2011년12월_전체세대","2011년12월_1인세대","2011년12월_2인세대","2011년12월_3인세대","2011년12월_4인세대","2011년12월_5인세대","2011년12월_6인세대","2011년12월_7인세대","2011년12월_8인세대","2011년12월_9인세대","2011년12월_10인이상세대"
"전국  (1000000000)","20,033,142","6,670,275","3,912,870","3,699,306","4,192,102","1,187,613","278,129","66,992","16,830","4,987","4,038"
"서울특별시  (1100000000)","4,192,752","1,510,800","785,146","775,276","853,744","208,966","44,996","10,053","2,539","714","518"
"부산광역시  (2600000000)","1,381,257","421,561","284,177","279,709","294,029","78,307","17,786","4,156","969","332","231"
"대구광역시  (2700000000)","940,770","266,693","183,302","192,995","221,119","59,301","13,388","2,956","702","171","143"
"인천광역시  (2800000000)","1,077,563","332,374","201,159","214,364","250,226","62,428","13,195","2,818","675","184","140"
"광주광역시  (2900000000)","549,105","166,362","101,897","104,128","121,166","43,096","9,514","2,166","523","131","122"
"대전광역시  (3000000000)","566,324","166,725","104,915","110,022","132,521","40,105","9,129","2,128","519","147","113"
"울산광역시  (3100000000)","412,561","110,810","72,122","83,272","111,661","27,522","5,512","1,229","279","87","67"
"경기도  (4100000000)","4,579,405","1,446,281","826,588","867,678","1,080,082","278,672","60,976","13,935","3,419","1,046","728"
"강원도  (4200000000)","648,649","245,464","141,096","108,228","105,318","35,518","9,591","2,512","623","155","144"
"충청북도  (4300000000)","627,006","216,386","131,578","108,671","117,586","39,252","10,121","2,470","604","173","165"
"충청남도  (4400000000)","868,768","321,647","185,123","141,431","149,666","51,422","13,974","3,978","987","296","244"
"전라북도  (4500000000)","754,479","263,655","164,932","126,674","128,169","51,286","14,168","3,872","1,065","338","320"
"전라남도  (4600000000)","805,051","306,694","184,534","123,045","119,276","50,783","14,570","4,270","1,188","370","321"
"경상북도  (4700000000)","1,114,901","400,412","244,978","190,174","195,618","61,270","16,466","4,231","1,117","333","302"
"경상남도  (4800000000)","1,286,678","411,019","259,809","235,731","271,892","81,700","19,760","4,730","1,256","403","378"
"제주특별자치도  (5000000000)","227,873","83,392","41,514","37,908","40,029","17,985","4,983","1,488","365","107","102"
