"행정구역","2013년12월_전체세대","2013년12월_1인세대","2013년12월_2인세대","2013년12월_3인세대","2013년12월_4인세대","2013년12월_5인세대","2013년12월_6인세대","2013년12월_7인세대","2013년12월_8인세대","2013년12월_9인세대","2013년12월_10인이상세대"
"전국  (1000000000)","20,456,588","6,878,287","4,158,302","3,794,892","4,118,618","1,149,939","266,729","64,289","16,504","5,002","4,026"
"서울특별시  (1100000000)","4,182,351","1,510,202","810,516","780,698","822,832","200,130","44,057","9,977","2,583","805","551"
"부산광역시  (2600000000)","1,404,663","442,672","305,507","281,667","279,964","72,620","16,840","3,888","954","309","242"
"대구광역시  (2700000000)","960,265","282,118","196,968","196,374","213,082","55,512","12,482","2,791","632","173","133"
"인천광역시  (2800000000)","1,118,988","346,424","218,817","223,940","249,869","62,721","13,206","2,923","729","216","143"
"광주광역시  (2900000000)","563,599","174,991","109,610","107,192","119,256","40,895","8,943","1,972","465","149","126"
"대전광역시  (3000000000)","584,877","177,615","113,471","114,070","130,009","38,317","8,602","2,040","513","130","110"
"울산광역시  (3100000000)","431,595","121,242","80,722","87,769","108,794","26,316","5,118","1,186","299","89","60"
"세종특별자치시  (3600000000)","50,045","18,732","10,061","8,101","8,619","3,252","921","254","65","24","16"
"경기도  (4100000000)","4,712,324","1,473,221","884,754","906,461","1,086,939","280,309","61,071","14,127","3,575","1,093","774"
"강원도  (4200000000)","664,913","257,742","149,247","110,070","102,207","33,585","8,941","2,303","545","149","124"
"충청북도  (4300000000)","644,062","227,681","140,494","110,860","115,116","37,436","9,283","2,293","581","162","156"
"충청남도  (4400000000)","857,699","320,003","188,372","140,206","143,556","48,101","12,597","3,496","885","261","222"
"전라북도  (4500000000)","766,699","271,848","173,721","128,532","125,337","48,768","13,305","3,563","975","334","316"
"전라남도  (4600000000)","815,769","316,651","191,119","124,131","116,235","48,252","13,611","3,952","1,161","362","295"
"경상북도  (4700000000)","1,139,387","418,436","260,397","193,505","189,193","57,770","14,710","3,758","1,025","293","300"
"경상남도  (4800000000)","1,320,887","430,894","278,568","241,777","267,026","78,141","18,234","4,374","1,168","333","372"
"제주특별자치도  (5000000000)","238,465","87,815","45,958","39,539","40,584","17,814","4,808","1,392","349","120","86"
