"행정구역","2015년12월_전체세대","2015년12월_1인세대","2015년12월_2인세대","2015년12월_3인세대","2015년12월_4인세대","2015년12월_5인세대","2015년12월_6인세대","2015년12월_7인세대","2015년12월_8인세대","2015년12월_9인세대","2015년12월_10인이상세대"
"전국  (1000000000)","21,011,152","7,243,224","4,433,522","3,886,271","4,009,918","1,100,580","251,788","60,952","15,961","4,879","4,057"
"서울특별시  (1100000000)","4,189,948","1,539,462","836,335","781,663","785,821","189,641","42,450","10,227","2,834","905","610"
"부산광역시  (2600000000)","1,437,818","474,451","326,287","283,463","265,364","67,695","15,526","3,632","894","276","230"
"대구광역시  (2700000000)","982,360","303,769","210,648","198,798","202,725","51,720","11,374","2,462","575","149","140"
"인천광역시  (2800000000)","1,154,004","362,687","236,551","232,108","244,083","61,608","12,907","2,952","739","204","165"
"광주광역시  (2900000000)","580,427","189,573","117,781","108,959","115,851","37,950","7,940","1,666","459","137","111"
"대전광역시  (3000000000)","597,008","190,621","121,740","115,371","123,647","35,343","7,751","1,840","447","134","114"
"울산광역시  (3100000000)","451,688","134,330","89,635","91,471","105,013","25,003","4,747","1,077","285","68","59"
"세종특별자치시  (3600000000)","81,806","26,464","15,849","15,089","17,073","5,521","1,353","323","90","27","17"
"경기도  (4100000000)","4,885,012","1,543,227","957,033","947,749","1,081,204","276,182","59,896","14,238","3,663","1,070","750"
"강원도  (4200000000)","685,005","274,167","158,171","111,531","98,693","31,448","8,136","2,076","492","165","126"
"충청북도  (4300000000)","669,503","248,297","151,086","113,092","110,679","34,965","8,519","2,072","481","148","164"
"충청남도  (4400000000)","885,968","336,702","200,595","143,817","142,300","46,450","11,648","3,166","815","244","231"
"전라북도  (4500000000)","782,986","285,244","183,391","129,996","121,744","45,983","12,036","3,120","845","306","321"
"전라남도  (4600000000)","833,901","331,561","199,679","125,963","113,655","45,415","12,394","3,515","1,047","345","327"
"경상북도  (4700000000)","1,169,648","442,798","277,349","195,763","181,405","53,899","13,684","3,301","897","271","281"
"경상남도  (4800000000)","1,367,142","462,491","299,809","249,212","259,270","73,966","16,709","3,979","1,040","332","334"
"제주특별자치도  (5000000000)","256,928","97,380","51,583","42,226","41,391","17,791","4,718","1,306","358","98","77"
