"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상"
"부산광역시 중구 (2611000000)","12,208","12,208","1","45","1,420","1,422","1,812","2,385","2,604","1,647","683","135","54","6,099","6,099","0","19","696","889","1,132","1,388","1,214","557","160","36","8","6,109","6,109","1","26","724","533","680","997","1,390","1,090","523","99","46"
"부산광역시 서구 (2614000000)","23,106","23,106","4","93","2,907","2,305","2,857","4,519","4,863","3,575","1,639","252","92","10,912","10,912","4","29","1,253","1,385","1,809","2,737","2,200","1,057","350","64","24","12,194","12,194","0","64","1,654","920","1,048","1,782","2,663","2,518","1,289","188","68"
"부산광역시 동구 (2617000000)","19,946","19,946","5","36","1,486","2,118","2,793","3,959","4,313","3,321","1,635","205","75","9,715","9,715","2","18","715","1,350","1,824","2,446","2,009","975","310","48","18","10,231","10,231","3","18","771","768","969","1,513","2,304","2,346","1,325","157","57"
"부산광역시 영도구 (2620000000)","21,451","21,451","1","56","1,306","1,674","2,797","4,464","5,043","4,037","1,755","234","84","10,428","10,428","0","33","822","1,103","1,861","2,772","2,335","1,107","318","54","23","11,023","11,023","1","23","484","571","936","1,692","2,708","2,930","1,437","180","61"
"부산광역시 부산진구 (2623000000)","66,369","66,369","5","217","11,214","10,505","9,308","11,448","11,390","8,148","3,518","440","176","31,131","31,131","4","82","4,986","5,939","5,602","6,477","4,938","2,255","713","101","34","35,238","35,238","1","135","6,228","4,566","3,706","4,971","6,452","5,893","2,805","339","142"
"부산광역시 동래구 (2626000000)","33,592","33,592","6","60","3,255","4,759","5,029","6,685","6,971","4,569","1,920","240","98","15,553","15,553","3","31","1,612","2,826","3,004","3,519","2,764","1,301","422","56","15","18,039","18,039","3","29","1,643","1,933","2,025","3,166","4,207","3,268","1,498","184","83"
"부산광역시 남구 (2629000000)","37,980","37,980","12","228","6,155","4,594","5,411","6,487","7,033","5,370","2,312","285","93","17,903","17,903","8","92","3,294","2,885","3,326","3,566","2,820","1,415","416","63","18","20,077","20,077","4","136","2,861","1,709","2,085","2,921","4,213","3,955","1,896","222","75"
"부산광역시 북구 (2632000000)","35,294","35,294","9","94","2,915","4,232","5,163","7,711","7,651","5,095","2,181","188","55","16,916","16,916","6","46","1,585","2,790","3,206","4,119","3,201","1,460","448","43","12","18,378","18,378","3","48","1,330","1,442","1,957","3,592","4,450","3,635","1,733","145","43"
"부산광역시 해운대구 (2635000000)","50,473","50,473","22","124","4,598","7,665","8,362","9,616","9,711","6,771","3,142","354","108","22,082","22,082","12","68","2,055","4,202","4,670","4,897","3,733","1,778","566","75","26","28,391","28,391","10","56","2,543","3,463","3,692","4,719","5,978","4,993","2,576","279","82"
"부산광역시 사하구 (2638000000)","44,745","44,745","22","152","4,464","5,978","6,736","9,315","9,037","6,083","2,488","344","126","22,910","22,910","12","74","2,554","4,093","4,474","5,363","3,901","1,840","515","60","24","21,835","21,835","10","78","1,910","1,885","2,262","3,952","5,136","4,243","1,973","284","102"
"부산광역시 금정구 (2641000000)","38,091","38,091","6","384","6,803","4,361","5,065","6,910","7,043","4,909","2,250","262","98","18,208","18,208","6","152","3,794","2,702","3,043","3,684","2,865","1,415","472","57","18","19,883","19,883","0","232","3,009","1,659","2,022","3,226","4,178","3,494","1,778","205","80"
"부산광역시 강서구 (2644000000)","16,180","16,180","5","28","1,519","3,158","2,720","3,414","2,904","1,631","676","95","30","9,990","9,990","2","20","1,015","2,380","1,971","2,226","1,578","627","145","17","9","6,190","6,190","3","8","504","778","749","1,188","1,326","1,004","531","78","21"
"부산광역시 연제구 (2647000000)","28,424","28,424","6","80","3,276","4,327","4,260","5,425","5,575","3,626","1,614","194","41","13,090","13,090","4","37","1,456","2,513","2,497","2,847","2,294","1,035","355","42","10","15,334","15,334","2","43","1,820","1,814","1,763","2,578","3,281","2,591","1,259","152","31"
"부산광역시 수영구 (2650000000)","30,254","30,254","2","94","4,662","5,548","4,499","4,958","5,172","3,468","1,640","172","39","13,290","13,290","1","44","2,037","3,120","2,428","2,389","1,939","959","335","31","7","16,964","16,964","1","50","2,625","2,428","2,071","2,569","3,233","2,509","1,305","141","32"
"부산광역시 사상구 (2653000000)","34,099","34,099","23","114","3,533","4,183","5,365","8,163","6,884","4,075","1,563","149","47","18,073","18,073","10","41","1,777","2,777","3,650","5,083","3,172","1,240","299","20","4","16,026","16,026","13","73","1,756","1,406","1,715","3,080","3,712","2,835","1,264","129","43"
"부산광역시 기장군 (2671000000)","21,311","21,311","1","39","1,823","3,324","3,624","4,134","4,115","2,768","1,275","185","23","10,734","10,734","1","25","1,099","2,224","2,231","2,239","1,806","831","241","33","4","10,577","10,577","0","14","724","1,100","1,393","1,895","2,309","1,937","1,034","152","19"
