"행정구역","2018년12월_전체세대","2018년12월_1인세대","2018년12월_2인세대","2018년12월_3인세대","2018년12월_4인세대","2018년12월_5인세대","2018년12월_6인세대","2018년12월_7인세대","2018년12월_8인세대","2018년12월_9인세대","2018년12월_10인이상세대"
"부산광역시  (2600000000)","1,480,468","532,193","354,350","278,978","237,961","59,678","13,065","3,034","762","242","205"
"부산광역시 중구 (2611000000)","22,975","12,302","5,148","2,921","1,874","523","148","50","3","4","2"
"부산광역시 서구 (2614000000)","52,819","23,834","12,446","8,186","6,022","1,748","427","111","23","5","17"
"부산광역시 동구 (2617000000)","43,261","20,333","10,548","6,298","4,419","1,254","319","58","19","7","6"
"부산광역시 영도구 (2620000000)","55,312","22,017","14,543","9,488","6,796","1,849","455","110","32","11","11"
"부산광역시 부산진구 (2623000000)","165,253","67,614","38,646","28,392","22,996","5,941","1,275","288","67","23","11"
"부산광역시 동래구 (2626000000)","108,757","34,347","26,196","21,754","19,978","5,013","1,123","243","67","20","16"
"부산광역시 남구 (2629000000)","117,558","39,555","28,771","22,898","19,782","4,966","1,184","305","66","19","12"
"부산광역시 북구 (2632000000)","120,036","36,430","28,954","24,717","23,073","5,528","1,071","188","55","13","7"
"부산광역시 해운대구 (2635000000)","166,748","52,340","39,254","34,563","31,179","7,296","1,576","376","112","30","22"
"부산광역시 사하구 (2638000000)","138,503","46,945","33,844","27,243","23,309","5,577","1,204","275","65","23","18"
"부산광역시 금정구 (2641000000)","106,415","39,949","25,483","19,566","16,123","4,045","932","207","58","21","31"
"부산광역시 강서구 (2644000000)","50,488","17,297","10,710","9,868","9,512","2,413","508","130","33","9","8"
"부산광역시 연제구 (2647000000)","87,833","30,008","21,244","17,223","14,622","3,701","793","165","52","13","12"
"부산광역시 수영구 (2650000000)","79,842","31,438","19,889","14,312","10,594","2,742","630","171","36","19","11"
"부산광역시 사상구 (2653000000)","96,698","35,073","22,962","18,488","15,375","3,796","752","199","34","12","7"
"부산광역시 기장군 (2671000000)","67,970","22,711","15,712","13,061","12,307","3,286","668","158","40","13","14"
