"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상"
"전국  (1000000000)","7,725,203","7,725,203","2,753","33,091","980,372","1,288,537","1,290,596","1,492,111","1,203,904","881,597","472,599","66,856","12,787","4,005,735","4,005,735","1,378","16,349","533,538","831,188","835,600","873,160","550,119","257,763","90,756","12,918","2,966","3,719,468","3,719,468","1,375","16,742","446,834","457,349","454,996","618,951","653,785","623,834","381,843","53,938","9,821"
"서울특별시  (1100000000)","1,608,998","1,608,998","558","7,723","290,274","345,837","265,335","255,856","215,692","148,239","64,671","10,765","4,048","802,614","802,614","276","3,307","133,308","197,540","158,599","149,090","95,465","46,976","14,412","2,701","940","806,384","806,384","282","4,416","156,966","148,297","106,736","106,766","120,227","101,263","50,259","8,064","3,108"
"부산광역시  (2600000000)","513,523","513,523","130","1,844","61,336","70,153","75,801","99,593","100,309","69,093","30,291","3,734","1,239","247,034","247,034","75","811","30,750","43,178","46,728","55,752","42,769","19,852","6,065","800","254","266,489","266,489","55","1,033","30,586","26,975","29,073","43,841","57,540","49,241","24,226","2,934","985"
"대구광역시  (2700000000)","327,800","327,800","138","1,030","35,364","47,343","53,887","67,558","58,970","40,761","20,001","2,302","446","160,147","160,147","58","506","18,808","30,175","34,028","37,181","24,212","10,848","3,801","428","102","167,653","167,653","80","524","16,556","17,168","19,859","30,377","34,758","29,913","16,200","1,874","344"
"인천광역시  (2800000000)","386,809","386,809","153","1,119","41,885","65,981","72,882","83,284","60,074","38,879","19,142","2,879","531","210,960","210,960","82","509","24,087","43,896","48,187","49,556","28,244","11,888","3,813","567","131","175,849","175,849","71","610","17,798","22,085","24,695","33,728","31,830","26,991","15,329","2,312","400"
"광주광역시  (2900000000)","201,069","201,069","85","905","26,417","37,444","35,141","37,769","29,545","21,802","10,389","1,335","237","104,568","104,568","45","449","14,000","24,380","23,425","21,017","12,751","6,224","2,014","234","29","96,501","96,501","40","456","12,417","13,064","11,716","16,752","16,794","15,578","8,375","1,101","208"
"대전광역시  (3000000000)","212,004","212,004","66","1,188","38,167","38,621","34,478","38,118","30,452","19,588","9,822","1,310","194","110,775","110,775","34","539","20,314","24,698","21,978","21,276","13,473","6,014","2,117","278","54","101,229","101,229","32","649","17,853","13,923","12,500","16,842","16,979","13,574","7,705","1,032","140"
"울산광역시  (3100000000)","139,775","139,775","52","240","16,206","25,401","26,509","29,838","22,851","12,654","5,299","624","101","80,821","80,821","33","126","11,018","18,791","18,042","17,312","10,479","3,934","973","90","23","58,954","58,954","19","114","5,188","6,610","8,467","12,526","12,372","8,720","4,326","534","78"
"세종특별자치시  (3600000000)","35,209","35,209","12","105","6,230","8,101","6,279","5,894","4,168","2,601","1,574","221","24","18,877","18,877","3","54","3,201","5,136","3,902","3,409","2,020","781","319","46","6","16,332","16,332","9","51","3,029","2,965","2,377","2,485","2,148","1,820","1,255","175","18"
"경기도  (4100000000)","1,673,349","1,673,349","713","6,052","207,778","313,474","316,978","337,978","241,082","158,552","77,037","11,298","2,407","931,724","931,724","351","3,069","122,932","212,397","208,385","202,187","112,524","50,071","16,710","2,480","618","741,625","741,625","362","2,983","84,846","101,077","108,593","135,791","128,558","108,481","60,327","8,818","1,789"
