"행정구역","2011년_계_총인구수","2011년_계_연령구간인구수","2011년_계_0~4세","2011년_계_5~9세","2011년_계_10~14세","2011년_계_15~19세","2011년_계_20~24세","2011년_계_25~29세","2011년_계_30~34세","2011년_계_35~39세","2011년_계_40~44세","2011년_계_45~49세","2011년_계_50~54세","2011년_계_55~59세","2011년_계_60~64세","2011년_계_65~69세","2011년_계_70~74세","2011년_계_75~79세","2011년_계_80~84세","2011년_계_85~89세","2011년_계_90~94세","2011년_계_95~99세","2011년_계_100세 이상"
"전국  (0000000000)","50,734,284","50,734,284","2,328,435","2,347,414","3,134,531","3,546,594","3,212,315","3,515,101","4,024,454","4,230,332","4,617,122","4,229,561","4,313,633","3,214,513","2,319,307","1,897,565","1,640,831","1,130,345","618,481","283,425","95,014","23,677","11,634"
"서울특별시  (1100000000)","10,249,679","10,249,679","423,159","413,489","546,521","656,996","670,429","859,390","939,264","892,678","921,739","822,851","867,807","692,287","498,319","396,019","295,395","180,639","98,901","47,608","17,491","5,111","3,586"
"부산광역시  (2600000000)","3,550,963","3,550,963","131,652","133,670","190,240","239,260","233,065","247,517","270,770","265,805","300,607","294,746","341,069","279,227","205,292","153,662","122,468","76,220","40,658","17,352","5,197","1,408","1,078"
"대구광역시  (2700000000)","2,507,271","2,507,271","103,704","112,610","161,836","189,316","167,696","164,681","183,726","202,908","234,322","220,174","220,394","165,471","120,395","89,457","76,974","51,513","26,341","11,078","3,476","825","374"
"인천광역시  (2800000000)","2,801,274","2,801,274","133,367","131,321","174,525","206,991","189,666","198,821","228,618","239,548","263,866","255,109","250,786","168,219","109,909","87,055","69,834","47,855","27,090","12,834","4,397","1,004","459"
"광주광역시  (2900000000)","1,463,464","1,463,464","72,463","78,350","110,274","119,888","97,950","103,093","116,715","124,954","133,409","118,440","112,801","77,326","61,390","47,795","38,838","25,409","14,654","6,603","2,311","539","262"
"대전광역시  (3000000000)","1,515,603","1,515,603","74,384","77,818","102,637","115,211","103,245","108,621","122,012","130,772","142,060","124,878","126,517","90,511","61,197","46,838","38,075","26,479","14,614","6,746","2,221","553","214"
"울산광역시  (3100000000)","1,135,494","1,135,494","57,084","55,336","78,316","91,249","75,681","75,838","91,188","94,478","111,736","106,945","102,454","70,296","44,428","29,633","22,644","14,692","8,172","3,787","1,174","276","87"
"경기도  (4100000000)","11,937,415","11,937,415","625,123","630,045","799,746","860,402","748,357","810,529","990,869","1,097,586","1,184,314","1,043,576","975,960","661,379","437,067","365,063","307,393","209,193","112,985","53,199","18,106","4,408","2,115"
"강원도  (4200000000)","1,536,448","1,536,448","63,058","68,972","94,312","103,072","94,397","89,401","99,479","113,816","129,614","125,396","141,225","109,375","71,112","73,979","69,920","45,140","25,611","12,765","4,351","1,024","429"
"충청북도  (4300000000)","1,562,903","1,562,903","73,312","73,734","99,601","110,396","95,878","101,644","111,711","121,816","136,533","126,159","133,556","100,495","68,595","63,659","60,858","45,665","23,760","10,790","3,558","895","288"
"충청남도  (4400000000)","2,101,284","2,101,284","103,537","100,446","129,789","137,668","122,349","134,621","156,560","164,182","176,424","159,933","168,397","128,691","103,608","89,278","89,475","73,336","38,133","17,322","5,594","1,398","543"
"전라북도  (4500000000)","1,874,031","1,874,031","81,339","86,702","120,399","133,790","114,210","112,068","123,039","138,367","153,823","144,311","153,087","118,824","102,153","86,811","82,446","64,173","36,130","15,397","5,244","1,237","481"
"전라남도  (4600000000)","1,914,339","1,914,339","80,755","82,433","117,609","129,875","106,588","104,537","116,516","129,336","150,467","149,114","158,416","121,134","111,210","101,829","106,451","75,558","44,317","19,669","6,374","1,572","579"
"경상북도  (4700000000)","2,699,195","2,699,195","114,990","113,039","154,433","174,306","162,897","165,177","185,542","198,435","222,284","215,966","232,832","188,572","146,336","122,534","124,112","93,583","50,923","23,235","7,800","1,681","518"
"경상남도  (4800000000)","3,308,765","3,308,765","161,667","158,185","213,178","235,061","196,306","205,216","248,689","269,083","302,708","273,811","283,356","209,454","152,521","121,333","115,767","85,647","48,273","20,958","5,901","1,202","449"
"제주특별자치도  (5000000000)","576,156","576,156","28,841","31,264","41,115","43,113","33,601","33,947","39,756","46,568","53,216","48,152","44,976","33,252","25,775","22,620","20,181","15,243","7,919","4,082","1,819","544","172"
