"행정구역","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~4세","2024년_계_5~9세","2024년_계_10~14세","2024년_계_15~19세","2024년_계_20~24세","2024년_계_25~29세","2024년_계_30~34세","2024년_계_35~39세","2024년_계_40~44세","2024년_계_45~49세","2024년_계_50~54세","2024년_계_55~59세","2024년_계_60~64세","2024년_계_65~69세","2024년_계_70~74세","2024년_계_75~79세","2024년_계_80~84세","2024년_계_85~89세","2024년_계_90~94세","2024년_계_95~99세","2024년_계_100세 이상"
"전국  (1000000000)","10,122,587","10,122,587","577","2,044","3,799","35,982","450,002","1,037,500","1,045,731","670,292","652,415","615,596","780,727","861,061","970,645","925,210","642,424","522,836","461,951","302,825","113,609","23,995","3,366"
"서울특별시  (1100000000)","2,012,137","2,012,137","105","349","626","8,446","128,776","312,575","298,020","171,483","137,604","111,757","127,128","123,162","138,930","142,103","101,878","85,915","67,397","38,812","13,470","3,115","486"
"부산광역시  (2600000000)","661,868","661,868","16","83","174","2,345","36,106","60,924","57,677","36,641","37,704","35,742","46,358","52,415","64,460","70,883","54,115","43,206","35,524","19,823","6,288","1,251","133"
"대구광역시  (2700000000)","443,045","443,045","29","106","184","1,204","19,680","37,789","38,766","25,253","25,233","25,079","33,974","40,226","46,983","45,396","33,249","26,070","23,063","14,672","5,044","944","101"
"인천광역시  (2800000000)","534,083","534,083","53","144","212","1,447","19,489","49,831","55,839","37,861","38,138","35,742","44,102","47,649","54,579","50,556","31,881","25,734","20,814","13,327","5,267","1,235","183"
"광주광역시  (2900000000)","274,658","274,658","17","47","88","786","13,690","29,286","28,451","18,274","19,024","17,998","21,906","23,836","25,656","23,346","16,293","13,984","11,707","7,117","2,537","550","65"
"대전광역시  (3000000000)","299,673","299,673","17","58","107","1,698","23,706","42,154","34,687","19,659","18,068","16,846","21,045","22,938","25,154","24,036","16,363","12,553","10,645","6,817","2,532","519","71"
"울산광역시  (3100000000)","184,823","184,823","18","33","65","266","5,408","17,450","17,404","11,723","13,040","12,942","16,346","18,070","19,693","18,921","12,516","8,926","6,797","3,720","1,246","211","28"
"세종특별자치시  (3600000000)","56,430","56,430","7","7","24","144","2,463","7,451","9,035","5,478","4,754","3,997","4,247","3,858","4,118","3,670","2,443","1,708","1,510","1,000","420","83","13"
"경기도  (4100000000)","2,275,739","2,275,739","144","576","961","5,492","78,214","236,115","266,763","176,057","169,364","155,669","189,460","197,760","214,967","195,811","126,767","100,793","83,201","52,840","19,633","4,468","684"
"충청북도  (4300000000)","356,084","356,084","18","73","183","1,524","15,810","33,229","32,230","20,201","20,780","20,719","27,892","34,182","37,829","34,847","22,643","17,845","17,508","12,747","4,776","931","117"
"충청남도  (4400000000)","474,445","474,445","23","115","161","2,226","21,369","40,938","40,621","28,688","29,673","29,026","38,077","43,753","49,353","43,679","30,156","24,693","24,123","18,419","7,647","1,500","205"
"전라남도  (4600000000)","432,617","432,617","22","65","162","932","9,531","24,825","24,295","17,368","21,788","24,526","35,684","43,808","49,878","45,351","33,602","31,576","33,026","24,332","9,594","1,955","297"
"경상북도  (4700000000)","599,926","599,926","39","97","319","4,384","23,771","40,649","38,427","28,214","31,690","33,840","46,843","57,852","66,965","63,862","46,822","36,857","38,182","27,879","10,822","2,132","280"
"경상남도  (4800000000)","637,760","637,760","21","138","292","2,376","18,615","40,940","43,210","31,973","38,127","39,636","54,048","64,112","72,452","70,156","49,438","38,876","36,937","24,707","9,634","1,862","210"
"제주특별자치도  (5000000000)","136,208","136,208","7","30","46","188","3,570","9,677","10,544","7,778","10,079","10,798","14,592","15,159","15,042","12,646","7,824","6,271","5,375","3,983","2,054","437","108"
"강원특별자치도  (5100000000)","348,987","348,987","19","47","87","1,483","16,129","26,917","23,675","15,548","17,062","19,081","27,377","33,986","40,918","39,152","26,119","21,131","20,447","13,543","4,885","1,199","182"
"전북특별자치도  (5200000000)","394,104","394,104","22","76","108","1,041","13,675","26,750","26,087","18,093","20,287","22,198","31,648","38,295","43,668","40,795","30,315","26,698","25,695","19,087","7,760","1,603","203"
