"행정구역","2022년12월_전체세대","2022년12월_1인세대","2022년12월_2인세대","2022년12월_3인세대","2022년12월_4인세대","2022년12월_5인세대","2022년12월_6인세대","2022년12월_7인세대","2022년12월_8인세대","2022년12월_9인세대","2022년12월_10인이상세대"
"부산광역시  (2600000000)","1,555,867","635,133","402,129","267,912","196,031","43,712","8,358","1,815","472","164","141"
"부산광역시 중구 (2611000000)","23,960","14,555","5,299","2,446","1,242","324","68","19","3","2","2"
"부산광역시 서구 (2614000000)","53,626","25,749","13,420","7,880","4,973","1,254","264","54","16","6","10"
"부산광역시 동구 (2617000000)","46,349","23,510","11,836","6,211","3,650","914","170","43","9","3","3"
"부산광역시 영도구 (2620000000)","54,342","24,142","15,355","8,247","5,013","1,225","285","48","16","5","6"
"부산광역시 부산진구 (2623000000)","178,049","82,255","44,394","27,374","18,812","4,145","837","170","42","15","5"
"부산광역시 동래구 (2626000000)","119,503","42,212","30,758","22,908","18,784","3,947","672","151","36","15","20"
"부산광역시 남구 (2629000000)","117,601","46,251","30,206","20,814","15,809","3,559","738","163","39","12","10"
"부산광역시 북구 (2632000000)","123,569","42,914","34,238","23,980","17,822","3,765","667","126","38","11","8"
"부산광역시 해운대구 (2635000000)","170,435","60,399","44,717","33,117","25,491","5,272","1,063","259","82","24","11"
"부산광역시 사하구 (2638000000)","140,778","55,662","37,841","24,755","17,666","3,906","745","138","36","17","12"
"부산광역시 금정구 (2641000000)","106,950","46,294","27,600","17,505","12,088","2,698","565","135","33","12","20"
"부산광역시 강서구 (2644000000)","62,426","23,777","13,713","11,459","10,536","2,427","395","88","22","5","4"
"부산광역시 연제구 (2647000000)","93,557","36,079","24,764","17,086","12,313","2,673","504","98","26","11","3"
"부산광역시 수영구 (2650000000)","87,361","40,097","22,359","13,549","8,640","2,121","445","104","23","15","8"
"부산광역시 사상구 (2653000000)","98,625","42,160","25,874","16,357","11,141","2,513","446","103","21","5","5"
"부산광역시 기장군 (2671000000)","78,736","29,077","19,755","14,224","12,051","2,969","494","116","30","6","14"
