"행정구역","2014년12월_전체세대","2014년12월_1인세대","2014년12월_2인세대","2014년12월_3인세대","2014년12월_4인세대","2014년12월_5인세대","2014년12월_6인세대","2014년12월_7인세대","2014년12월_8인세대","2014년12월_9인세대","2014년12월_10인이상세대"
"전국  (1000000000)","20,724,094","7,049,504","4,297,546","3,839,603","4,067,398","1,123,695","258,645","62,513","16,286","4,845","4,059"
"서울특별시  (1100000000)","4,194,176","1,526,038","825,915","783,470","806,997","194,491","42,975","10,198","2,656","846","590"
"부산광역시  (2600000000)","1,421,648","459,063","317,071","281,875","272,066","70,198","16,182","3,694","987","281","231"
"대구광역시  (2700000000)","970,618","291,889","204,457","197,664","207,863","53,428","11,825","2,564","626","165","137"
"인천광역시  (2800000000)","1,136,280","354,412","227,426","228,052","247,327","61,959","13,101","2,913","739","190","161"
"광주광역시  (2900000000)","573,043","182,295","114,210","108,283","117,628","39,534","8,452","1,904","478","138","121"
"대전광역시  (3000000000)","592,508","183,840","117,901","115,324","127,557","37,090","8,169","1,919","463","144","101"
"울산광역시  (3100000000)","442,250","127,914","85,402","89,633","107,207","25,690","4,886","1,103","282","81","52"
"세종특별자치시  (3600000000)","62,807","22,463","12,385","10,632","11,706","4,149","1,090","275","70","20","17"
"경기도  (4100000000)","4,786,718","1,502,566","917,677","925,240","1,084,281","276,936","60,343","14,174","3,665","1,059","777"
"강원도  (4200000000)","673,978","265,036","153,879","110,517","100,572","32,494","8,535","2,164","494","160","127"
"충청북도  (4300000000)","656,321","237,222","145,728","112,189","112,936","36,189","9,020","2,205","533","142","157"
"충청남도  (4400000000)","871,459","328,117","194,636","141,675","142,854","47,259","12,153","3,381","886","256","242"
"전라북도  (4500000000)","774,562","278,152","178,281","129,262","124,010","47,372","12,684","3,324","877","294","306"
"전라남도  (4600000000)","823,667","323,450","195,173","124,836","114,920","46,916","12,912","3,723","1,110","331","296"
"경상북도  (4700000000)","1,153,559","429,509","268,953","194,743","185,074","55,947","14,298","3,456","968","307","304"
"경상남도  (4800000000)","1,343,984","445,798","289,801","245,572","263,355","76,189","17,308","4,170","1,108","331","352"
"제주특별자치도  (5000000000)","246,516","91,740","48,651","40,636","41,045","17,854","4,712","1,346","344","100","88"
