"행정구역","2020년12월_전체세대","2020년12월_1인세대","2020년12월_2인세대","2020년12월_3인세대","2020년12월_4인세대","2020년12월_5인세대","2020년12월_6인세대","2020년12월_7인세대","2020년12월_8인세대","2020년12월_9인세대","2020년12월_10인이상세대"
"전국  (1000000000)","23,093,108","9,063,362","5,404,332","4,011,660","3,510,579","871,114","175,734","39,861","10,393","3,106","2,967"
"서울특별시  (1100000000)","4,417,954","1,858,554","959,907","761,821","649,174","146,491","31,300","7,520","2,038","642","507"
"부산광역시  (2600000000)","1,530,431","592,265","381,766","274,330","218,096","50,646","10,189","2,211","566","187","175"
"대구광역시  (2700000000)","1,056,627","387,702","254,798","197,140","170,125","37,938","7,039","1,421","291","69","104"
"인천광역시  (2800000000)","1,267,956","461,082","293,021","240,413","210,977","49,889","9,600","2,150","525","156","143"
"광주광역시  (2900000000)","633,582","242,506","144,958","110,732","100,999","28,177","4,868","952","236","73","81"
"대전광역시  (3000000000)","652,783","259,071","149,698","112,223","100,147","25,292","4,876","1,036","290","76","74"
"울산광역시  (3100000000)","476,893","160,201","112,376","94,556","87,288","18,447","3,156","621","162","42","44"
"세종특별자치시  (3600000000)","144,275","48,131","30,433","27,459","29,153","7,340","1,347","303","69","27","13"
"경기도  (4100000000)","5,676,401","2,029,658","1,261,962","1,064,197","1,015,522","241,766","47,757","11,008","2,997","877","657"
"강원도  (4200000000)","736,301","318,906","187,901","112,412","85,699","24,296","5,384","1,218","315","80","90"
"충청북도  (4300000000)","745,644","314,719","184,855","115,125","96,556","27,221","5,419","1,235","307","99","108"
"충청남도  (4400000000)","983,153","413,887","242,043","150,834","129,098","36,754","7,951","1,798","493","153","142"
"전라북도  (4500000000)","836,660","350,789","211,165","127,897","103,345","33,635","7,353","1,702","442","125","207"
"전라남도  (4600000000)","893,152","400,557","228,102","123,728","97,698","33,074","7,368","1,835","465","149","176"
"경상북도  (4700000000)","1,254,662","533,379","327,085","193,036","151,443","39,038","8,112","1,796","452","135","186"
"경상남도  (4800000000)","1,484,601","566,097","366,985","257,638","224,471","55,858","10,435","2,194","545","165","213"
"제주특별자치도  (5000000000)","302,033","125,858","67,277","48,119","40,788","15,252","3,580","861","200","51","47"
