"행정구역","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~4세","2023년_계_5~9세","2023년_계_10~14세","2023년_계_15~19세","2023년_계_20~24세","2023년_계_25~29세","2023년_계_30~34세","2023년_계_35~39세","2023년_계_40~44세","2023년_계_45~49세","2023년_계_50~54세","2023년_계_55~59세","2023년_계_60~64세","2023년_계_65~69세","2023년_계_70~74세","2023년_계_75~79세","2023년_계_80~84세","2023년_계_85~89세","2023년_계_90~94세","2023년_계_95~99세","2023년_계_100세 이상"
"전국  (0000000000)","51,325,329","51,325,329","1,334,588","1,998,304","2,330,969","2,320,491","2,794,440","3,403,046","3,399,252","3,176,296","4,049,259","3,872,875","4,503,660","4,192,039","4,219,699","3,411,009","2,265,989","1,700,214","1,331,277","713,747","246,429","53,209","8,537"
"서울특별시  (1100000000)","9,386,034","9,386,034","213,014","300,548","355,014","378,197","555,058","800,753","777,975","649,430","737,027","683,046","793,687","701,870","706,835","609,103","417,048","321,421","228,831","110,383","36,809","8,537","1,448"
"부산광역시  (2600000000)","3,293,362","3,293,362","75,360","119,043","133,929","129,410","173,103","204,484","203,253","187,406","251,223","233,493","275,617","266,308","295,534","265,186","186,754","133,653","96,815","45,091","14,126","3,142","432"
"대구광역시  (2700000000)","2,374,960","2,374,960","57,587","92,816","106,303","107,818","133,913","148,557","146,165","133,800","178,313","177,801","214,573","206,226","204,750","161,230","115,122","80,401","64,327","32,561","10,471","1,961","265"
"인천광역시  (2800000000)","2,997,410","2,997,410","82,753","119,576","137,503","134,576","160,257","203,846","215,195","197,890","249,834","230,946","264,643","251,390","251,944","189,467","113,644","84,181","61,416","32,981","12,064","2,813","491"
"광주광역시  (2900000000)","1,419,237","1,419,237","38,916","60,863","73,025","74,500","90,809","100,096","89,946","84,129","114,258","113,001","126,979","113,695","105,142","79,590","55,796","43,332","31,943","16,242","5,616","1,152","207"
"대전광역시  (3000000000)","1,442,216","1,442,216","39,731","56,996","67,343","70,493","91,081","108,147","99,622","88,343","110,187","109,944","128,531","114,727","112,315","89,711","57,611","41,529","31,708","16,865","5,855","1,266","211"
"울산광역시  (3100000000)","1,103,661","1,103,661","30,143","48,943","56,172","53,290","55,113","67,409","69,325","67,584","92,047","86,067","101,891","102,923","97,045","72,262","44,196","27,390","19,039","9,018","3,068","657","79"
"세종특별자치시  (3600000000)","386,525","386,525","17,223","26,318","27,898","22,838","17,657","20,153","27,376","31,964","41,770","35,413","31,378","23,055","20,922","16,311","9,916","6,562","5,160","3,074","1,222","272","43"
"경기도  (4100000000)","13,630,821","13,630,821","402,048","587,502","669,391","651,240","755,027","927,111","959,377","919,357","1,165,573","1,091,358","1,234,364","1,101,635","1,044,120","787,673","481,771","365,332","274,613","148,416","51,409","11,652","1,852"
"강원특별자치도  (5100000000)","1,527,807","1,527,807","38,546","52,326","63,338","65,715","79,297","84,313","81,185","77,409","102,533","106,286","131,013","131,500","147,791","127,532","77,731","64,145","54,515","29,620","10,117","2,505","390"
"충청북도  (4300000000)","1,593,469","1,593,469","41,577","61,756","72,539","71,907","83,001","98,675","96,192","91,569","115,912","114,790","136,262","136,188","140,864","117,118","73,657","54,776","47,659","27,590","9,289","1,892","256"
"충청남도  (4400000000)","2,130,119","2,130,119","57,113","86,658","102,213","99,844","107,155","118,503","123,652","127,447","165,628","158,368","179,697","170,396","178,911","146,171","101,359","77,265","67,555","43,020","15,566","3,104","494"
"전라북도  (4500000000)","1,754,757","1,754,757","38,949","63,533","80,691","83,613","94,548","96,265","87,183","85,816","117,858","127,256","152,571","148,247","155,099","129,798","95,537","76,268","65,548","38,583","14,010","2,910","474"
"전라남도  (4600000000)","1,804,217","1,804,217","43,693","64,033","79,600","79,333","86,939","91,213","84,309","85,193","118,427","122,386","151,901","158,381","167,935","137,522","103,680","86,242","78,836","44,854","15,935","3,213","592"
"경상북도  (4700000000)","2,554,324","2,554,324","59,519","92,407","108,925","108,386","120,289","127,966","128,262","130,892","178,092","179,274","219,007","225,700","245,119","204,308","149,037","103,909","95,612","54,388","18,784","3,883","565"
"경상남도  (4800000000)","3,251,158","3,251,158","78,630","133,369","160,575","155,372","156,023","166,688","171,154","178,981","255,087","250,216","298,844","284,013","292,560","236,857","157,263","111,794","91,038","50,899","17,867","3,485","443"
"제주특별자치도  (5000000000)","675,252","675,252","19,786","31,617","36,510","33,959","35,170","38,867","39,081","39,086","55,490","53,230","62,702","55,785","52,813","41,170","25,867","22,014","16,662","10,162","4,221","765","295"
