"행정구역","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~4세","2021년_계_5~9세","2021년_계_10~14세","2021년_계_15~19세","2021년_계_20~24세","2021년_계_25~29세","2021년_계_30~34세","2021년_계_35~39세","2021년_계_40~44세","2021년_계_45~49세","2021년_계_50~54세","2021년_계_55~59세","2021년_계_60~64세","2021년_계_65~69세","2021년_계_70~74세","2021년_계_75~79세","2021년_계_80~84세","2021년_계_85~89세","2021년_계_90~94세","2021년_계_95~99세","2021년_계_100세 이상"
"부산광역시  (2600000000)","3,350,380","3,350,380","87,778","131,833","133,297","132,808","194,686","220,863","194,498","210,802","249,223","253,168","283,992","270,776","304,771","244,107","175,111","123,017","84,624","39,167","12,867","2,590","402"
"부산광역시 중구 (2611000000)","40,524","40,524","423","694","833","1,039","2,455","3,384","2,444","2,033","2,312","2,806","3,376","3,346","4,173","3,745","2,789","2,173","1,500","669","260","63","7"
"부산광역시 서구 (2614000000)","105,164","105,164","2,081","3,229","3,432","3,650","6,285","6,743","5,120","5,432","6,749","7,415","8,563","8,527","10,409","8,906","6,952","5,280","3,875","1,784","588","126","18"
"부산광역시 동구 (2617000000)","87,679","87,679","1,744","2,220","2,282","2,542","4,385","5,893","5,306","5,094","5,530","6,045","7,339","6,957","8,582","7,529","6,032","4,645","3,341","1,594","500","104","15"
"부산광역시 영도구 (2620000000)","110,638","110,638","1,856","3,018","3,390","3,652","5,608","5,857","4,823","5,430","6,743","7,807","9,174","9,426","11,873","10,473","8,251","6,298","4,333","1,889","589","121","27"
"부산광역시 부산진구 (2623000000)","353,159","353,159","8,466","11,631","11,715","12,319","22,302","28,687","24,295","22,725","24,553","25,568","28,727","27,889","31,943","25,307","18,514","13,206","9,493","4,245","1,323","226","25"
"부산광역시 동래구 (2626000000)","266,866","266,866","7,121","11,605","12,384","12,138","14,995","16,206","14,791","16,852","20,864","21,643","22,852","20,478","23,108","18,926","13,632","9,203","6,093","2,824","925","198","28"
"부산광역시 남구 (2629000000)","262,069","262,069","6,149","10,462","11,237","11,290","17,446","16,697","13,158","15,035","19,556","20,884","22,438","19,764","22,567","18,917","14,472","10,664","7,004","3,108","986","205","30"
"부산광역시 북구 (2632000000)","283,211","283,211","7,576","10,764","10,808","11,637","16,786","18,880","16,732","16,946","19,416","20,375","25,701","26,729","28,355","20,282","13,275","8,921","5,970","2,928","917","190","23"
"부산광역시 해운대구 (2635000000)","396,438","396,438","10,305","16,792","18,313","18,605","22,940","23,910","20,942","24,178","30,790","33,186","36,848","32,557","33,766","26,356","18,320","12,913","9,288","4,534","1,534","306","55"
"부산광역시 사하구 (2638000000)","306,003","306,003","7,217","11,113","11,990","12,520","18,565","19,655","16,523","18,396","21,947","22,800","26,907","26,304","29,788","23,552","16,049","10,915","7,153","3,216","1,131","236","26"
"부산광역시 금정구 (2641000000)","228,049","228,049","4,583","7,506","8,227","8,988","15,910","16,109","12,024","12,150","15,184","16,077","19,263","19,755","21,872","17,822","12,867","9,075","6,342","3,064","998","203","30"
"부산광역시 강서구 (2644000000)","142,918","142,918","8,459","11,241","8,151","4,806","5,097","7,468","11,098","15,723","15,610","10,462","8,873","8,328","9,757","7,293","4,443","2,781","1,927","918","397","74","12"
"부산광역시 연제구 (2647000000)","207,144","207,144","5,788","8,182","8,073","8,163","11,471","13,440","12,671","13,632","15,825","15,737","17,516","16,015","18,318","15,288","10,946","7,636","5,216","2,312","769","120","26"
"부산광역시 수영구 (2650000000)","175,095","175,095","4,250","5,588","5,550","5,914","9,704","14,019","12,075","11,430","12,505","12,446","14,092","13,049","15,502","13,508","10,158","7,139","4,948","2,265","788","136","29"
"부산광역시 사상구 (2653000000)","208,298","208,298","4,551","6,717","6,964","7,445","12,560","15,130","12,368","11,880","13,937","14,515","18,640","20,300","22,413","16,061","10,920","6,798","4,468","1,954","538","119","20"
"부산광역시 기장군 (2671000000)","177,125","177,125","7,209","11,071","9,948","8,100","8,177","8,785","10,128","13,866","17,702","15,402","13,683","11,352","12,345","10,142","7,491","5,370","3,673","1,863","624","163","31"
