"행정구역","2021년12월_전체세대","2021년12월_1인세대","2021년12월_2인세대","2021년12월_3인세대","2021년12월_4인세대","2021년12월_5인세대","2021년12월_6인세대","2021년12월_7인세대","2021년12월_8인세대","2021년12월_9인세대","2021년12월_10인이상세대"
"전국  (1000000000)","23,472,895","9,461,695","5,613,943","3,998,644","3,369,721","817,794","160,409","36,020","9,249","2,748","2,672"
"서울특별시  (1100000000)","4,426,007","1,906,690","978,393","750,762","616,312","135,649","28,628","6,705","1,848","581","439"
"부산광역시  (2600000000)","1,544,663","615,618","394,176","270,214","206,023","46,762","9,122","1,958","478","169","143"
"대구광역시  (2700000000)","1,063,893","402,159","262,917","194,256","161,374","35,298","6,206","1,243","289","62","89"
"인천광역시  (2800000000)","1,298,647","487,849","308,673","240,886","202,618","46,995","8,888","1,969","479","151","139"
"광주광역시  (2900000000)","645,712","256,675","150,484","110,029","96,982","26,040","4,362","815","206","51","68"
"대전광역시  (3000000000)","664,417","273,933","155,302","110,887","95,231","23,402","4,366","935","232","57","72"
"울산광역시  (3100000000)","482,650","169,031","117,125","93,446","82,512","16,976","2,805","545","145","24","41"
"세종특별자치시  (3600000000)","153,649","53,562","32,324","28,611","30,051","7,498","1,261","257","52","21","12"
"경기도  (4100000000)","5,841,995","2,146,747","1,330,604","1,080,963","991,399","232,452","45,198","10,447","2,759","826","600"
"강원도  (4200000000)","746,220","327,770","195,615","111,243","82,401","22,792","4,835","1,118","289","75","82"
"충청북도  (4300000000)","760,672","329,471","192,680","114,497","92,155","25,410","4,920","1,087","271","95","86"
"충청남도  (4400000000)","1,001,915","431,533","251,718","150,316","124,326","34,661","7,072","1,607","430","124","128"
"전라북도  (4500000000)","849,001","366,791","218,708","125,561","98,397","31,027","6,369","1,484","368","105","191"
"전라남도  (4600000000)","903,108","413,950","235,062","121,850","93,301","30,270","6,513","1,530","367","104","161"
"경상북도  (4700000000)","1,276,846","558,483","338,453","190,484","143,848","36,136","7,203","1,554","380","123","182"
"경상남도  (4800000000)","1,505,971","591,541","381,435","256,095","213,067","51,759","9,323","1,938","483","130","200"
"제주특별자치도  (5000000000)","307,529","129,892","70,274","48,544","39,724","14,667","3,338","828","173","50","39"
