"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~4세","2018년_계_5~9세","2018년_계_10~14세","2018년_계_15~19세","2018년_계_20~24세","2018년_계_25~29세","2018년_계_30~34세","2018년_계_35~39세","2018년_계_40~44세","2018년_계_45~49세","2018년_계_50~54세","2018년_계_55~59세","2018년_계_60~64세","2018년_계_65~69세","2018년_계_70~74세","2018년_계_75~79세","2018년_계_80~84세","2018년_계_85~89세","2018년_계_90~94세","2018년_계_95~99세","2018년_계_100세 이상"
"전국  (0000000000)","51,826,059","51,826,059","1,974,244","2,328,818","2,325,548","2,805,605","3,414,902","3,409,071","3,189,361","4,080,782","3,916,194","4,572,393","4,277,593","4,338,291","3,542,849","2,406,790","1,880,192","1,617,744","1,032,594","484,398","165,694","44,213","18,783"
"서울특별시  (1100000000)","9,765,623","9,765,623","324,470","365,898","380,366","474,755","658,915","790,875","730,349","818,421","734,337","856,037","766,952","780,002","673,949","468,466","372,218","288,607","164,475","74,394","27,804","8,490","5,843"
"부산광역시  (2600000000)","3,441,453","3,441,453","117,093","134,349","130,486","165,659","222,024","222,713","196,046","258,665","240,962","286,085","279,363","313,826","284,221","203,906","151,390","121,602","68,558","30,117","10,250","2,473","1,665"
"대구광역시  (2700000000)","2,461,769","2,461,769","89,103","105,850","109,363","140,309","171,726","159,119","137,036","180,942","182,292","221,978","215,395","215,748","169,974","122,776","87,824","76,762","46,544","20,525","6,423","1,452","628"
"인천광역시  (2800000000)","2,954,642","2,954,642","115,371","135,930","133,618","158,706","199,457","210,337","189,376","244,293","229,271","265,452","255,057","259,172","195,927","119,105","91,638","72,754","45,891","22,260","8,069","2,132","826"
"광주광역시  (2900000000)","1,459,336","1,459,336","57,971","73,306","75,844","96,043","111,295","94,448","85,102","115,318","115,246","131,145","119,457","111,827","85,148","60,133","48,017","38,983","23,763","11,157","3,737","1,025","371"
"대전광역시  (3000000000)","1,489,936","1,489,936","58,676","69,821","72,206","88,331","109,641","104,314","93,374","115,666","114,558","135,094","122,193","120,790","96,742","62,413","46,300","38,456","24,428","11,626","3,995","993","319"
"울산광역시  (3100000000)","1,155,623","1,155,623","50,550","57,813","55,093","66,447","79,085","74,274","70,577","95,631","88,916","105,509","107,328","103,164","77,317","47,601","30,625","23,257","13,404","6,250","2,115","509","158"
"세종특별자치시  (3600000000)","314,126","314,126","21,018","23,434","20,370","16,325","15,914","18,117","23,831","34,550","30,886","27,361","19,987","18,386","14,769","9,492","6,622","5,911","4,063","2,145","736","155","54"
"경기도  (4100000000)","13,077,153","13,077,153","553,751","656,105","644,137","740,759","866,515","882,539","840,587","1,108,984","1,070,647","1,220,584","1,097,798","1,048,179","794,767","495,135","390,436","320,028","204,531","95,293","33,705","9,071","3,602"
"강원도  (4200000000)","1,543,052","1,543,052","50,000","62,664","65,948","84,112","98,929","83,962","75,791","99,787","105,296","128,700","127,837","143,798","126,842","80,305","70,180","66,370","42,777","19,546","7,509","1,988","711"
"충청북도  (4300000000)","1,599,252","1,599,252","61,420","72,239","72,100","87,613","104,809","96,132","90,687","114,881","114,093","134,530","133,349","138,079","117,557","76,533","60,285","58,146","40,213","18,487","6,093","1,485","521"
"충청남도  (4400000000)","2,126,282","2,126,282","86,639","102,385","99,582","113,969","127,436","121,007","125,200","163,743","155,920","175,737","165,277","172,773","144,099","103,997","83,461","80,819","61,600","29,897","9,524","2,438","779"
"전라북도  (4500000000)","1,836,832","1,836,832","63,016","80,974","84,437","106,361","120,700","96,854","88,672","119,202","127,901","153,250","148,505","156,093","132,457","99,878","83,523","79,342","55,907","27,578","9,108","2,326","748"
"전라남도  (4600000000)","1,882,970","1,882,970","65,546","79,700","80,393","103,106","115,415","91,402","86,356","118,572","121,711","149,750","154,877","165,027","137,983","108,152","95,217","97,229","66,506","32,331","9,931","2,991","775"
"경상북도  (4700000000)","2,676,831","2,676,831","96,504","111,105","108,876","136,223","159,293","140,832","137,366","182,176","180,800","218,773","223,559","244,091","207,884","157,402","116,068","118,968","81,441","38,640","12,891","3,081","858"
"경상남도  (4800000000)","3,373,988","3,373,988","134,437","162,205","158,187","187,710","210,464","183,716","182,991","258,244","251,837","300,567","285,305","294,292","240,868","164,221","122,292","110,731","74,564","36,613","11,624","2,442","678"
"제주특별자치도  (5000000000)","667,191","667,191","28,679","35,040","34,542","39,177","43,284","38,430","36,020","51,707","51,521","61,841","55,354","53,044","42,345","27,275","24,096","19,779","13,929","7,539","2,180","1,162","247"
