"행정구역","2024년12월_전체세대","2024년12월_1인세대","2024년12월_2인세대","2024년12월_3인세대","2024년12월_4인세대","2024년12월_5인세대","2024년12월_6인세대","2024년12월_7인세대","2024년12월_8인세대","2024년12월_9인세대","2024년12월_10인이상세대"
"부산광역시  (2600000000)","1,570,403","661,868","414,220","265,253","180,252","39,062","7,404","1,660","405","135","144"
"부산광역시 중구 (2611000000)","23,529","14,865","5,135","2,184","1,000","268","53","13","7","1","3"
"부산광역시 서구 (2614000000)","53,648","26,172","13,721","7,767","4,573","1,102","230","53","14","6","10"
"부산광역시 동구 (2617000000)","47,048","24,341","12,167","6,183","3,387","766","152","41","5","3","3"
"부산광역시 영도구 (2620000000)","53,659","24,844","15,316","7,661","4,425","1,091","260","41","11","4","6"
"부산광역시 부산진구 (2623000000)","184,179","87,566","46,512","27,767","17,594","3,765","770","148","35","15","7"
"부산광역시 동래구 (2626000000)","122,121","43,960","32,219","23,624","17,831","3,662","615","145","39","10","16"
"부산광역시 남구 (2629000000)","119,763","48,517","31,726","20,817","14,692","3,176","618","150","38","11","18"
"부산광역시 북구 (2632000000)","122,360","44,405","35,120","23,276","15,608","3,187","596","130","28","7","3"
"부산광역시 해운대구 (2635000000)","169,821","62,085","45,921","32,620","23,171","4,763","942","228","55","22","14"
"부산광역시 사하구 (2638000000)","140,631","58,035","38,578","24,191","15,644","3,396","601","122","42","10","12"
"부산광역시 금정구 (2641000000)","104,817","47,526","27,393","16,434","10,394","2,438","453","123","27","10","19"
"부산광역시 강서구 (2644000000)","62,433","23,590","13,997","11,717","10,346","2,293","372","83","23","6","6"
"부산광역시 연제구 (2647000000)","99,568","39,429","26,581","18,033","12,468","2,492","442","93","21","6","3"
"부산광역시 수영구 (2650000000)","88,068","41,708","22,869","13,079","7,969","1,869","431","102","23","9","9"
"부산광역시 사상구 (2653000000)","99,563","44,558","26,738","15,784","9,830","2,148","406","74","17","4","4"
"부산광역시 기장군 (2671000000)","79,195","30,267","20,227","14,116","11,320","2,646","463","114","20","11","11"
