"행정구역","2011년12월_전체세대","2011년12월_1인세대","2011년12월_2인세대","2011년12월_3인세대","2011년12월_4인세대","2011년12월_5인세대","2011년12월_6인세대","2011년12월_7인세대","2011년12월_8인세대","2011년12월_9인세대","2011년12월_10인이상세대"
"부산광역시  (2600000000)","1,381,257","421,561","284,177","279,709","294,029","78,307","17,786","4,156","969","332","231"
"부산광역시 중구 (2611000000)","23,284","10,884","4,826","3,666","2,836","764","222","55","18","9","4"
"부산광역시 서구 (2614000000)","53,585","21,474","11,434","9,283","8,085","2,460","632","168","25","11","13"
"부산광역시 동구 (2617000000)","44,192","17,438","9,880","7,823","6,487","1,878","526","114","31","8","7"
"부산광역시 영도구 (2620000000)","58,584","19,521","13,430","11,371","10,271","2,932","773","212","48","15","11"
"부산광역시 부산진구 (2623000000)","159,915","53,977","32,990","30,952","31,101","8,461","1,871","431","89","26","17"
"부산광역시 동래구 (2626000000)","106,244","29,455","21,046","22,283","24,935","6,511","1,520","364","89","28","13"
"부산광역시 남구 (2629000000)","113,583","32,802","24,158","23,825","24,299","6,494","1,552","318","80","38","17"
"부산광역시 북구 (2632000000)","112,592","28,678","22,022","23,999","28,819","7,222","1,449","288","74","21","20"
"부산광역시 해운대구 (2635000000)","158,114","42,425","30,953","33,950","38,293","9,751","2,123","449","104","45","21"
"부산광역시 사하구 (2638000000)","133,869","37,076","26,992","28,518","31,086","7,948","1,678","412","108","31","20"
"부산광역시 금정구 (2641000000)","98,005","29,319","20,201","19,809","21,165","5,766","1,299","305","80","29","32"
"부산광역시 강서구 (2644000000)","27,325","10,610","5,527","4,609","4,561","1,472","387","122","23","6","8"
"부산광역시 연제구 (2647000000)","82,005","24,033","16,856","17,072","17,949","4,679","1,083","249","56","17","11"
"부산광역시 수영구 (2650000000)","70,314","21,943","15,640","14,308","13,535","3,759","849","211","43","18","8"
"부산광역시 사상구 (2653000000)","96,840","28,269","18,881","19,968","22,432","5,694","1,196","303","63","17","17"
"부산광역시 기장군 (2671000000)","42,806","13,657","9,341","8,273","8,175","2,516","626","155","38","13","12"
