"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~4세","2016년_계_5~9세","2016년_계_10~14세","2016년_계_15~19세","2016년_계_20~24세","2016년_계_25~29세","2016년_계_30~34세","2016년_계_35~39세","2016년_계_40~44세","2016년_계_45~49세","2016년_계_50~54세","2016년_계_55~59세","2016년_계_60~64세","2016년_계_65~69세","2016년_계_70~74세","2016년_계_75~79세","2016년_계_80~84세","2016년_계_85~89세","2016년_계_90~94세","2016년_계_95~99세","2016년_계_100세 이상"
"전국  (0000000000)","51,696,216","51,696,216","2,204,271","2,361,897","2,349,979","3,131,059","3,541,061","3,217,367","3,517,868","4,016,272","4,212,243","4,584,810","4,182,392","4,242,269","3,139,076","2,237,345","1,781,229","1,457,890","909,130","416,164","141,488","34,844","17,562"
"서울특별시  (1100000000)","9,930,616","9,930,616","376,575","384,739","395,786","538,419","690,728","751,973","803,507","817,467","811,751","866,421","770,459","799,578","627,314","448,956","350,580","251,961","141,649","66,067","24,153","7,058","5,475"
"부산광역시  (2600000000)","3,498,529","3,498,529","132,044","135,043","134,893","190,317","240,006","215,193","223,739","259,777","262,415","295,913","285,203","325,197","262,725","191,726","140,369","106,214","59,350","26,483","8,384","1,953","1,585"
"대구광역시  (2700000000)","2,484,557","2,484,557","99,198","107,838","114,049","160,078","180,631","149,296","152,640","181,128","202,133","229,689","212,076","210,139","156,761","113,421","82,739","67,796","40,861","17,073","5,237","1,183","591"
"인천광역시  (2800000000)","2,943,069","2,943,069","130,380","139,130","134,173","177,320","210,927","195,695","209,170","240,973","245,705","266,469","254,636","247,951","166,285","108,013","83,667","63,942","40,199","19,157","6,799","1,724","754"
"광주광역시  (2900000000)","1,469,214","1,469,214","65,365","75,592","78,816","108,788","113,334","88,068","97,913","115,482","124,435","131,518","114,620","108,294","74,417","58,451","44,765","34,529","20,527","9,843","3,277","825","355"
"대전광역시  (3000000000)","1,514,370","1,514,370","68,212","73,864","75,562","100,354","113,205","99,591","104,843","118,036","126,340","137,925","119,089","120,022","85,759","57,891","43,716","34,059","21,527","9,957","3,309","801","308"
"울산광역시  (3100000000)","1,172,304","1,172,304","57,567","58,354","55,355","77,357","84,934","73,770","81,689","95,455","95,661","111,174","105,322","99,773","67,125","41,855","27,464","19,897","11,853","5,361","1,813","387","138"
"세종특별자치시  (3600000000)","243,048","243,048","17,044","17,867","14,676","12,449","12,764","13,759","20,193","25,758","24,293","19,895","14,927","14,513","10,713","7,446","5,763","5,030","3,501","1,718","576","114","49"
"경기도  (4100000000)","12,716,780","12,716,780","598,082","653,028","634,739","804,776","881,482","805,768","892,726","1,063,220","1,124,294","1,188,236","1,044,815","981,143","669,996","440,224","357,143","283,006","175,095","80,245","28,395","7,062","3,305"
"강원도  (4200000000)","1,550,806","1,550,806","56,219","65,162","68,928","94,473","103,672","81,197","84,641","100,766","115,638","130,734","127,620","144,107","111,497","70,835","70,620","62,162","36,316","17,472","6,527","1,564","656"
"충청북도  (4300000000)","1,591,625","1,591,625","68,043","73,502","72,974","98,821","107,711","90,423","100,107","112,483","122,308","137,329","128,372","136,462","102,400","67,836","60,318","53,799","36,293","15,595","5,161","1,217","471"
"충청남도  (4400000000)","2,096,727","2,096,727","95,052","102,154","97,587","124,772","129,557","116,741","137,091","157,444","161,823","173,898","157,684","166,438","126,378","99,447","81,949","76,860","56,611","24,475","8,123","1,905","738"
"전라북도  (4500000000)","1,864,791","1,864,791","73,102","84,270","87,768","119,853","124,667","94,669","102,681","122,970","140,393","155,191","145,516","153,759","118,749","99,944","82,388","73,568","51,298","24,021","7,470","1,817","697"
"전라남도  (4600000000)","1,903,914","1,903,914","75,316","81,420","82,763","117,131","118,380","88,043","100,521","118,971","132,372","153,868","152,650","161,838","121,725","109,451","96,220","93,770","58,952","28,418","9,211","2,135","759"
"경상북도  (4700000000)","2,700,398","2,700,398","110,059","112,213","110,753","153,905","167,180","141,123","157,308","182,285","197,370","224,577","221,457","238,550","191,201","145,050","116,069","109,699","74,283","33,119","10,913","2,473","811"
"경상남도  (4800000000)","3,373,871","3,373,871","151,587","163,889","157,298","210,364","218,740","178,628","210,208","256,039","271,415","303,440","275,777","285,726","210,482","150,374","115,340","103,023","67,908","31,329","9,794","1,871","639"
"제주특별자치도  (5000000000)","641,597","641,597","30,426","33,832","33,859","41,882","43,143","33,430","38,891","48,018","53,897","58,533","52,169","48,779","35,549","26,425","22,119","18,575","12,907","5,831","2,346","755","231"
