"행정구역","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~4세","2023년_계_5~9세","2023년_계_10~14세","2023년_계_15~19세","2023년_계_20~24세","2023년_계_25~29세","2023년_계_30~34세","2023년_계_35~39세","2023년_계_40~44세","2023년_계_45~49세","2023년_계_50~54세","2023년_계_55~59세","2023년_계_60~64세","2023년_계_65~69세","2023년_계_70~74세","2023년_계_75~79세","2023년_계_80~84세","2023년_계_85~89세","2023년_계_90~94세","2023년_계_95~99세","2023년_계_100세 이상"
"전국  (1000000000)","9,935,600","9,935,600","573","2,074","3,692","34,161","452,915","1,061,460","1,015,869","660,551","665,140","619,318","790,200","844,044","971,959","860,317","598,539","494,547","456,605","279,013","100,728","20,649","3,246"
"서울특별시  (1100000000)","1,988,235","1,988,235","102","363","600","8,239","130,576","317,965","287,466","167,542","139,903","112,339","129,809","122,197","141,973","135,386","96,604","81,503","65,255","35,200","12,086","2,666","461"
"부산광역시  (2600000000)","650,239","650,239","14","94","150","2,139","35,997","62,497","56,528","35,994","38,764","35,585","47,213","51,460","66,237","67,405","50,980","40,507","34,176","17,768","5,525","1,074","132"
"대구광역시  (2700000000)","432,375","432,375","35","101","179","1,175","19,581","38,427","37,768","24,665","25,757","25,305","34,527","39,589","47,087","41,553","31,368","24,190","22,546","13,253","4,406","767","96"
"인천광역시  (2800000000)","520,954","520,954","53","140","192","1,305","19,497","50,955","54,813","37,403","38,739","35,377","44,369","46,741","53,910","46,191","29,336","23,909","20,037","12,169","4,614","1,020","184"
"광주광역시  (2900000000)","270,682","270,682","16","57","87","739","14,145","30,362","27,645","18,595","19,547","18,100","21,772","23,149","25,698","21,601","15,421","12,995","11,501","6,535","2,211","435","71"
"대전광역시  (3000000000)","292,285","292,285","22","61","100","1,533","22,948","42,768","33,519","19,367","18,245","16,987","21,336","22,113","25,043","22,314","14,911","11,733","10,383","6,201","2,204","429","68"
"울산광역시  (3100000000)","179,471","179,471","11","32","63","204","5,187","17,101","16,952","11,532","13,411","13,093","16,415","17,549","19,692","17,373","11,538","8,193","6,545","3,314","1,054","189","23"
"세종특별자치시  (3600000000)","55,882","55,882","5","8","21","145","2,492","7,863","8,823","5,468","4,817","3,912","4,216","3,866","4,105","3,448","2,243","1,600","1,501","896","376","64","13"
"경기도  (4100000000)","2,234,805","2,234,805","130","580","959","5,609","81,962","244,260","261,845","173,271","172,592","155,898","191,084","193,375","212,488","180,660","115,650","94,775","80,488","47,717","17,087","3,769","606"
"충청북도  (4300000000)","348,739","348,739","22","74","168","1,605","15,505","34,975","31,124","19,800","20,820","20,873","28,158","33,236","37,663","31,979","20,761","17,363","17,651","11,870","4,173","818","101"
"충청남도  (4400000000)","460,618","460,618","32","113","177","1,955","20,424","41,164","38,867","28,042","29,793","28,948","38,116","42,746","48,590","40,243","27,952","23,381","24,365","17,408","6,815","1,286","201"
"전라북도  (4500000000)","387,076","387,076","23","53","106","963","13,933","27,610","25,094","17,919","20,783","23,015","31,675","37,663","43,554","38,016","28,671","25,089","26,338","18,067","6,904","1,393","207"
"전라남도  (4600000000)","428,967","428,967","22","69","172","976","9,985","25,681","23,589","17,767","22,387","25,264","36,295","43,592","50,111","41,772","32,377","30,561","34,321","23,157","8,821","1,736","312"
"경상북도  (4700000000)","584,723","584,723","24","116","304","3,656","22,492","40,837","37,026","28,050","32,175","34,446","47,043","56,693","67,260","58,541","44,139","35,066","39,071","25,962","9,588","1,954","280"
"경상남도  (4800000000)","623,016","623,016","25","132","269","2,290","18,558","41,413","41,870","31,777","39,286","39,595","55,213","61,434","72,462","65,476","45,911","36,851","36,666","23,319","8,638","1,626","205"
"제주특별자치도  (5000000000)","134,017","134,017","6","21","47","203","3,718","9,900","10,112","8,028","10,440","10,964","14,789","14,737","14,770","11,633","7,125","6,005","5,316","3,847","1,871","349","136"
"강원특별자치도  (5100000000)","343,516","343,516","31","60","98","1,425","15,915","27,682","22,828","15,331","17,681","19,617","28,170","33,904","41,316","36,726","23,552","20,826","20,445","12,330","4,355","1,074","150"
