"행정구역","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2022년_계_20~29세","2022년_계_30~39세","2022년_계_40~49세","2022년_계_50~59세","2022년_계_60~69세","2022년_계_70~79세","2022년_계_80~89세","2022년_계_90~99세","2022년_계_100세 이상","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0~9세","2022년_남_10~19세","2022년_남_20~29세","2022년_남_30~39세","2022년_남_40~49세","2022년_남_50~59세","2022년_남_60~69세","2022년_남_70~79세","2022년_남_80~89세","2022년_남_90~99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0~9세","2022년_여_10~19세","2022년_여_20~29세","2022년_여_30~39세","2022년_여_40~49세","2022년_여_50~59세","2022년_여_60~69세","2022년_여_70~79세","2022년_여_80~89세","2022년_여_90~99세","2022년_여_100세 이상"
"부산광역시 중구 (2611000000)","14,555","14,555","0","46","2,730","1,978","1,511","2,198","3,035","1,918","988","148","3","7,000","7,000","0","22","1,105","1,113","948","1,344","1,541","689","212","25","1","7,555","7,555","0","24","1,625","865","563","854","1,494","1,229","776","123","2"
"부산광역시 서구 (2614000000)","25,749","25,749","3","147","4,049","2,576","2,548","3,940","5,592","4,125","2,453","311","5","11,764","11,764","2","40","1,629","1,488","1,576","2,396","2,691","1,376","513","52","1","13,985","13,985","1","107","2,420","1,088","972","1,544","2,901","2,749","1,940","259","4"
"부산광역시 동구 (2617000000)","23,510","23,510","7","36","2,656","3,070","2,578","3,800","5,029","3,691","2,330","305","8","11,240","11,240","4","14","1,130","1,781","1,635","2,404","2,568","1,237","418","47","2","12,270","12,270","3","22","1,526","1,289","943","1,396","2,461","2,454","1,912","258","6"
"부산광역시 영도구 (2620000000)","24,142","24,142","5","48","1,802","2,026","2,448","4,098","6,069","4,637","2,717","285","7","11,743","11,743","4","27","1,084","1,295","1,573","2,622","3,100","1,453","533","51","1","12,399","12,399","1","21","718","731","875","1,476","2,969","3,184","2,184","234","6"
"부산광역시 부산진구 (2623000000)","82,255","82,255","5","293","18,161","14,137","9,293","10,946","14,061","9,209","5,509","624","17","37,655","37,655","2","114","7,556","7,918","5,441","6,304","6,298","2,817","1,089","113","3","44,600","44,600","3","179","10,605","6,219","3,852","4,642","7,763","6,392","4,420","511","14"
"부산광역시 동래구 (2626000000)","42,212","42,212","5","71","5,388","6,449","5,344","6,331","9,111","5,968","3,151","388","6","18,956","18,956","3","36","2,329","3,822","3,148","3,453","3,685","1,764","646","69","1","23,256","23,256","2","35","3,059","2,627","2,196","2,878","5,426","4,204","2,505","319","5"
"부산광역시 남구 (2629000000)","46,251","46,251","8","425","10,087","5,822","4,929","6,298","8,411","6,288","3,547","426","10","21,619","21,619","2","151","5,137","3,618","3,087","3,610","3,529","1,718","685","80","2","24,632","24,632","6","274","4,950","2,204","1,842","2,688","4,882","4,570","2,862","346","8"
"부산광역시 북구 (2632000000)","42,914","42,914","5","57","3,675","5,205","4,800","7,455","10,926","6,688","3,682","416","5","20,276","20,276","3","26","1,882","3,410","3,046","4,196","4,769","2,112","769","63","0","22,638","22,638","2","31","1,793","1,795","1,754","3,259","6,157","4,576","2,913","353","5"
"부산광역시 해운대구 (2635000000)","60,399","60,399","26","110","6,474","8,925","8,327","10,023","12,325","8,552","4,993","628","16","26,005","26,005","11","51","2,859","5,006","4,562","5,132","4,987","2,345","946","101","5","34,394","34,394","15","59","3,615","3,919","3,765","4,891","7,338","6,207","4,047","527","11"
"부산광역시 사하구 (2638000000)","55,662","55,662","8","222","7,093","6,641","6,677","9,449","12,673","8,166","4,236","492","5","27,869","27,869","5","123","3,885","4,346","4,409","5,703","5,729","2,707","877","85","0","27,793","27,793","3","99","3,208","2,295","2,268","3,746","6,944","5,459","3,359","407","5"
"부산광역시 금정구 (2641000000)","46,294","46,294","10","333","9,850","5,429","4,706","6,689","9,141","6,157","3,560","416","3","22,245","22,245","5","130","5,390","3,396","2,850","3,759","4,036","1,862","746","70","1","24,049","24,049","5","203","4,460","2,033","1,856","2,930","5,105","4,295","2,814","346","2"
"부산광역시 강서구 (2644000000)","23,777","23,777","2","49","3,383","5,124","3,848","3,779","4,327","2,149","986","128","2","14,517","14,517","0","31","2,049","3,660","2,840","2,451","2,347","912","208","19","0","9,260","9,260","2","18","1,334","1,464","1,008","1,328","1,980","1,237","778","109","2"
"부산광역시 연제구 (2647000000)","36,079","36,079","3","105","5,108","5,753","4,394","5,341","7,412","4,986","2,659","313","5","15,935","15,935","2","41","2,079","3,229","2,514","2,820","3,120","1,495","599","36","0","20,144","20,144","1","64","3,029","2,524","1,880","2,521","4,292","3,491","2,060","277","5"
"부산광역시 수영구 (2650000000)","40,097","40,097","7","104","8,226","7,875","4,823","5,016","6,539","4,580","2,596","319","12","17,278","17,278","2","44","3,312","4,307","2,604","2,561","2,509","1,320","553","62","4","22,819","22,819","5","60","4,914","3,568","2,219","2,455","4,030","3,260","2,043","257","8"
"부산광역시 사상구 (2653000000)","42,160","42,160","18","222","6,170","5,122","4,800","7,557","9,845","5,563","2,601","257","5","21,614","21,614","10","71","3,074","3,245","3,208","4,805","4,883","1,785","498","34","1","20,546","20,546","8","151","3,096","1,877","1,592","2,752","4,962","3,778","2,103","223","4"
"부산광역시 기장군 (2671000000)","29,077","29,077","6","49","2,952","4,248","4,383","4,964","6,004","4,012","2,147","304","8","14,661","14,661","3","27","1,574","2,824","2,766","2,907","2,677","1,369","459","54","1","14,416","14,416","3","22","1,378","1,424","1,617","2,057","3,327","2,643","1,688","250","7"
