"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~4세","2020년_계_5~9세","2020년_계_10~14세","2020년_계_15~19세","2020년_계_20~24세","2020년_계_25~29세","2020년_계_30~34세","2020년_계_35~39세","2020년_계_40~44세","2020년_계_45~49세","2020년_계_50~54세","2020년_계_55~59세","2020년_계_60~64세","2020년_계_65~69세","2020년_계_70~74세","2020년_계_75~79세","2020년_계_80~84세","2020년_계_85~89세","2020년_계_90~94세","2020년_계_95~99세","2020년_계_100세 이상"
"전국  (1000000000)","9,063,362","9,063,362","592","2,236","3,491","29,202","406,057","958,629","796,832","671,411","607,913","696,055","765,313","841,548","889,396","672,293","533,400","472,529","385,695","218,791","77,181","19,109","15,689"
"서울특별시  (1100000000)","1,858,554","1,858,554","98","402","681","7,060","116,127","283,457","228,495","166,160","128,717","132,007","128,454","131,920","145,335","115,418","94,812","77,007","54,382","28,574","10,964","3,483","5,001"
"부산광역시  (2600000000)","592,265","592,265","21","103","154","1,591","30,092","54,952","42,044","36,915","34,708","40,678","46,296","53,701","65,814","56,486","44,555","36,904","27,137","13,322","4,240","1,101","1,451"
"대구광역시  (2700000000)","387,702","387,702","26","100","148","919","16,793","35,823","29,147","25,099","24,066","29,230","33,729","38,886","41,388","33,234","25,728","22,226","17,811","9,360","2,840","607","542"
"인천광역시  (2800000000)","461,082","461,082","43","133","162","1,170","18,302","45,986","39,782","35,966","33,923","39,016","42,016","46,903","47,803","33,317","25,539","21,018","15,974","9,141","3,367","866","655"
"광주광역시  (2900000000)","242,506","242,506","18","61","87","770","12,836","27,126","21,853","19,958","17,809","19,034","20,380","21,748","22,531","16,415","13,824","11,900","9,009","4,792","1,702","359","294"
"대전광역시  (3000000000)","259,071","259,071","31","75","78","1,156","19,320","36,422","26,204","19,494","16,698","18,659","20,179","21,754","23,326","16,956","12,783","10,907","8,261","4,597","1,585","350","236"
"울산광역시  (3100000000)","160,201","160,201","11","37","52","177","4,711","14,981","13,499","12,642","12,335","14,131","15,482","16,843","17,780","13,079","9,151","6,913","4,920","2,407","754","177","119"
"세종특별자치시  (3600000000)","48,131","48,131","3","16","16","123","2,365","7,179","6,664","4,820","3,926","3,988","3,785","3,680","3,545","2,493","1,782","1,487","1,185","727","255","63","29"
"경기도  (4100000000)","2,029,658","2,029,658","153","601","919","5,538","79,035","228,452","203,626","172,962","155,822","173,644","181,607","191,931","191,905","135,447","101,920","85,463","65,283","35,919","12,983","3,466","2,982"
"강원도  (4200000000)","318,906","318,906","22","56","83","1,330","15,322","24,810","17,901","16,192","17,216","22,485","29,117","34,678","37,915","27,653","20,817","21,153","17,571","9,278","3,740","954","613"
"충청북도  (4300000000)","314,719","314,719","25","120","178","1,238","13,668","31,885","23,738","20,090","18,922","23,049","28,492","32,171","33,131","23,846","17,517","17,739","15,598","9,108","3,155","656","393"
"충청남도  (4400000000)","413,887","413,887","26","112","139","1,344","17,427","37,424","31,860","28,106","26,264","31,084","35,794","41,288","41,322","30,188","24,976","23,692","21,976","14,312","4,802","1,106","645"
"전라북도  (4500000000)","350,789","350,789","18","56","98","1,055","12,092","23,314","19,178","18,840","19,827","25,567","30,868","35,726","38,113","29,351","26,853","25,281","23,062","14,756","5,082","1,036","616"
"전라남도  (4600000000)","400,557","400,557","26","75","127","1,191","10,747","23,523","18,751","19,975","21,638","28,735","36,054","41,710","43,062","32,763","30,558","32,528","31,608","18,499","6,784","1,564","639"
"경상북도  (4700000000)","533,379","533,379","27","116","331","2,270","17,211","35,951","31,213","29,722","30,004","37,727","46,462","55,469","59,189","46,911","37,310","37,189","35,226","21,450","7,308","1,608","685"
"경상남도  (4800000000)","566,097","566,097","35","146","206","1,985","16,010","37,780","34,769","35,307","36,166","44,206","52,442","59,309","64,384","49,997","38,794","35,609","31,798","19,039","6,295","1,235","585"
"제주특별자치도  (5000000000)","125,858","125,858","9","27","32","285","3,999","9,564","8,108","9,163","9,872","12,815","14,156","13,831","12,853","8,739","6,481","5,513","4,894","3,510","1,325","478","204"
