"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~4세","2020년_계_5~9세","2020년_계_10~14세","2020년_계_15~19세","2020년_계_20~24세","2020년_계_25~29세","2020년_계_30~34세","2020년_계_35~39세","2020년_계_40~44세","2020년_계_45~49세","2020년_계_50~54세","2020년_계_55~59세","2020년_계_60~64세","2020년_계_65~69세","2020년_계_70~74세","2020년_계_75~79세","2020년_계_80~84세","2020년_계_85~89세","2020년_계_90~94세","2020년_계_95~99세","2020년_계_100세 이상"
"전국  (0000000000)","51,829,023","51,829,023","1,677,023","2,293,047","2,337,589","2,455,747","3,249,676","3,556,477","3,145,998","3,727,119","3,926,316","4,368,471","4,418,728","4,226,286","3,950,469","2,794,037","2,080,134","1,618,112","1,143,935","585,487","203,704","48,756","21,912"
"서울특별시  (1100000000)","9,668,465","9,668,465","270,481","353,264","371,652","410,214","630,115","830,296","726,382","748,724","728,008","800,174","784,730","738,826","714,460","529,494","404,546","299,530","188,219","89,875","33,503","9,180","6,792"
"부산광역시  (2600000000)","3,391,946","3,391,946","97,374","134,982","130,808","141,206","205,631","225,356","190,729","228,285","243,202","267,946","281,674","287,239","299,803","231,817","169,886","123,413","79,270","36,410","12,152","2,876","1,887"
"대구광역시  (2700000000)","2,418,346","2,418,346","74,200","104,026","106,632","119,266","159,933","161,601","134,656","159,654","176,720","207,119","217,091","208,388","188,566","137,391","99,674","75,602","52,111","25,554","7,739","1,690","733"
"인천광역시  (2800000000)","2,942,828","2,942,828","96,320","132,314","134,503","139,659","185,905","215,641","185,893","220,253","230,810","253,167","256,870","255,297","224,713","143,166","102,525","74,978","50,873","26,631","9,854","2,487","969"
"광주광역시  (2900000000)","1,450,062","1,450,062","48,770","70,922","75,106","82,038","107,097","102,278","82,132","103,735","113,951","126,916","124,383","109,439","97,629","66,155","53,570","39,971","26,441","13,230","4,787","1,088","424"
"대전광역시  (3000000000)","1,463,882","1,463,882","47,684","66,845","69,920","76,516","103,801","108,687","90,912","103,176","110,807","126,409","126,433","115,488","106,420","72,733","51,961","39,359","26,676","13,843","4,773","1,068","371"
"울산광역시  (3100000000)","1,136,017","1,136,017","41,335","57,171","55,977","56,443","70,748","73,821","67,398","84,307","90,183","97,625","106,951","102,570","88,121","57,226","36,298","23,870","15,164","7,548","2,484","602","175"
"세종특별자치시  (3600000000)","355,831","355,831","20,901","26,382","24,319","18,358","17,056","20,397","26,014","35,478","36,398","32,433","24,767","20,438","18,009","12,130","8,276","6,116","4,429","2,680","994","206","50"
"경기도  (4100000000)","13,427,014","13,427,014","486,768","659,216","660,978","667,236","856,236","951,612","861,075","1,046,384","1,102,570","1,196,853","1,164,819","1,070,101","927,851","604,583","433,469","332,346","230,649","117,564","42,084","10,305","4,315"
"강원도  (4200000000)","1,542,840","1,542,840","45,209","60,389","64,876","72,632","93,554","86,461","75,078","91,271","102,266","122,112","132,013","135,802","141,486","100,092","69,876","65,583","48,895","23,117","8,971","2,293","864"
"충청북도  (4300000000)","1,600,837","1,600,837","52,777","70,594","72,924","76,455","97,947","101,262","88,242","106,435","112,956","128,238","137,933","135,867","131,059","92,282","64,012","56,507","42,884","22,685","7,504","1,705","569"
"충청남도  (4400000000)","2,121,029","2,121,029","73,073","99,555","101,176","101,372","121,014","122,186","119,694","148,904","156,834","170,957","170,699","169,484","160,893","118,479","93,901","77,538","63,284","36,681","11,709","2,675","921"
"전라북도  (4500000000)","1,804,104","1,804,104","51,498","77,194","83,137","91,826","112,279","99,185","83,029","105,983","121,619","146,658","151,542","147,980","145,971","109,858","94,488","75,852","58,370","33,134","11,298","2,347","856"
"전라남도  (4600000000)","1,851,549","1,851,549","56,034","76,168","80,129","87,179","106,593","94,116","80,211","105,853","118,922","140,827","155,718","157,961","155,958","116,419","102,724","90,182","72,425","37,193","13,057","3,010","870"
"경상북도  (4700000000)","2,639,422","2,639,422","80,061","109,500","109,104","116,820","145,890","138,273","128,595","162,522","176,794","206,714","226,118","233,544","231,772","177,478","131,227","110,184","87,876","47,171","15,445","3,341","993"
"경상남도  (4800000000)","3,340,216","3,340,216","109,520","159,246","160,856","163,358","194,381","184,055","170,913","228,645","252,093","284,130","297,951","284,497","270,313","192,418","138,249","106,942","81,352","43,296","14,293","2,881","827"
"제주특별자치도  (5000000000)","674,635","674,635","25,018","35,279","35,492","35,169","41,496","41,250","35,045","47,510","52,183","60,193","59,036","53,365","47,445","32,316","25,452","20,139","15,017","8,875","3,057","1,002","296"
