"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~4세","2018년_계_5~9세","2018년_계_10~14세","2018년_계_15~19세","2018년_계_20~24세","2018년_계_25~29세","2018년_계_30~34세","2018년_계_35~39세","2018년_계_40~44세","2018년_계_45~49세","2018년_계_50~54세","2018년_계_55~59세","2018년_계_60~64세","2018년_계_65~69세","2018년_계_70~74세","2018년_계_75~79세","2018년_계_80~84세","2018년_계_85~89세","2018년_계_90~94세","2018년_계_95~99세","2018년_계_100세 이상"
"부산광역시  (2600000000)","3,441,453","3,441,453","117,093","134,349","130,486","165,659","222,024","222,713","196,046","258,665","240,962","286,085","279,363","313,826","284,221","203,906","151,390","121,602","68,558","30,117","10,250","2,473","1,665"
"부산광역시 중구 (2611000000)","42,795","42,795","786","913","935","1,525","2,499","2,978","2,303","2,592","2,576","3,474","3,411","4,134","4,289","3,293","2,625","2,246","1,258","570","237","76","75"
"부산광역시 서구 (2614000000)","110,534","110,534","2,726","3,308","3,378","4,646","6,990","6,872","5,395","7,152","6,709","8,701","8,648","10,623","10,181","7,929","6,308","5,590","3,183","1,427","520","142","106"
"부산광역시 동구 (2617000000)","86,912","86,912","1,921","2,162","2,237","3,345","4,875","5,351","4,590","5,475","5,357","6,874","6,702","8,306","8,310","6,683","5,406","4,785","2,771","1,183","408","82","89"
"부산광역시 영도구 (2620000000)","120,109","120,109","2,698","3,429","3,620","5,147","6,785","6,355","5,497","7,231","7,383","9,343","9,660","11,913","11,976","9,265","7,542","6,524","3,510","1,465","510","135","121"
"부산광역시 부산진구 (2623000000)","362,357","362,357","11,291","12,301","11,871","15,597","24,207","27,329","23,061","27,331","24,546","28,973","28,516","32,725","30,010","21,871","16,399","13,854","7,688","3,271","1,039","269","208"
"부산광역시 동래구 (2626000000)","266,515","266,515","8,293","10,871","11,556","14,459","17,016","16,677","14,251","19,438","19,364","23,173","21,645","23,742","21,775","15,930","11,466","8,787","4,883","2,172","706","185","126"
"부산광역시 남구 (2629000000)","279,917","279,917","9,043","11,389","11,273","14,293","18,736","17,459","14,539","20,417","20,336","24,193","21,749","23,749","22,590","17,036","13,224","10,629","5,743","2,414","821","165","119"
"부산광역시 북구 (2632000000)","296,952","296,952","10,357","11,303","11,445","15,587","21,171","20,291","16,692","20,827","19,477","24,672","27,307","30,270","24,428","15,810","10,750","8,594","4,878","2,107","719","173","94"
"부산광역시 해운대구 (2635000000)","409,347","409,347","13,359","17,364","18,576","23,392","26,795","24,479","21,206","29,575","30,893","38,342","35,336","36,108","31,097","21,368","15,875","12,870","7,707","3,460","1,149","256","140"
"부산광역시 사하구 (2638000000)","327,791","327,791","10,993","12,645","12,322","16,531","22,075","21,039","18,777","24,464","22,396","27,376","27,383","31,230","27,755","19,093","13,711","10,376","5,811","2,530","933","210","141"
"부산광역시 금정구 (2641000000)","242,956","242,956","6,686","8,213","8,516","11,829","18,361","16,724","12,763","16,004","15,308","19,452","20,320","23,462","20,936","15,263","11,315","9,070","5,226","2,342","783","202","181"
"부산광역시 강서구 (2644000000)","122,957","122,957","9,811","8,791","5,376","4,155","4,933","6,668","10,490","15,685","10,591","8,354","7,268","8,675","8,070","5,230","3,446","2,701","1,511","789","300","76","37"
"부산광역시 연제구 (2647000000)","207,840","207,840","7,411","8,018","7,840","9,762","13,162","13,394","12,429","16,159","14,705","17,166","16,654","18,338","17,276","12,438","9,260","7,339","4,024","1,706","540","149","70"
"부산광역시 수영구 (2650000000)","176,246","176,246","5,305","5,480","5,588","7,396","10,981","13,218","11,331","13,574","11,774","14,025","13,080","15,397","15,313","11,537","8,925","6,812","3,865","1,836","637","111","61"
"부산광역시 사상구 (2653000000)","223,361","223,361","7,061","7,689","7,401","9,954","15,451","15,998","12,926","16,000","14,314","17,851","20,772","23,922","19,716","13,166","8,926","6,570","3,572","1,437","465","106","64"
"부산광역시 기장군 (2671000000)","164,864","164,864","9,352","10,473","8,552","8,041","7,987","7,881","9,796","16,741","15,233","14,116","10,912","11,232","10,499","7,994","6,212","4,855","2,928","1,408","483","136","33"
