"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~4세","2017년_계_5~9세","2017년_계_10~14세","2017년_계_15~19세","2017년_계_20~24세","2017년_계_25~29세","2017년_계_30~34세","2017년_계_35~39세","2017년_계_40~44세","2017년_계_45~49세","2017년_계_50~54세","2017년_계_55~59세","2017년_계_60~64세","2017년_계_65~69세","2017년_계_70~74세","2017년_계_75~79세","2017년_계_80~84세","2017년_계_85~89세","2017년_계_90~94세","2017년_계_95~99세","2017년_계_100세 이상"
"전국  (0000000000)","51,778,544","51,778,544","2,079,115","2,356,083","2,350,767","2,953,658","3,486,427","3,324,540","3,311,945","4,056,704","4,091,743","4,611,009","4,153,396","4,336,808","3,310,243","2,347,021","1,793,132","1,585,974","968,146","451,453","153,236","39,294","17,850"
"서울특별시  (1100000000)","9,857,426","9,857,426","350,277","378,185","390,804","503,852","674,674","772,441","758,616","820,573","778,634","869,355","757,665","795,878","646,571","462,481","356,509","278,800","152,642","70,471","25,877","7,602","5,519"
"부산광역시  (2600000000)","3,470,653","3,470,653","123,780","134,952","133,256","176,788","231,095","220,696","207,213","260,411","252,607","292,445","276,951","322,593","272,339","200,278","143,551","116,352","63,737","28,416","9,367","2,212","1,614"
"대구광역시  (2700000000)","2,475,231","2,475,231","93,774","107,269","112,974","148,782","177,257","154,955","142,938","181,077","193,535","227,611","210,111","214,566","162,923","119,995","83,333","73,961","43,499","18,958","5,795","1,303","615"
"인천광역시  (2800000000)","2,948,542","2,948,542","121,874","138,051","135,041","166,522","205,824","203,987","196,438","243,227","238,671","267,913","250,231","256,870","178,869","114,703","86,334","70,435","42,704","20,725","7,439","1,893","791"
"광주광역시  (2900000000)","1,463,770","1,463,770","61,273","74,600","78,062","101,745","112,384","91,226","90,203","115,319","120,744","132,460","115,793","110,142","78,957","59,718","45,257","38,487","22,098","10,458","3,568","931","345"
"대전광역시  (3000000000)","1,502,227","1,502,227","63,201","72,017","74,377","93,628","111,614","102,359","97,950","117,334","121,231","137,474","117,357","121,940","91,078","60,966","43,704","37,540","22,849","10,753","3,672","869","314"
"울산광역시  (3100000000)","1,165,132","1,165,132","54,057","58,384","55,591","71,303","82,502","74,464","75,053","96,012","92,741","108,954","104,718","102,924","71,796","45,188","28,279","22,165","12,626","5,804","1,971","447","153"
"세종특별자치시  (3600000000)","280,100","280,100","19,226","20,946","17,693","14,370","14,210","16,056","21,908","30,499","28,270","23,850","16,992","16,679","12,550","8,550","6,040","5,670","3,826","1,942","636","138","49"
"경기도  (4100000000)","12,873,895","12,873,895","570,103","656,397","641,829","768,807","874,979","846,545","852,494","1,082,495","1,101,717","1,212,243","1,050,438","1,027,318","720,695","471,682","367,856","309,458","188,866","87,833","30,682","8,089","3,369"
"강원도  (4200000000)","1,550,142","1,550,142","52,651","64,075","67,679","89,267","102,126","83,788","79,377","100,811","111,426","130,790","125,042","145,797","117,337","77,070","69,535","66,086","39,372","18,490","7,000","1,726","697"
"충청북도  (4300000000)","1,594,432","1,594,432","64,209","72,997","72,634","93,192","106,777","92,886","93,907","113,775","119,602","135,994","127,247","139,789","108,989","73,292","58,591","57,766","38,489","16,823","5,598","1,398","477"
"충청남도  (4400000000)","2,116,770","2,116,770","90,932","102,946","99,211","119,246","128,816","119,543","130,413","161,950","161,164","175,364","157,805","172,402","134,032","103,152","79,727","82,097","58,819","27,478","8,716","2,203","754"
"전라북도  (4500000000)","1,854,607","1,854,607","67,854","82,963","86,376","113,580","123,592","96,350","94,635","121,322","135,581","155,717","144,160","156,060","125,135","99,781","80,349","80,641","53,751","25,614","8,332","2,108","706"
"전라남도  (4600000000)","1,896,424","1,896,424","70,197","81,032","81,907","109,738","117,387","90,025","92,908","119,327","128,133","153,158","152,436","164,096","127,629","109,580","92,741","100,108","62,531","30,619","9,612","2,521","739"
"경상북도  (4700000000)","2,691,706","2,691,706","103,076","112,375","110,178","144,218","163,898","141,492","145,937","183,150","190,517","223,737","217,850","243,636","198,961","153,190","112,395","117,719","77,582","36,206","11,978","2,798","813"
"경상남도  (4800000000)","3,380,404","3,380,404","143,158","164,257","158,538","198,364","215,566","181,702","194,774","259,291","263,796","302,849","274,889","294,963","223,797","160,138","116,076","109,248","71,190","34,328","10,670","2,157","653"
"제주특별자치도  (5000000000)","657,083","657,083","29,473","34,637","34,617","40,256","43,726","36,025","37,181","50,131","53,374","61,095","53,711","51,155","38,585","27,257","22,855","19,441","13,565","6,535","2,323","899","242"
