"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~9세","2016년_계_10~19세","2016년_계_20~29세","2016년_계_30~39세","2016년_계_40~49세","2016년_계_50~59세","2016년_계_60~69세","2016년_계_70~79세","2016년_계_80~89세","2016년_계_90~99세","2016년_계_100세 이상","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~9세","2016년_남_10~19세","2016년_남_20~29세","2016년_남_30~39세","2016년_남_40~49세","2016년_남_50~59세","2016년_남_60~69세","2016년_남_70~79세","2016년_남_80~89세","2016년_남_90~99세","2016년_남_100세 이상","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~9세","2016년_여_10~19세","2016년_여_20~29세","2016년_여_30~39세","2016년_여_40~49세","2016년_여_50~59세","2016년_여_60~69세","2016년_여_70~79세","2016년_여_80~89세","2016년_여_90~99세","2016년_여_100세 이상"
"전국  (1000000000)","7,446,665","7,446,665","2,690","32,833","908,713","1,268,814","1,292,520","1,464,860","1,122,404","843,884","437,272","60,043","12,632","3,863,871","3,863,871","1,341","16,391","496,202","818,637","838,471","852,457","502,451","240,358","82,275","12,221","3,067","3,582,794","3,582,794","1,349","16,442","412,511","450,177","454,049","612,403","619,953","603,526","354,997","47,822","9,565"
"서울특별시  (1100000000)","1,561,533","1,561,533","585","7,568","266,801","339,061","268,632","257,337","206,350","140,777","60,484","9,920","4,018","784,865","784,865","291","3,236","123,215","194,653","162,711","149,477","90,166","44,203","13,282","2,610","1,021","776,668","776,668","294","4,332","143,586","144,408","105,921","107,860","116,184","96,574","47,202","7,310","2,997"
"부산광역시  (2600000000)","490,809","490,809","120","1,775","54,482","66,977","76,167","99,698","94,360","64,922","27,826","3,254","1,228","236,017","236,017","68","832","27,245","41,058","47,112","55,423","39,513","18,329","5,396","777","264","254,792","254,792","52","943","27,237","25,919","29,055","44,275","54,847","46,593","22,430","2,477","964"
"대구광역시  (2700000000)","315,016","315,016","146","1,098","31,705","46,538","54,824","66,530","54,896","38,791","18,040","2,016","432","154,507","154,507","61","559","16,943","29,521","34,802","36,365","22,173","10,201","3,393","386","103","160,509","160,509","85","539","14,762","17,017","20,022","30,165","32,723","28,590","14,647","1,630","329"
"인천광역시  (2800000000)","373,035","373,035","139","1,219","37,899","65,808","73,373","82,235","55,257","36,490","17,571","2,545","499","204,035","204,035","75","548","21,769","43,764","48,461","48,773","25,613","10,871","3,462","566","133","169,000","169,000","64","671","16,130","22,044","24,912","33,462","29,644","25,619","14,109","1,979","366"
"광주광역시  (2900000000)","195,232","195,232","85","992","25,054","38,013","34,936","36,843","27,779","20,557","9,526","1,209","238","101,889","101,889","44","483","13,356","24,784","23,308","20,366","11,695","5,772","1,843","211","27","93,343","93,343","41","509","11,698","13,229","11,628","16,477","16,084","14,785","7,683","998","211"
"대전광역시  (3000000000)","200,445","200,445","63","1,120","34,310","37,176","34,130","37,272","27,747","18,421","8,926","1,086","194","105,092","105,092","33","473","18,598","23,716","21,708","20,757","12,085","5,552","1,874","244","52","95,353","95,353","30","647","15,712","13,460","12,422","16,515","15,662","12,869","7,052","842","142"
"울산광역시  (3100000000)","136,470","136,470","56","277","16,584","26,009","26,212","29,209","20,856","11,796","4,815","563","93","79,381","79,381","29","131","11,422","19,339","17,718","16,778","9,453","3,569","839","84","19","57,089","57,089","27","146","5,162","6,670","8,494","12,431","11,403","8,227","3,976","479","74"
"세종특별자치시  (3600000000)","30,520","30,520","12","92","5,212","6,629","5,519","5,381","3,559","2,419","1,453","213","31","16,441","16,441","2","47","2,769","4,172","3,497","3,163","1,738","714","297","34","8","14,079","14,079","10","45","2,443","2,457","2,022","2,218","1,821","1,705","1,156","179","23"
"경기도  (4100000000)","1,599,701","1,599,701","676","6,049","190,013","306,256","315,224","328,159","221,083","149,302","70,351","10,206","2,382","890,273","890,273","339","3,043","111,753","207,037","207,171","195,485","101,422","46,145","14,815","2,405","658","709,428","709,428","337","3,006","78,260","99,219","108,053","132,674","119,661","103,157","55,536","7,801","1,724"
