"행정구역","2012년12월_전체세대","2012년12월_1인세대","2012년12월_2인세대","2012년12월_3인세대","2012년12월_4인세대","2012년12월_5인세대","2012년12월_6인세대","2012년12월_7인세대","2012년12월_8인세대","2012년12월_9인세대","2012년12월_10인이상세대"
"부산광역시  (2600000000)","1,389,526","428,885","293,306","280,825","288,015","75,577","17,368","4,024","973","300","253"
"부산광역시 중구 (2611000000)","23,309","11,006","4,939","3,642","2,697","729","216","55","11","9","5"
"부산광역시 서구 (2614000000)","53,138","21,649","11,675","9,031","7,715","2,222","630","153","32","13","18"
"부산광역시 동구 (2617000000)","43,859","17,577","9,915","7,703","6,241","1,779","491","111","26","6","10"
"부산광역시 영도구 (2620000000)","57,900","19,552","13,656","11,185","9,742","2,784","719","190","39","20","13"
"부산광역시 부산진구 (2623000000)","160,699","54,974","34,013","30,847","30,366","8,150","1,807","406","93","25","18"
"부산광역시 동래구 (2626000000)","105,187","29,340","21,501","22,088","24,003","6,323","1,452","352","88","23","17"
"부산광역시 남구 (2629000000)","113,397","33,487","24,701","23,520","23,533","6,192","1,500","318","95","31","20"
"부산광역시 북구 (2632000000)","115,306","29,483","23,330","24,701","28,846","7,117","1,444","278","67","19","21"
"부산광역시 해운대구 (2635000000)","160,053","43,009","32,222","34,441","38,190","9,508","2,069","462","94","40","18"
"부산광역시 사하구 (2638000000)","134,327","37,853","27,790","28,569","30,349","7,583","1,658","392","90","27","16"
"부산광역시 금정구 (2641000000)","99,610","30,469","20,877","20,178","20,774","5,599","1,286","289","86","18","34"
"부산광역시 강서구 (2644000000)","27,838","10,775","5,765","4,676","4,603","1,447","398","122","37","7","8"
"부산광역시 연제구 (2647000000)","82,161","24,299","17,516","17,043","17,498","4,419","1,070","220","64","20","12"
"부산광역시 수영구 (2650000000)","71,183","22,684","16,180","14,412","13,118","3,669","835","210","47","18","10"
"부산광역시 사상구 (2653000000)","96,373","28,671","19,132","19,986","21,609","5,407","1,177","306","59","10","16"
"부산광역시 기장군 (2671000000)","45,186","14,057","10,094","8,803","8,731","2,649","616","160","45","14","17"
