"행정구역","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~4세","2024년_계_5~9세","2024년_계_10~14세","2024년_계_15~19세","2024년_계_20~24세","2024년_계_25~29세","2024년_계_30~34세","2024년_계_35~39세","2024년_계_40~44세","2024년_계_45~49세","2024년_계_50~54세","2024년_계_55~59세","2024년_계_60~64세","2024년_계_65~69세","2024년_계_70~74세","2024년_계_75~79세","2024년_계_80~84세","2024년_계_85~89세","2024년_계_90~94세","2024년_계_95~99세","2024년_계_100세 이상"
"전국  (0000000000)","51,217,221","51,217,221","1,271,776","1,868,342","2,324,303","2,294,962","2,647,814","3,307,842","3,479,212","3,145,351","3,882,799","3,840,024","4,433,119","4,273,251","4,191,644","3,627,139","2,399,923","1,786,674","1,340,024","764,520","270,242","59,683","8,577"
"서울특별시  (1100000000)","9,331,828","9,331,828","202,897","280,883","352,036","368,731","530,569","777,691","796,699","645,966","708,639","675,311","775,758","710,310","692,690","633,549","436,781","336,990","234,945","120,305","40,067","9,527","1,484"
"부산광역시  (2600000000)","3,266,598","3,266,598","71,136","110,600","135,490","127,362","163,088","195,300","204,349","184,609","238,173","232,998","268,884","268,601","285,432","275,660","195,449","141,398","99,408","49,238","15,553","3,441","429"
"대구광역시  (2700000000)","2,363,629","2,363,629","54,874","87,354","107,053","105,385","125,150","142,950","148,274","134,358","169,366","175,279","209,258","208,923","202,149","173,381","119,566","85,577","65,070","35,436","11,724","2,242","260"
"인천광역시  (2800000000)","3,021,010","3,021,010","81,391","113,805","138,100","134,476","153,014","198,382","222,125","199,975","242,862","232,731","262,005","254,578","254,197","205,697","122,684","89,836","62,700","35,652","13,112","3,182","506"
"광주광역시  (2900000000)","1,408,422","1,408,422","36,090","56,747","72,239","73,179","85,073","96,960","92,591","81,171","108,425","111,086","126,940","116,214","104,727","85,910","57,181","46,342","32,503","17,251","6,222","1,390","181"
"대전광역시  (3000000000)","1,439,157","1,439,157","38,254","53,259","66,815","68,798","87,895","105,575","102,958","87,979","105,316","107,794","125,591","118,192","111,486","94,974","61,904","44,021","32,067","18,234","6,433","1,397","215"
"울산광역시  (3100000000)","1,098,049","1,098,049","28,086","45,011","56,177","53,193","51,357","65,800","69,995","66,298","87,301","85,887","98,818","104,160","97,264","77,941","47,692","29,618","19,632","9,665","3,352","716","86"
"세종특별자치시  (3600000000)","390,685","390,685","16,247","25,104","28,514","24,025","17,621","19,459","27,604","31,218","40,202","36,891","32,886","24,244","21,369","17,415","10,696","7,086","5,211","3,201","1,330","323","39"
"경기도  (4100000000)","13,694,685","13,694,685","387,676","552,312","669,968","648,339","718,692","908,856","988,842","918,541","1,124,377","1,090,497","1,224,846","1,132,761","1,059,375","851,635","520,790","384,324","280,350","160,324","57,036","13,197","1,947"
"강원특별자치도  (5100000000)","1,517,766","1,517,766","36,232","49,537","62,226","64,411","74,517","81,693","82,347","76,177","97,701","102,988","127,662","133,185","144,120","135,014","85,627","63,925","54,420","31,938","10,888","2,737","421"
"충청북도  (4300000000)","1,591,177","1,591,177","40,110","57,727","71,797","71,199","78,553","95,193","99,423","89,851","112,017","113,007","133,275","140,166","139,672","124,413","79,592","56,403","46,860","29,257","10,262","2,116","284"
"충청남도  (4400000000)","2,136,574","2,136,574","54,010","81,306","101,934","99,853","103,360","116,908","126,344","125,995","160,292","157,707","178,897","174,460","179,860","155,254","107,087","81,220","66,171","44,851","17,091","3,486","488"
"전북특별자치도  (5200000000)","1,738,690","1,738,690","36,813","58,268","79,402","81,968","88,247","93,011","89,545","83,107","112,277","122,199","151,545","150,415","152,630","136,232","99,500","80,287","63,826","40,409","15,266","3,281","462"
"전라남도  (4600000000)","1,788,819","1,788,819","41,528","59,840","78,430","78,008","80,420","88,809","86,645","82,499","112,685","120,061","149,049","159,268","165,085","146,614","105,891","89,530","76,057","47,165","17,114","3,580","541"
"경상북도  (4700000000)","2,531,384","2,531,384","55,187","85,071","107,947","107,806","112,319","123,502","128,762","127,001","168,786","175,214","213,828","227,461","239,273","218,156","155,260","109,729","92,903","57,719","20,709","4,200","551"
"경상남도  (4800000000)","3,228,380","3,228,380","72,994","122,013","159,832","154,310","144,937","160,746","172,668","173,059","241,854","247,682","291,743","293,016","289,196","251,420","166,766","117,925","91,072","53,282","19,507","3,907","451"
"제주특별자치도  (5000000000)","670,368","670,368","18,251","29,505","36,343","33,919","33,002","37,007","40,041","37,547","52,526","52,692","62,134","57,297","53,119","43,874","27,457","22,463","16,829","10,593","4,576","961","232"
