"행정구역","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~4세","2024년_계_5~9세","2024년_계_10~14세","2024년_계_15~19세","2024년_계_20~24세","2024년_계_25~29세","2024년_계_30~34세","2024년_계_35~39세","2024년_계_40~44세","2024년_계_45~49세","2024년_계_50~54세","2024년_계_55~59세","2024년_계_60~64세","2024년_계_65~69세","2024년_계_70~74세","2024년_계_75~79세","2024년_계_80~84세","2024년_계_85~89세","2024년_계_90~94세","2024년_계_95~99세","2024년_계_100세 이상"
"부산광역시 중구 (2611000000)","14,865","14,865","0","1","1","40","991","1,718","1,328","709","681","684","1,022","1,190","1,445","1,636","1,206","906","712","412","130","49","4"
"부산광역시 서구 (2614000000)","26,172","26,172","1","3","5","136","1,794","2,250","1,626","973","1,098","1,228","1,733","2,044","2,711","2,957","2,487","1,986","1,709","1,029","310","85","7"
"부산광역시 동구 (2617000000)","24,341","24,341","0","6","6","20","564","2,027","2,067","1,237","1,291","1,263","1,744","2,028","2,415","2,730","2,180","1,769","1,659","943","319","68","5"
"부산광역시 영도구 (2620000000)","24,844","24,844","0","1","4","67","790","930","1,052","838","1,123","1,261","1,826","2,258","2,926","3,316","2,611","2,370","1,998","1,084","306","79","4"
"부산광역시 부산진구 (2623000000)","87,566","87,566","2","6","13","356","6,811","12,182","10,367","5,643","4,975","4,375","5,408","5,778","6,876","7,505","5,670","4,616","3,926","2,202","713","126","16"
"부산광역시 동래구 (2626000000)","43,960","43,960","1","6","8","56","1,318","3,576","3,969","2,604","2,749","2,590","3,194","3,406","4,256","5,082","3,904","2,919","2,471","1,345","435","66","5"
"부산광역시 남구 (2629000000)","48,517","48,517","1","3","12","541","5,994","4,980","3,633","2,303","2,462","2,290","3,134","3,240","3,881","4,619","3,701","3,086","2,680","1,408","458","83","8"
"부산광역시 북구 (2632000000)","44,405","44,405","2","4","9","43","778","2,361","2,970","2,179","2,344","2,268","3,225","4,173","5,537","6,050","4,310","3,301","2,766","1,497","498","78","12"
"부산광역시 해운대구 (2635000000)","62,085","62,085","1","13","21","103","1,465","4,350","5,080","3,711","4,088","3,915","5,040","5,247","6,226","6,722","5,224","4,297","3,634","2,143","652","134","19"
"부산광역시 사하구 (2638000000)","58,035","58,035","1","6","24","226","2,885","3,956","3,767","2,747","3,305","3,258","4,336","5,234","6,482","6,885","5,228","4,106","3,220","1,721","531","103","14"
"부산광역시 금정구 (2641000000)","47,526","47,526","3","5","10","315","5,473","4,673","3,225","2,017","2,130","2,172","2,968","3,540","4,484","4,946","3,838","3,129","2,570","1,465","464","92","7"
"부산광역시 강서구 (2644000000)","23,590","23,590","0","2","7","33","567","2,356","2,896","2,057","2,136","1,659","1,791","1,875","2,266","2,213","1,469","948","730","417","136","31","1"
"부산광역시 연제구 (2647000000)","39,429","39,429","1","7","9","78","1,488","3,841","4,234","2,610","2,439","2,088","2,671","2,891","3,629","4,075","3,235","2,547","2,060","1,113","343","66","4"
"부산광역시 수영구 (2650000000)","41,708","41,708","1","6","15","82","2,005","5,812","5,460","2,993","2,541","2,237","2,613","2,639","3,021","3,621","2,818","2,350","1,893","1,114","387","87","13"
"부산광역시 사상구 (2653000000)","44,558","44,558","2","10","20","219","2,618","3,803","3,468","2,171","2,230","2,333","3,150","4,208","5,247","5,256","3,750","2,779","1,917","1,027","297","49","4"
"부산광역시 기장군 (2671000000)","30,267","30,267","0","4","10","30","565","2,109","2,535","1,849","2,112","2,121","2,503","2,664","3,058","3,270","2,484","2,097","1,579","903","309","55","10"
