"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_계_10~19세","2018년_계_20~29세","2018년_계_30~39세","2018년_계_40~49세","2018년_계_50~59세","2018년_계_60~69세","2018년_계_70~79세","2018년_계_80~89세","2018년_계_90~99세","2018년_계_100세 이상","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_남_10~19세","2018년_남_20~29세","2018년_남_30~39세","2018년_남_40~49세","2018년_남_50~59세","2018년_남_60~69세","2018년_남_70~79세","2018년_남_80~89세","2018년_남_90~99세","2018년_남_100세 이상","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2018년_여_10~19세","2018년_여_20~29세","2018년_여_30~39세","2018년_여_40~49세","2018년_여_50~59세","2018년_여_60~69세","2018년_여_70~79세","2018년_여_80~89세","2018년_여_90~99세","2018년_여_100세 이상"
"부산광역시 중구 (2611000000)","12,302","12,302","1","39","1,501","1,385","1,696","2,342","2,646","1,729","746","161","56","6,114","6,114","0","12","702","870","1,092","1,362","1,258","587","176","47","8","6,188","6,188","1","27","799","515","604","980","1,388","1,142","570","114","48"
"부산광역시 서구 (2614000000)","23,834","23,834","5","127","3,067","2,356","2,776","4,567","5,042","3,770","1,760","272","92","11,178","11,178","5","40","1,298","1,402","1,737","2,735","2,328","1,163","386","60","24","12,656","12,656","0","87","1,769","954","1,039","1,832","2,714","2,607","1,374","212","68"
"부산광역시 동구 (2617000000)","20,333","20,333","7","37","1,656","2,148","2,690","3,856","4,465","3,407","1,764","224","79","9,812","9,812","3","15","754","1,354","1,730","2,419","2,116","1,011","339","51","20","10,521","10,521","4","22","902","794","960","1,437","2,349","2,396","1,425","173","59"
"부산광역시 영도구 (2620000000)","22,017","22,017","3","56","1,288","1,671","2,696","4,462","5,315","4,285","1,894","256","91","10,678","10,678","2","29","787","1,091","1,781","2,795","2,510","1,211","389","56","27","11,339","11,339","1","27","501","580","915","1,667","2,805","3,074","1,505","200","64"
"부산광역시 부산진구 (2623000000)","67,614","67,614","4","222","11,886","10,386","9,011","11,294","11,830","8,498","3,774","535","174","31,481","31,481","2","91","5,167","5,827","5,348","6,448","5,241","2,395","809","119","34","36,133","36,133","2","131","6,719","4,559","3,663","4,846","6,589","6,103","2,965","416","140"
"부산광역시 동래구 (2626000000)","34,347","34,347","5","70","3,516","4,838","4,930","6,407","7,312","4,769","2,133","264","103","15,786","15,786","1","31","1,681","2,851","2,932","3,406","2,941","1,387","475","65","16","18,561","18,561","4","39","1,835","1,987","1,998","3,001","4,371","3,382","1,658","199","87"
"부산광역시 남구 (2629000000)","39,555","39,555","8","292","6,570","4,853","5,344","6,551","7,420","5,599","2,485","332","101","18,615","18,615","5","128","3,458","3,113","3,236","3,611","2,996","1,492","481","76","19","20,940","20,940","3","164","3,112","1,740","2,108","2,940","4,424","4,107","2,004","256","82"
"부산광역시 북구 (2632000000)","36,430","36,430","8","75","2,983","4,264","4,936","7,732","8,285","5,374","2,470","247","56","17,398","17,398","6","33","1,596","2,798","3,106","4,174","3,552","1,558","513","50","12","19,032","19,032","2","42","1,387","1,466","1,830","3,558","4,733","3,816","1,957","197","44"
"부산광역시 해운대구 (2635000000)","52,340","52,340","26","113","4,903","7,820","8,289","9,812","10,201","7,200","3,466","392","118","22,834","22,834","12","53","2,181","4,308","4,584","5,022","4,004","1,926","632","82","30","29,506","29,506","14","60","2,722","3,512","3,705","4,790","6,197","5,274","2,834","310","88"
"부산광역시 사하구 (2638000000)","46,945","46,945","21","169","5,141","5,920","6,695","9,421","9,835","6,474","2,778","362","129","23,942","23,942","11","79","2,995","4,034","4,405","5,510","4,280","1,962","574","66","26","23,003","23,003","10","90","2,146","1,886","2,290","3,911","5,555","4,512","2,204","296","103"
"부산광역시 금정구 (2641000000)","39,949","39,949","6","400","7,357","4,554","4,896","6,935","7,644","5,264","2,515","275","103","19,052","19,052","6","185","4,054","2,832","2,964","3,719","3,121","1,556","529","66","20","20,897","20,897","0","215","3,303","1,722","1,932","3,216","4,523","3,708","1,986","209","83"
"부산광역시 강서구 (2644000000)","17,297","17,297","3","27","1,751","3,434","2,819","3,435","3,195","1,751","740","114","28","10,678","10,678","1","15","1,172","2,601","2,031","2,246","1,723","700","160","21","8","6,619","6,619","2","12","579","833","788","1,189","1,472","1,051","580","93","20"
"부산광역시 연제구 (2647000000)","30,008","30,008","5","74","3,687","4,544","4,288","5,469","5,881","4,046","1,750","218","46","13,616","13,616","3","27","1,597","2,631","2,477","2,890","2,395","1,160","375","50","11","16,392","16,392","2","47","2,090","1,913","1,811","2,579","3,486","2,886","1,375","168","35"
"부산광역시 수영구 (2650000000)","31,438","31,438","4","82","5,307","5,700","4,452","4,808","5,336","3,716","1,766","222","45","13,808","13,808","1","30","2,310","3,153","2,431","2,393","2,032","1,056","364","30","8","17,630","17,630","3","52","2,997","2,547","2,021","2,415","3,304","2,660","1,402","192","37"
"부산광역시 사상구 (2653000000)","35,073","35,073","24","114","3,878","4,033","5,060","8,211","7,380","4,381","1,775","169","48","18,451","18,451","11","44","1,906","2,686","3,434","5,160","3,459","1,377","347","23","4","16,622","16,622","13","70","1,972","1,347","1,626","3,051","3,921","3,004","1,428","146","44"
"부산광역시 기장군 (2671000000)","22,711","22,711","0","43","1,967","3,571","3,715","4,267","4,434","3,056","1,426","209","23","11,453","11,453","0","26","1,110","2,392","2,335","2,361","1,962","952","269","41","5","11,258","11,258","0","17","857","1,179","1,380","1,906","2,472","2,104","1,157","168","18"
