"행정구역","2013년12월_전체세대","2013년12월_1인세대","2013년12월_2인세대","2013년12월_3인세대","2013년12월_4인세대","2013년12월_5인세대","2013년12월_6인세대","2013년12월_7인세대","2013년12월_8인세대","2013년12월_9인세대","2013년12월_10인이상세대"
"부산광역시  (2600000000)","1,404,663","442,672","305,507","281,667","279,964","72,620","16,840","3,888","954","309","242"
"부산광역시 중구 (2611000000)","23,374","11,312","5,051","3,486","2,553","691","201","59","11","5","5"
"부산광역시 서구 (2614000000)","53,031","21,961","11,949","8,842","7,356","2,117","604","136","43","8","15"
"부산광역시 동구 (2617000000)","43,528","17,905","10,086","7,365","5,881","1,706","442","97","27","10","9"
"부산광역시 영도구 (2620000000)","57,277","19,896","13,772","10,976","9,122","2,613","655","184","33","17","9"
"부산광역시 부산진구 (2623000000)","162,795","57,652","35,410","30,764","29,059","7,567","1,801","406","90","27","19"
"부산광역시 동래구 (2626000000)","105,836","30,247","22,393","21,831","23,466","6,017","1,408","349","82","25","18"
"부산광역시 남구 (2629000000)","114,945","34,637","25,535","23,702","23,136","6,055","1,417","321","88","33","21"
"부산광역시 북구 (2632000000)","115,308","29,878","24,231","24,654","27,865","6,855","1,437","283","69","19","17"
"부산광역시 해운대구 (2635000000)","161,081","44,212","33,391","34,689","37,076","9,134","1,956","455","112","40","16"
"부산광역시 사하구 (2638000000)","134,841","38,857","28,804","28,541","29,319","7,287","1,530","375","82","30","16"
"부산광역시 금정구 (2641000000)","100,423","31,539","21,884","19,980","20,060","5,276","1,257","292","74","25","36"
"부산광역시 강서구 (2644000000)","29,491","11,240","6,196","5,005","4,970","1,516","407","107","30","12","8"
"부산광역시 연제구 (2647000000)","82,467","24,963","18,201","16,878","16,807","4,279","1,033","218","58","18","12"
"부산광역시 수영구 (2650000000)","71,790","23,457","16,851","14,412","12,562","3,403","849","191","44","13","8"
"부산광역시 사상구 (2653000000)","96,636","29,536","19,954","19,929","20,602","5,124","1,145","262","58","12","14"
"부산광역시 기장군 (2671000000)","51,840","15,380","11,799","10,613","10,130","2,980","698","153","53","15","19"
