"행정구역","2020년12월_전체세대","2020년12월_1인세대","2020년12월_2인세대","2020년12월_3인세대","2020년12월_4인세대","2020년12월_5인세대","2020년12월_6인세대","2020년12월_7인세대","2020년12월_8인세대","2020년12월_9인세대","2020년12월_10인이상세대"
"부산광역시  (2600000000)","1,530,431","592,265","381,766","274,330","218,096","50,646","10,189","2,211","566","187","175"
"부산광역시 중구 (2611000000)","23,847","13,800","5,264","2,711","1,501","425","111","27","4","1","3"
"부산광역시 서구 (2614000000)","53,853","25,428","13,055","8,005","5,484","1,452","315","71","24","6","13"
"부산광역시 동구 (2617000000)","46,003","22,467","11,474","6,583","4,107","1,059","246","48","11","2","6"
"부산광역시 영도구 (2620000000)","54,903","23,453","14,931","8,717","5,868","1,483","349","74","11","10","7"
"부산광역시 부산진구 (2623000000)","173,263","76,432","41,865","27,997","20,790","4,927","981","205","42","17","7"
"부산광역시 동래구 (2626000000)","114,987","38,717","28,905","22,414","19,443","4,430","824","174","49","15","16"
"부산광역시 남구 (2629000000)","117,876","43,357","29,496","21,747","17,930","4,166","885","222","49","10","14"
"부산광역시 북구 (2632000000)","120,668","39,663","31,373","23,933","20,161","4,515","837","135","35","10","6"
"부산광역시 해운대구 (2635000000)","171,376","58,018","42,780","34,062","28,658","6,152","1,256","304","100","28","18"
"부산광역시 사하구 (2638000000)","138,854","51,458","35,525","25,791","20,287","4,628","918","162","49","21","15"
"부산광역시 금정구 (2641000000)","107,561","43,856","26,834","18,531","14,079","3,309","707","162","42","16","25"
"부산광역시 강서구 (2644000000)","58,141","20,691","12,666","11,179","10,517","2,493","459","97","29","5","5"
"부산광역시 연제구 (2647000000)","92,583","33,847","23,626","17,425","13,767","3,098","640","125","32","12","11"
"부산광역시 수영구 (2650000000)","84,311","35,828","21,700","13,968","9,722","2,400","513","121","35","15","9"
"부산광역시 사상구 (2653000000)","97,556","38,706","24,447","17,436","13,190","3,017","581","140","22","10","7"
"부산광역시 기장군 (2671000000)","74,649","26,544","17,825","13,831","12,592","3,092","567","144","32","9","13"
