"행정구역","2010년_계_총인구수","2010년_계_연령구간인구수","2010년_계_0~4세","2010년_계_5~9세","2010년_계_10~14세","2010년_계_15~19세","2010년_계_20~24세","2010년_계_25~29세","2010년_계_30~34세","2010년_계_35~39세","2010년_계_40~44세","2010년_계_45~49세","2010년_계_50~54세","2010년_계_55~59세","2010년_계_60~64세","2010년_계_65~69세","2010년_계_70~74세","2010년_계_75~79세","2010년_계_80~84세","2010년_계_85~89세","2010년_계_90~94세","2010년_계_95~99세","2010년_계_100세 이상"
"전국  (0000000000)","50,515,666","50,515,666","2,299,695","2,457,829","3,262,445","3,564,430","3,135,901","3,731,055","3,950,726","4,419,823","4,500,157","4,344,195","4,110,228","2,956,595","2,276,235","1,915,094","1,569,480","1,049,045","580,579","271,189","87,444","22,391","11,130"
"서울특별시  (1100000000)","10,312,545","10,312,545","425,291","434,230","575,059","672,930","665,447","918,237","928,538","940,909","893,918","855,630","852,094","645,595","501,897","393,267","277,164","166,935","94,440","46,009","16,492","4,940","3,523"
"부산광역시  (2600000000)","3,567,910","3,567,910","128,670","141,940","202,246","244,860","231,246","269,266","262,699","279,765","297,655","311,853","334,210","263,664","198,052","154,143","115,168","70,791","38,051","16,490","4,719","1,379","1,043"
"대구광역시  (2700000000)","2,511,676","2,511,676","102,583","119,844","170,085","191,416","164,476","176,880","182,018","213,462","231,100","228,549","210,338","154,698","114,143","91,978","73,030","47,888","24,322","10,541","3,163","808","354"
"인천광역시  (2800000000)","2,758,296","2,758,296","128,173","135,568","181,529","209,408","181,956","208,127","218,243","246,612","257,463","261,281","233,858","149,517","108,756","84,886","66,186","43,893","25,321","12,241","3,908","954","416"
"광주광역시  (2900000000)","1,454,636","1,454,636","71,779","82,562","114,329","119,005","95,380","109,517","115,020","128,783","130,349","118,067","106,920","72,578","59,890","47,518","36,019","23,729","13,909","6,369","2,114","538","261"
"대전광역시  (3000000000)","1,503,664","1,503,664","72,991","80,731","106,667","115,635","100,783","114,201","119,436","135,496","137,108","129,228","119,977","81,974","59,192","46,980","36,223","24,295","13,566","6,459","2,026","519","177"
"울산광역시  (3100000000)","1,126,298","1,126,298","55,712","58,124","82,498","92,423","72,382","80,050","87,940","99,182","111,130","108,696","96,047","63,933","41,381","29,127","21,314","13,664","7,662","3,600","1,097","241","95"
"경기도  (4100000000)","11,786,622","11,786,622","617,702","652,195","823,386","857,640","715,102","852,871","972,984","1,142,055","1,143,720","1,055,162","909,191","588,602","433,556","360,847","291,622","191,541","105,422","50,462","16,407","4,166","1,989"
"강원도  (4200000000)","1,529,818","1,529,818","63,036","73,086","97,415","101,955","91,847","94,403","99,282","119,161","128,252","129,643","135,147","97,503","72,583","75,915","67,374","41,148","24,365","12,230","4,100","965","408"
"충청북도  (4300000000)","1,549,528","1,549,528","71,813","77,129","103,464","109,737","94,601","106,381","109,605","125,500","134,088","130,184","125,352","90,566","66,638","65,834","59,464","41,971","22,388","10,469","3,237","835","272"
"충청남도  (4400000000)","2,075,514","2,075,514","100,848","103,902","132,747","135,817","120,720","141,001","152,089","168,619","168,146","165,846","157,638","119,215","100,370","92,654","88,937","67,893","35,617","16,450","5,220","1,281","504"
"전라북도  (4500000000)","1,868,963","1,868,963","80,119","92,073","125,186","132,602","112,123","118,520","122,043","145,026","150,253","147,325","146,115","112,354","100,851","88,659","80,050","60,570","33,914","14,611","4,957","1,155","457"
"전라남도  (4600000000)","1,918,485","1,918,485","79,974","87,994","122,806","129,534","105,683","110,970","116,419","136,417","149,364","151,177","151,063","116,724","109,460","107,138","103,069","71,710","41,940","19,065","5,957","1,438","583"
"경상북도  (4700000000)","2,689,920","2,689,920","113,045","119,478","160,803","174,816","160,556","174,984","181,712","206,990","219,741","222,793","222,307","175,939","137,898","129,441","122,183","87,801","47,905","22,295","7,242","1,522","469"
"경상남도  (4800000000)","3,290,536","3,290,536","159,174","166,339","222,093","234,175","191,375","219,257","243,459","282,411","296,358","281,153","266,970","193,428","145,696","124,287","112,443","80,929","44,606","19,650","5,171","1,157","405"
"제주특별자치도  (5000000000)","571,255","571,255","28,785","32,634","42,132","42,477","32,224","36,390","39,239","49,435","51,512","47,608","43,001","30,305","25,872","22,420","19,234","14,287","7,151","4,248","1,634","493","174"
