"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상"
"전국  (1000000000)","9,063,362","9,063,362","2,828","32,693","1,364,686","1,468,243","1,303,968","1,606,861","1,561,689","1,005,929","604,486","96,290","15,689","4,664,604","4,664,604","1,395","15,710","712,377","939,569","837,979","956,007","742,241","316,907","121,316","17,208","3,895","4,398,758","4,398,758","1,433","16,983","652,309","528,674","465,989","650,854","819,448","689,022","483,170","79,082","11,794"
"서울특별시  (1100000000)","1,858,554","1,858,554","500","7,741","399,584","394,655","260,724","260,374","260,753","171,819","82,956","14,447","5,001","903,973","903,973","230","3,099","176,000","221,714","150,914","152,960","118,754","55,951","19,754","3,313","1,284","954,581","954,581","270","4,642","223,584","172,941","109,810","107,414","141,999","115,868","63,202","11,134","3,717"
"부산광역시  (2600000000)","592,265","592,265","124","1,745","85,044","78,959","75,386","99,997","122,300","81,459","40,459","5,341","1,451","280,329","280,329","60","720","40,454","47,859","45,845","57,261","53,748","24,549","8,435","1,087","311","311,936","311,936","64","1,025","44,590","31,100","29,541","42,736","68,552","56,910","32,024","4,254","1,140"
"대구광역시  (2700000000)","387,702","387,702","126","1,067","52,616","54,246","53,296","72,615","74,622","47,954","27,171","3,447","542","186,776","186,776","60","502","26,402","34,873","33,217","40,666","31,503","13,528","5,280","611","134","200,926","200,926","66","565","26,214","19,373","20,079","31,949","43,119","34,426","21,891","2,836","408"
"인천광역시  (2800000000)","461,082","461,082","176","1,332","64,288","75,748","72,939","88,919","81,120","46,557","25,115","4,233","655","246,617","246,617","81","619","34,450","49,718","47,898","53,395","38,934","15,344","5,278","734","166","214,465","214,465","95","713","29,838","26,030","25,041","35,524","42,186","31,213","19,837","3,499","489"
"광주광역시  (2900000000)","242,506","242,506","79","857","39,962","41,811","36,843","42,128","38,946","25,724","13,801","2,061","294","123,742","123,742","40","370","20,088","26,860","24,338","23,918","17,324","7,654","2,749","361","40","118,764","118,764","39","487","19,874","14,951","12,505","18,210","21,622","18,070","11,052","1,700","254"
"대전광역시  (3000000000)","259,071","259,071","106","1,234","55,742","45,698","35,357","41,933","40,282","23,690","12,858","1,935","236","133,981","133,981","56","531","28,558","29,430","22,441","23,839","18,155","7,595","2,898","414","64","125,090","125,090","50","703","27,184","16,268","12,916","18,094","22,127","16,095","9,960","1,521","172"
"울산광역시  (3100000000)","160,201","160,201","48","229","19,692","26,141","26,466","32,325","30,859","16,064","7,327","931","119","90,705","90,705","20","124","12,494","19,131","18,322","19,224","14,469","5,282","1,467","143","29","69,496","69,496","28","105","7,198","7,010","8,144","13,101","16,390","10,782","5,860","788","90"
"세종특별자치시  (3600000000)","48,131","48,131","19","139","9,544","11,484","7,914","7,465","6,038","3,269","1,912","318","29","25,589","25,589","6","64","4,775","7,262","4,811","4,268","2,841","1,089","405","61","7","22,542","22,542","13","75","4,769","4,222","3,103","3,197","3,197","2,180","1,507","257","22"
"경기도  (4100000000)","2,029,658","2,029,658","754","6,457","307,487","376,588","329,466","373,538","327,352","187,383","101,202","16,449","2,982","1,120,574","1,120,574","377","3,127","175,588","253,493","215,515","225,396","157,818","62,388","22,740","3,307","825","909,084","909,084","377","3,330","131,899","123,095","113,951","148,142","169,534","124,995","78,462","13,142","2,157"
