"행정구역","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~9세","2023년_계_10~19세","2023년_계_20~29세","2023년_계_30~39세","2023년_계_40~49세","2023년_계_50~59세","2023년_계_60~69세","2023년_계_70~79세","2023년_계_80~89세","2023년_계_90~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~9세","2023년_남_10~19세","2023년_남_20~29세","2023년_남_30~39세","2023년_남_40~49세","2023년_남_50~59세","2023년_남_60~69세","2023년_남_70~79세","2023년_남_80~89세","2023년_남_90~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~9세","2023년_여_10~19세","2023년_여_20~29세","2023년_여_30~39세","2023년_여_40~49세","2023년_여_50~59세","2023년_여_60~69세","2023년_여_70~79세","2023년_여_80~89세","2023년_여_90~99세","2023년_여_100세 이상"
"부산광역시 중구 (2611000000)","14,674","14,674","0","59","2,740","1,982","1,413","2,221","3,043","1,986","1,057","164","9","7,026","7,026","0","21","1,131","1,102","877","1,355","1,545","727","240","27","1","7,648","7,648","0","38","1,609","880","536","866","1,498","1,259","817","137","8"
"부산광역시 서구 (2614000000)","26,085","26,085","5","133","4,251","2,597","2,407","3,766","5,718","4,209","2,636","358","5","11,730","11,730","4","45","1,629","1,461","1,450","2,274","2,832","1,430","549","56","0","14,355","14,355","1","88","2,622","1,136","957","1,492","2,886","2,779","2,087","302","5"
"부산광역시 동구 (2617000000)","24,207","24,207","6","25","2,649","3,223","2,624","3,824","5,188","3,842","2,477","344","5","11,511","11,511","3","11","1,093","1,865","1,665","2,413","2,640","1,317","452","51","1","12,696","12,696","3","14","1,556","1,358","959","1,411","2,548","2,525","2,025","293","4"
"부산광역시 영도구 (2620000000)","24,659","24,659","3","51","1,700","1,994","2,448","4,155","6,237","4,811","2,924","332","4","11,920","11,920","2","27","989","1,267","1,583","2,600","3,230","1,560","594","67","1","12,739","12,739","1","24","711","727","865","1,555","3,007","3,251","2,330","265","3"
"부산광역시 부산진구 (2623000000)","85,125","85,125","5","321","18,729","15,054","9,305","11,063","14,305","9,727","5,868","733","15","38,846","38,846","3","123","7,755","8,361","5,445","6,346","6,473","3,040","1,161","136","3","46,279","46,279","2","198","10,974","6,693","3,860","4,717","7,832","6,687","4,707","597","12"
"부산광역시 동래구 (2626000000)","42,932","42,932","4","76","5,103","6,406","5,309","6,584","9,176","6,322","3,502","445","5","19,097","19,097","2","33","2,193","3,766","3,100","3,580","3,751","1,886","713","73","0","23,835","23,835","2","43","2,910","2,640","2,209","3,004","5,425","4,436","2,789","372","5"
"부산광역시 남구 (2629000000)","47,609","47,609","7","413","10,603","5,970","4,902","6,400","8,466","6,540","3,830","469","9","22,177","22,177","2","168","5,390","3,683","3,051","3,631","3,575","1,847","744","83","3","25,432","25,432","5","245","5,213","2,287","1,851","2,769","4,891","4,693","3,086","386","6"
"부산광역시 북구 (2632000000)","43,789","43,789","6","56","3,438","5,151","4,699","7,500","11,389","7,045","3,997","496","12","20,543","20,543","5","22","1,765","3,318","3,016","4,239","4,973","2,275","838","91","1","23,246","23,246","1","34","1,673","1,833","1,683","3,261","6,416","4,770","3,159","405","11"
"부산광역시 해운대구 (2635000000)","60,896","60,896","18","95","6,086","8,785","8,056","10,154","12,654","8,938","5,393","695","22","26,086","26,086","9","47","2,630","4,964","4,411","5,148","5,225","2,508","1,013","125","6","34,810","34,810","9","48","3,456","3,821","3,645","5,006","7,429","6,430","4,380","570","16"
"부산광역시 사하구 (2638000000)","56,770","56,770","11","228","7,036","6,534","6,585","9,467","13,047","8,739","4,549","562","12","28,385","28,385","7","94","3,911","4,254","4,412","5,712","6,014","2,929","958","92","2","28,385","28,385","4","134","3,125","2,280","2,173","3,755","7,033","5,810","3,591","470","10"
