"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~4세","2016년_계_5~9세","2016년_계_10~14세","2016년_계_15~19세","2016년_계_20~24세","2016년_계_25~29세","2016년_계_30~34세","2016년_계_35~39세","2016년_계_40~44세","2016년_계_45~49세","2016년_계_50~54세","2016년_계_55~59세","2016년_계_60~64세","2016년_계_65~69세","2016년_계_70~74세","2016년_계_75~79세","2016년_계_80~84세","2016년_계_85~89세","2016년_계_90~94세","2016년_계_95~99세","2016년_계_100세 이상"
"전국  (1000000000)","7,446,665","7,446,665","615","2,075","2,928","29,905","294,581","614,132","669,029","599,785","608,382","684,138","682,189","782,671","637,344","485,060","433,459","410,425","293,862","143,410","47,135","12,908","12,632"
"서울특별시  (1100000000)","1,561,533","1,561,533","138","447","711","6,857","80,274","186,527","190,746","148,315","132,926","135,706","121,822","135,515","116,343","90,007","77,791","62,986","40,391","20,093","7,233","2,687","4,018"
"부산광역시  (2600000000)","490,809","490,809","17","103","133","1,642","21,172","33,310","33,863","33,114","34,554","41,613","43,076","56,622","52,772","41,588","34,354","30,568","19,244","8,582","2,500","754","1,228"
"대구광역시  (2700000000)","315,016","315,016","31","115","105","993","11,039","20,666","23,773","22,765","25,194","29,630","30,656","35,874","30,878","24,018","19,922","18,869","12,566","5,474","1,599","417","432"
"인천광역시  (2800000000)","373,035","373,035","34","105","130","1,089","11,819","26,080","32,701","33,107","34,699","38,674","39,035","43,200","32,553","22,704","19,574","16,916","11,730","5,841","1,970","575","499"
"광주광역시  (2900000000)","195,232","195,232","17","68","116","876","8,577","16,477","20,070","17,943","17,100","17,836","17,271","19,572","15,305","12,474","10,710","9,847","6,397","3,129","957","252","238"
"대전광역시  (3000000000)","200,445","200,445","12","51","64","1,056","12,070","22,240","20,642","16,534","16,289","17,841","16,902","20,370","16,241","11,506","9,815","8,606","6,051","2,875","842","244","194"
"울산광역시  (3100000000)","136,470","136,470","15","41","24","253","4,365","12,219","13,446","12,563","12,431","13,781","13,528","15,681","12,424","8,432","6,545","5,251","3,329","1,486","473","90","93"
"세종특별자치시  (3600000000)","30,520","30,520","2","10","3","89","1,453","3,759","3,674","2,955","2,660","2,859","2,604","2,777","2,070","1,489","1,216","1,203","938","515","173","40","31"
"경기도  (4100000000)","1,599,701","1,599,701","153","523","696","5,353","54,836","135,177","158,361","147,895","151,068","164,156","157,827","170,332","130,310","90,773","79,682","69,620","47,568","22,783","7,916","2,290","2,382"
"강원도  (4200000000)","279,691","279,691","23","51","101","2,346","17,379","18,923","16,082","15,756","18,543","23,800","27,133","33,350","27,079","18,474","19,230","18,771","12,551","6,609","2,416","596","478"
"충청북도  (4300000000)","256,432","256,432","27","71","137","1,412","11,103","20,265","20,059","17,470","19,002","22,881","24,351","28,982","22,519","15,757","15,644","16,023","12,426","5,726","1,821","442","314"
"충청남도  (4400000000)","346,000","346,000","25","85","71","1,465","13,304","27,860","29,150","25,182","25,458","30,281","31,237","36,355","28,323","22,607","20,885","21,985","18,675","8,942","2,895","684","531"
"전라북도  (4500000000)","292,875","292,875","20","70","115","1,140","8,310","14,921","17,650","17,832","20,491","24,778","26,862","32,166","26,254","23,459","22,259","23,452","19,457","9,505","2,932","712","490"
"전라남도  (4600000000)","340,027","340,027","28","75","205","1,598","8,085","14,868","17,698","18,680","21,961","28,238","31,996","36,698","28,715","26,754","27,933","32,820","24,691","13,232","4,231","966","555"
"경상북도  (4700000000)","451,578","451,578","31","107","169","2,182","15,573","27,858","29,647","27,407","30,042","36,842","41,250","49,353","41,999","33,986","31,713","35,419","28,145","13,771","4,484","1,056","544"
"경상남도  (4800000000)","474,968","474,968","36","130","121","1,316","12,386","27,365","34,210","34,090","36,137","43,129","44,915","54,172","44,918","35,085","31,149","33,080","25,373","12,478","3,666","767","445"
"제주특별자치도  (5000000000)","102,333","102,333","6","23","27","238","2,836","5,617","7,257","8,177","9,827","12,093","11,724","11,652","8,641","5,947","5,037","5,009","4,330","2,369","1,027","336","160"
