"행정구역","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~4세","2019년_계_5~9세","2019년_계_10~14세","2019년_계_15~19세","2019년_계_20~24세","2019년_계_25~29세","2019년_계_30~34세","2019년_계_35~39세","2019년_계_40~44세","2019년_계_45~49세","2019년_계_50~54세","2019년_계_55~59세","2019년_계_60~64세","2019년_계_65~69세","2019년_계_70~74세","2019년_계_75~79세","2019년_계_80~84세","2019년_계_85~89세","2019년_계_90~94세","2019년_계_95~99세","2019년_계_100세 이상"
"부산광역시  (2600000000)","3,413,841","3,413,841","107,963","135,358","128,260","154,980","212,685","223,464","191,915","243,795","239,398","278,384","280,880","302,219","294,417","212,830","159,789","124,321","74,493","32,833","11,419","2,648","1,790"
"부산광역시 중구 (2611000000)","41,910","41,910","641","854","904","1,357","2,446","3,022","2,235","2,382","2,433","3,231","3,461","3,852","4,348","3,379","2,704","2,263","1,380","594","268","76","80"
"부산광역시 서구 (2614000000)","108,229","108,229","2,456","3,287","3,235","4,269","6,786","6,813","5,158","6,557","6,465","8,343","8,559","9,984","10,248","8,137","6,564","5,546","3,484","1,497","572","157","112"
"부산광역시 동구 (2617000000)","88,165","88,165","1,940","2,224","2,207","3,140","4,720","5,671","4,824","5,430","5,300","6,792","7,049","7,959","8,652","6,836","5,601","4,889","3,021","1,268","459","87","96"
"부산광역시 영도구 (2620000000)","116,711","116,711","2,415","3,320","3,407","4,607","6,356","6,156","5,068","6,548","7,022","8,950","9,520","11,091","12,135","9,413","7,869","6,503","3,900","1,586","578","138","129"
"부산광역시 부산진구 (2623000000)","357,880","357,880","10,177","12,162","11,548","14,615","23,528","27,681","22,700","25,469","23,982","28,213","28,438","31,236","30,998","22,482","17,137","13,925","8,364","3,561","1,168","274","222"
"부산광역시 동래구 (2626000000)","271,247","271,247","8,514","11,470","11,691","13,801","16,671","16,823","14,917","19,164","19,890","23,202","22,452","23,069","22,720","16,741","12,184","9,173","5,265","2,368","803","193","136"
"부산광역시 남구 (2629000000)","274,480","274,480","8,279","11,292","11,063","13,226","18,457","17,219","14,112","18,805","19,823","23,425","21,909","22,421","22,732","17,267","13,600","10,858","6,170","2,621","893","180","128"
"부산광역시 북구 (2632000000)","291,132","291,132","9,399","11,077","11,101","14,153","19,578","19,986","16,165","19,296","19,169","23,237","26,956","29,384","25,723","16,920","11,565","8,812","5,197","2,334","808","175","97"
"부산광역시 해운대구 (2635000000)","406,102","406,102","12,464","17,288","18,062","21,865","25,530","24,682","20,926","27,906","30,213","37,254","35,641","35,547","32,506","22,448","16,809","13,172","8,272","3,789","1,296","279","153"
"부산광역시 사하구 (2638000000)","321,004","321,004","9,693","12,289","11,956","15,237","20,885","20,741","17,688","22,672","21,807","26,098","27,335","30,014","28,625","20,202","14,590","10,683","6,332","2,759","1,008","231","159"
"부산광역시 금정구 (2641000000)","239,062","239,062","6,014","8,148","8,223","10,799","17,505","16,778","12,333","14,832","15,010","18,462","20,028","22,531","21,757","15,831","11,956","9,296","5,622","2,637","885","224","191"
"부산광역시 강서구 (2644000000)","129,566","129,566","9,518","9,862","6,027","4,408","4,914","6,946","10,387","16,149","12,007","9,055","7,739","8,682","8,689","5,756","3,743","2,749","1,641","843","329","83","39"
"부산광역시 연제구 (2647000000)","209,395","209,395","7,116","8,328","7,743","9,260","12,539","13,764","12,492","15,741","14,985","17,023","16,932","17,775","17,806","13,184","9,875","7,626","4,484","1,849","625","167","81"
"부산광역시 수영구 (2650000000)","176,148","176,148","5,008","5,563","5,404","6,974","10,565","13,542","11,328","12,877","11,861","13,732","13,273","14,647","15,713","11,895","9,519","7,053","4,312","1,984","700","133","65"
"부산광역시 사상구 (2653000000)","218,094","218,094","6,201","7,519","7,036","9,204","14,354","15,619","12,472","14,599","13,970","16,731","20,168","23,073","20,739","14,016","9,539","6,727","3,838","1,603","510","109","67"
"부산광역시 기장군 (2671000000)","164,716","164,716","8,128","10,675","8,653","8,065","7,851","8,021","9,110","15,368","15,461","14,636","11,420","10,954","11,026","8,323","6,534","5,046","3,211","1,540","517","142","35"
