"행정구역","2021년12월_전체세대","2021년12월_1인세대","2021년12월_2인세대","2021년12월_3인세대","2021년12월_4인세대","2021년12월_5인세대","2021년12월_6인세대","2021년12월_7인세대","2021년12월_8인세대","2021년12월_9인세대","2021년12월_10인이상세대"
"부산광역시  (2600000000)","1,544,663","615,618","394,176","270,214","206,023","46,762","9,122","1,958","478","169","143"
"부산광역시 중구 (2611000000)","23,925","14,166","5,349","2,615","1,324","359","83","20","5","2","2"
"부산광역시 서구 (2614000000)","52,960","25,123","13,140","7,861","5,125","1,328","294","59","15","4","11"
"부산광역시 동구 (2617000000)","46,362","23,211","11,698","6,358","3,872","946","218","43","9","3","4"
"부산광역시 영도구 (2620000000)","54,659","23,803","15,258","8,441","5,434","1,326","307","66","13","6","5"
"부산광역시 부산진구 (2623000000)","173,353","78,075","42,934","27,276","19,460","4,493","864","189","42","14","6"
"부산광역시 동래구 (2626000000)","115,718","40,390","29,737","21,910","18,656","4,060","724","167","41","16","17"
"부산광역시 남구 (2629000000)","117,821","44,777","30,031","21,235","16,869","3,861","795","189","41","13","10"
"부산광역시 북구 (2632000000)","123,316","41,799","33,441","23,978","19,086","4,113","729","120","35","11","4"
"부산광역시 해운대구 (2635000000)","172,397","60,095","44,250","33,755","27,094","5,668","1,151","268","79","24","13"
"부산광역시 사하구 (2638000000)","139,604","53,404","36,989","25,065","18,848","4,281","811","136","38","17","15"
"부산광역시 금정구 (2641000000)","108,070","45,670","27,380","18,080","13,036","3,040","655","142","34","13","20"
"부산광역시 강서구 (2644000000)","61,502","22,827","13,471","11,486","10,712","2,456","430","94","16","5","5"
"부산광역시 연제구 (2647000000)","93,606","35,220","24,424","17,302","13,077","2,876","554","102","33","14","4"
"부산광역시 수영구 (2650000000)","85,896","38,195","22,038","13,858","9,002","2,195","453","111","27","11","6"
"부산광역시 사상구 (2653000000)","98,621","40,997","25,313","16,894","11,998","2,743","526","114","21","8","7"
"부산광역시 기장군 (2671000000)","76,853","27,866","18,723","14,100","12,430","3,017","528","138","29","8","14"
