"행정구역","2023년12월_전체세대","2023년12월_1인세대","2023년12월_2인세대","2023년12월_3인세대","2023년12월_4인세대","2023년12월_5인세대","2023년12월_6인세대","2023년12월_7인세대","2023년12월_8인세대","2023년12월_9인세대","2023년12월_10인이상세대"
"전국  (1000000000)","23,914,851","9,935,600","5,866,073","4,029,815","3,148,835","743,232","144,626","32,964","8,542","2,631","2,533"
"서울특별시  (1100000000)","4,469,417","1,988,235","998,390","746,450","575,701","124,637","26,772","6,429","1,817","587","399"
"부산광역시  (2600000000)","1,564,588","650,239","407,820","266,830","187,978","41,343","7,845","1,768","463","156","146"
"대구광역시  (2700000000)","1,094,148","432,375","279,501","195,246","148,992","31,204","5,346","1,071","246","74","93"
"인천광역시  (2800000000)","1,350,912","520,954","331,908","249,862","193,415","44,121","8,137","1,791","449","146","129"
"광주광역시  (2900000000)","655,433","270,682","157,652","109,937","89,579","22,842","3,720","714","196","52","59"
"대전광역시  (3000000000)","680,261","292,285","162,269","111,585","87,954","21,074","3,903","858","205","57","71"
"울산광역시  (3100000000)","490,690","179,471","125,043","93,535","74,435","15,005","2,522","497","109","36","37"
"세종특별자치시  (3600000000)","160,835","55,882","34,786","30,642","30,576","7,410","1,188","258","57","25","11"
"경기도  (4100000000)","5,978,724","2,234,805","1,409,346","1,115,566","946,175","217,141","41,998","9,714","2,598","786","595"
"강원특별자치도  (5100000000)","760,635","343,516","204,285","110,551","76,342","20,286","4,225","1,055","235","65","75"
"충청북도  (4300000000)","779,967","348,739","201,444","115,325","85,881","22,932","4,285","943","255","84","79"
"충청남도  (4400000000)","1,035,449","460,618","265,856","152,203","117,233","31,194","6,293","1,455","365","101","131"
"전라북도  (4500000000)","861,193","387,076","226,464","123,083","90,163","27,002","5,533","1,292","301","102","177"
"전라남도  (4600000000)","911,442","428,967","241,021","120,405","86,746","26,796","5,597","1,310","356","94","150"
"경상북도  (4700000000)","1,282,500","584,723","345,445","184,979","127,545","31,694","6,166","1,368","313","99","168"
"경상남도  (4800000000)","1,525,502","623,016","400,419","254,247","192,044","45,323","8,053","1,692","405","119","184"
"제주특별자치도  (5000000000)","313,155","134,017","74,424","49,369","38,076","13,228","3,043","749","172","48","29"
