"행정구역","2024년12월_전체세대","2024년12월_1인세대","2024년12월_2인세대","2024년12월_3인세대","2024년12월_4인세대","2024년12월_5인세대","2024년12월_6인세대","2024년12월_7인세대","2024년12월_8인세대","2024년12월_9인세대","2024년12월_10인이상세대"
"전국  (1000000000)","24,118,928","10,122,587","6,005,284","4,052,362","3,050,745","707,014","136,768","30,978","8,259","2,506","2,425"
"서울특별시  (1100000000)","4,482,063","2,012,137","1,010,838","746,493","558,273","119,525","25,828","6,202","1,799","572","396"
"부산광역시  (2600000000)","1,570,403","661,868","414,220","265,253","180,252","39,062","7,404","1,660","405","135","144"
"대구광역시  (2700000000)","1,104,130","443,045","287,091","195,910","142,572","29,274","4,889","981","213","70","85"
"인천광역시  (2800000000)","1,373,827","534,083","342,782","254,507","189,376","42,821","7,815","1,756","425","141","121"
"광주광역시  (2900000000)","658,075","274,658","161,114","110,136","86,384","21,396","3,375","723","171","63","55"
"대전광역시  (3000000000)","687,757","299,673","166,451","112,051","85,013","19,745","3,721","804","175","53","71"
"울산광역시  (3100000000)","495,378","184,823","128,347","93,832","71,244","14,151","2,363","446","106","33","33"
"세종특별자치시  (3600000000)","163,432","56,430","36,416","31,486","30,473","7,190","1,121","235","50","19","12"
"경기도  (4100000000)","6,058,202","2,275,739","1,457,235","1,136,795","926,121","209,044","40,213","9,118","2,609","757","571"
"강원특별자치도  (5100000000)","764,834","348,987","208,776","109,668","73,210","18,958","3,954","931","219","68","63"
"충청북도  (4300000000)","787,756","356,084","205,868","115,762","83,131","21,582","4,026","897","255","69","82"
"충청남도  (4400000000)","1,052,129","474,445","273,380","152,698","114,196","29,600","5,951","1,320","318","104","117"
"전북특별자치도  (5200000000)","864,608","394,104","229,519","122,418","86,470","25,280","5,046","1,199","315","88","169"
"전라남도  (4600000000)","912,412","432,617","244,160","119,651","83,712","25,315","5,118","1,253","344","102","140"
"경상북도  (4700000000)","1,291,568","599,926","351,510","182,597","120,796","29,291","5,645","1,245","310","83","165"
"경상남도  (4800000000)","1,537,492","637,760","411,297","253,682","182,859","42,269","7,413","1,555","390","95","172"
"제주특별자치도  (5000000000)","314,862","136,208","76,280","49,423","36,663","12,511","2,886","653","155","54","29"
