"행정구역","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상","2024년_남_총인구수","2024년_남_연령구간인구수","2024년_남_0~9세","2024년_남_10~19세","2024년_남_20~29세","2024년_남_30~39세","2024년_남_40~49세","2024년_남_50~59세","2024년_남_60~69세","2024년_남_70~79세","2024년_남_80~89세","2024년_남_90~99세","2024년_남_100세 이상","2024년_여_총인구수","2024년_여_연령구간인구수","2024년_여_0~9세","2024년_여_10~19세","2024년_여_20~29세","2024년_여_30~39세","2024년_여_40~49세","2024년_여_50~59세","2024년_여_60~69세","2024년_여_70~79세","2024년_여_80~89세","2024년_여_90~99세","2024년_여_100세 이상"
"부산광역시 중구 (2611000000)","14,865","14,865","1","41","2,709","2,037","1,365","2,212","3,081","2,112","1,124","179","4","7,154","7,154","0","18","1,094","1,161","840","1,340","1,597","815","260","28","1","7,711","7,711","1","23","1,615","876","525","872","1,484","1,297","864","151","3"
"부산광역시 서구 (2614000000)","26,172","26,172","4","141","4,044","2,599","2,326","3,777","5,668","4,473","2,738","395","7","11,746","11,746","3","48","1,601","1,437","1,402","2,267","2,809","1,541","569","68","1","14,426","14,426","1","93","2,443","1,162","924","1,510","2,859","2,932","2,169","327","6"
"부산광역시 동구 (2617000000)","24,341","24,341","6","26","2,591","3,304","2,554","3,772","5,145","3,949","2,602","387","5","11,504","11,504","4","13","1,031","1,858","1,597","2,395","2,656","1,393","498","58","1","12,837","12,837","2","13","1,560","1,446","957","1,377","2,489","2,556","2,104","329","4"
"부산광역시 영도구 (2620000000)","24,844","24,844","1","71","1,720","1,890","2,384","4,084","6,242","4,981","3,082","385","4","11,991","11,991","0","39","1,022","1,216","1,540","2,552","3,253","1,670","624","75","0","12,853","12,853","1","32","698","674","844","1,532","2,989","3,311","2,458","310","4"
"부산광역시 부산진구 (2623000000)","87,566","87,566","8","369","18,993","16,010","9,350","11,186","14,381","10,286","6,128","839","16","39,845","39,845","4","148","7,858","8,778","5,441","6,406","6,498","3,355","1,185","169","3","47,721","47,721","4","221","11,135","7,232","3,909","4,780","7,883","6,931","4,943","670","13"
"부산광역시 동래구 (2626000000)","43,960","43,960","7","64","4,894","6,573","5,339","6,600","9,338","6,823","3,816","501","5","19,432","19,432","2","29","2,091","3,801","3,111","3,617","3,846","2,056","797","82","0","24,528","24,528","5","35","2,803","2,772","2,228","2,983","5,492","4,767","3,019","419","5"
"부산광역시 남구 (2629000000)","48,517","48,517","4","553","10,974","5,936","4,752","6,374","8,500","6,787","4,088","541","8","22,507","22,507","3","243","5,563","3,625","2,957","3,613","3,651","1,977","783","90","2","26,010","26,010","1","310","5,411","2,311","1,795","2,761","4,849","4,810","3,305","451","6"
"부산광역시 북구 (2632000000)","44,405","44,405","6","52","3,139","5,149","4,612","7,398","11,587","7,611","4,263","576","12","20,708","20,708","3","30","1,580","3,287","2,984","4,204","5,090","2,526","904","99","1","23,697","23,697","3","22","1,559","1,862","1,628","3,194","6,497","5,085","3,359","477","11"
"부산광역시 해운대구 (2635000000)","62,085","62,085","14","124","5,815","8,791","8,003","10,287","12,948","9,521","5,777","786","19","26,580","26,580","6","63","2,534","4,974","4,395","5,176","5,385","2,795","1,097","149","6","35,505","35,505","8","61","3,281","3,817","3,608","5,111","7,563","6,726","4,680","637","13"
"부산광역시 사하구 (2638000000)","58,035","58,035","7","250","6,841","6,514","6,563","9,570","13,367","9,334","4,941","634","14","28,842","28,842","5","126","3,797","4,250","4,349","5,763","6,229","3,175","1,041","105","2","29,193","29,193","2","124","3,044","2,264","2,214","3,807","7,138","6,159","3,900","529","12"
"부산광역시 금정구 (2641000000)","47,526","47,526","8","325","10,146","5,242","4,302","6,508","9,430","6,967","4,035","556","7","22,691","22,691","4","134","5,484","3,312","2,644","3,741","4,200","2,210","862","98","2","24,835","24,835","4","191","4,662","1,930","1,658","2,767","5,230","4,757","3,173","458","5"
"부산광역시 강서구 (2644000000)","23,590","23,590","2","40","2,923","4,953","3,795","3,666","4,479","2,417","1,147","167","1","14,415","14,415","1","22","1,784","3,474","2,831","2,442","2,502","1,063","272","23","1","9,175","9,175","1","18","1,139","1,479","964","1,224","1,977","1,354","875","144","0"
"부산광역시 연제구 (2647000000)","39,429","39,429","8","87","5,329","6,844","4,527","5,562","7,704","5,782","3,173","409","4","17,213","17,213","4","32","2,141","3,750","2,575","2,948","3,245","1,759","704","55","0","22,216","22,216","4","55","3,188","3,094","1,952","2,614","4,459","4,023","2,469","354","4"
"부산광역시 수영구 (2650000000)","41,708","41,708","7","97","7,817","8,453","4,778","5,252","6,642","5,168","3,007","474","13","17,741","17,741","4","40","3,087","4,496","2,647","2,680","2,531","1,502","666","86","2","23,967","23,967","3","57","4,730","3,957","2,131","2,572","4,111","3,666","2,341","388","11"
"부산광역시 사상구 (2653000000)","44,558","44,558","12","239","6,421","5,639","4,563","7,358","10,503","6,529","2,944","346","4","22,705","22,705","4","96","3,131","3,562","3,074","4,651","5,334","2,198","608","46","1","21,853","21,853","8","143","3,290","2,077","1,489","2,707","5,169","4,331","2,336","300","3"
"부산광역시 기장군 (2671000000)","30,267","30,267","4","40","2,674","4,384","4,233","5,167","6,328","4,581","2,482","364","10","15,298","15,298","1","20","1,411","2,899","2,789","3,015","2,936","1,595","566","65","1","14,969","14,969","3","20","1,263","1,485","1,444","2,152","3,392","2,986","1,916","299","9"
