"행정구역","2010년12월_전체세대","2010년12월_1인세대","2010년12월_2인세대","2010년12월_3인세대","2010년12월_4인세대","2010년12월_5인세대","2010년12월_6인세대","2010년12월_7인세대","2010년12월_8인세대","2010년12월_9인세대","2010년12월_10인이상세대"
"부산광역시  (2600000000)","1,371,346","410,637","275,049","278,372","302,283","80,727","18,516","4,264","942","321","235"
"부산광역시 중구 (2611000000)","23,266","10,635","4,826","3,701","2,958","813","238","68","9","10","8"
"부산광역시 서구 (2614000000)","53,783","21,053","11,261","9,541","8,448","2,601","648","181","29","8","13"
"부산광역시 동구 (2617000000)","44,018","17,046","9,572","7,991","6,744","1,949","530","138","31","7","10"
"부산광역시 영도구 (2620000000)","59,147","19,299","13,180","11,572","10,822","3,157","824","215","47","19","12"
"부산광역시 부산진구 (2623000000)","158,253","52,456","31,934","30,721","31,850","8,728","1,993","443","88","23","17"
"부산광역시 동래구 (2626000000)","104,637","28,368","20,174","22,060","25,307","6,699","1,523","382","80","26","18"
"부산광역시 남구 (2629000000)","113,426","31,998","23,450","24,006","25,264","6,645","1,575","348","83","39","18"
"부산광역시 북구 (2632000000)","112,634","27,974","21,235","24,057","29,896","7,564","1,516","287","66","23","16"
"부산광역시 해운대구 (2635000000)","157,282","41,741","30,089","33,556","39,177","9,906","2,202","454","102","32","23"
"부산광역시 사하구 (2638000000)","133,694","36,507","26,101","28,346","32,249","8,162","1,778","417","90","28","16"
"부산광역시 금정구 (2641000000)","96,916","28,390","19,372","19,674","21,676","5,972","1,383","302","86","28","33"
"부산광역시 강서구 (2644000000)","26,296","10,227","5,232","4,420","4,404","1,437","409","119","32","10","6"
"부산광역시 연제구 (2647000000)","80,824","23,132","16,347","16,865","18,278","4,744","1,129","241","58","19","11"
"부산광역시 수영구 (2650000000)","69,633","20,930","15,154","14,312","14,115","3,939","898","215","45","18","7"
"부산광역시 사상구 (2653000000)","96,873","27,747","18,314","19,846","23,314","5,980","1,261","315","61","17","18"
"부산광역시 기장군 (2671000000)","40,664","13,134","8,808","7,704","7,781","2,431","609","139","35","14","9"
