"행정구역","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~4세","2021년_계_5~9세","2021년_계_10~14세","2021년_계_15~19세","2021년_계_20~24세","2021년_계_25~29세","2021년_계_30~34세","2021년_계_35~39세","2021년_계_40~44세","2021년_계_45~49세","2021년_계_50~54세","2021년_계_55~59세","2021년_계_60~64세","2021년_계_65~69세","2021년_계_70~74세","2021년_계_75~79세","2021년_계_80~84세","2021년_계_85~89세","2021년_계_90~94세","2021년_계_95~99세","2021년_계_100세 이상"
"부산광역시 중구 (2611000000)","14,166","14,166","0","1","2","49","857","1,636","1,161","733","674","925","1,087","1,192","1,553","1,407","1,043","799","610","289","120","27","1"
"부산광역시 서구 (2614000000)","25,123","25,123","1","2","4","105","1,696","2,292","1,440","1,043","1,192","1,399","1,813","2,160","2,803","2,713","2,178","1,782","1,445","759","241","52","3"
"부산광역시 동구 (2617000000)","23,211","23,211","4","4","7","39","657","1,907","1,646","1,242","1,189","1,445","1,888","1,979","2,642","2,407","2,007","1,638","1,416","771","262","55","6"
"부산광역시 영도구 (2620000000)","23,803","23,803","0","4","4","35","638","1,147","974","952","1,108","1,370","1,926","2,274","3,109","2,948","2,441","2,130","1,662","816","212","39","14"
"부산광역시 부산진구 (2623000000)","78,075","78,075","0","3","8","236","5,871","10,934","7,865","5,045","4,531","4,503","5,384","5,600","7,331","6,351","4,934","3,943","3,367","1,599","491","68","11"
"부산광역시 동래구 (2626000000)","40,390","40,390","1","5","9","66","1,368","3,627","3,490","2,661","2,596","2,558","3,136","3,287","4,643","4,213","3,106","2,425","1,864","959","305","61","10"
"부산광역시 남구 (2629000000)","44,777","44,777","2","7","12","247","4,221","4,958","3,242","2,396","2,363","2,710","3,142","3,229","4,360","4,069","3,287","2,863","2,192","1,064","338","63","12"
"부산광역시 북구 (2632000000)","41,799","41,799","0","6","11","55","930","2,722","2,844","2,250","2,408","2,491","3,443","4,208","5,597","4,884","3,506","2,825","2,139","1,114","313","49","4"
"부산광역시 해운대구 (2635000000)","60,095","60,095","7","18","26","77","1,704","5,000","4,835","4,155","4,188","4,407","4,891","5,178","6,377","5,868","4,610","3,582","3,013","1,543","497","100","19"
"부산광역시 사하구 (2638000000)","53,404","53,404","2","6","28","150","2,626","4,158","3,494","2,962","3,204","3,475","4,458","4,911","6,423","5,785","4,213","3,336","2,546","1,183","365","71","8"
"부산광역시 금정구 (2641000000)","45,670","45,670","1","5","11","242","4,631","5,043","3,268","2,267","2,232","2,520","3,171","3,672","4,719","4,393","3,253","2,587","2,168","1,108","326","46","7"
"부산광역시 강서구 (2644000000)","22,827","22,827","0","1","8","34","732","2,502","2,621","2,251","1,958","1,645","1,868","1,938","2,396","1,818","1,173","848","609","291","110","19","5"
"부산광역시 연제구 (2647000000)","35,220","35,220","0","2","6","77","1,476","3,610","3,122","2,367","2,225","2,200","2,692","2,774","3,737","3,549","2,643","2,021","1,613","803","262","36","5"
"부산광역시 수영구 (2650000000)","38,195","38,195","1","6","9","72","1,944","5,769","4,390","2,812","2,448","2,358","2,562","2,404","3,391","3,066","2,442","1,853","1,618","740","264","32","14"
"부산광역시 사상구 (2653000000)","40,997","40,997","7","20","16","142","2,177","3,637","2,805","2,068","2,376","2,555","3,528","4,317","5,274","4,194","3,090","2,178","1,621","779","172","39","2"
"부산광역시 기장군 (2671000000)","27,866","27,866","1","4","7","39","691","2,164","2,283","1,929","2,171","2,110","2,377","2,424","3,063","2,657","2,166","1,597","1,254","647","221","52","9"
