"행정구역","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~4세","2024년_계_5~9세","2024년_계_10~14세","2024년_계_15~19세","2024년_계_20~24세","2024년_계_25~29세","2024년_계_30~34세","2024년_계_35~39세","2024년_계_40~44세","2024년_계_45~49세","2024년_계_50~54세","2024년_계_55~59세","2024년_계_60~64세","2024년_계_65~69세","2024년_계_70~74세","2024년_계_75~79세","2024년_계_80~84세","2024년_계_85~89세","2024년_계_90~94세","2024년_계_95~99세","2024년_계_100세 이상"
"부산광역시  (2600000000)","3,266,598","3,266,598","71,136","110,600","135,490","127,362","163,088","195,300","204,349","184,609","238,173","232,998","268,884","268,601","285,432","275,660","195,449","141,398","99,408","49,238","15,553","3,441","429"
"부산광역시 중구 (2611000000)","37,537","37,537","261","468","733","824","2,027","3,046","2,535","1,641","1,997","2,115","2,964","3,199","3,560","3,974","2,991","2,279","1,688","868","274","79","14"
"부산광역시 서구 (2614000000)","103,188","103,188","1,762","2,720","3,503","3,488","5,330","6,106","5,539","4,720","6,520","6,581","8,312","8,481","9,706","9,707","7,553","5,682","4,301","2,279","692","184","22"
"부산광역시 동구 (2617000000)","85,911","85,911","1,761","1,935","2,188","2,304","3,347","5,408","6,049","4,811","5,508","5,420","6,782","7,046","7,691","8,073","6,218","4,871","3,825","1,911","615","132","16"
"부산광역시 영도구 (2620000000)","103,737","103,737","1,537","2,365","3,178","3,308","4,367","4,736","4,767","4,345","6,197","6,584","8,434","8,943","10,305","11,128","8,519","6,778","5,003","2,362","693","173","15"
"부산광역시 부산진구 (2623000000)","359,281","359,281","8,109","10,422","11,892","11,867","20,290","27,874","28,440","22,820","25,064","23,654","28,090","27,866","30,054","28,998","20,414","15,051","10,921","5,459","1,624","336","36"
"부산광역시 동래구 (2626000000)","274,370","274,370","7,039","11,201","13,738","12,194","12,621","14,585","16,184","16,406","21,843","21,334","23,041","21,523","21,726","21,566","15,587","11,051","7,678","3,610","1,177","244","22"
"부산광역시 남구 (2629000000)","254,498","254,498","4,899","8,437","11,082","11,039","16,526","15,167","14,200","12,963","17,763","18,598","21,872","20,018","20,392","20,587","15,415","11,635","8,438","3,976","1,214","247","30"
"부산광역시 북구 (2632000000)","267,692","267,692","5,951","8,656","10,320","10,293","12,181","15,348","16,968","14,940","17,570","17,703","21,991","25,354","27,709","24,259","15,767","10,484","7,221","3,533","1,157","254","33"
"부산광역시 해운대구 (2635000000)","376,404","376,404","8,027","13,657","17,832","17,266","17,770","20,216","21,044","20,214","28,071","29,235","34,453","32,500","32,576","30,090","20,299","14,869","10,513","5,526","1,775","414","57"
"부산광역시 사하구 (2638000000)","292,491","292,491","5,464","8,673","11,475","11,575","14,887","16,666","16,671","15,008","20,460","20,350","24,713","25,901","28,047","26,747","18,620","12,939","8,516","4,142","1,303","292","42"
"부산광역시 금정구 (2641000000)","209,932","209,932","3,169","5,619","7,482","7,972","13,651","13,284","11,413","9,566","12,872","13,686","16,749","18,114","20,112","19,290","14,042","10,298","7,429","3,670","1,205","275","34"
"부산광역시 강서구 (2644000000)","142,789","142,789","5,984","9,989","10,093","6,119","4,409","6,345","9,830","12,369","17,068","12,444","9,563","8,178","9,038","8,686","5,524","3,320","2,145","1,155","431","92","7"
"부산광역시 연제구 (2647000000)","212,589","212,589","5,235","7,749","8,765","8,257","9,822","12,670","14,621","13,284","16,238","15,378","17,420","16,885","17,283","16,975","12,441","8,995","6,385","3,054","919","195","18"
"부산광역시 수영구 (2650000000)","171,918","171,918","3,423","4,844","5,699","5,614","8,196","12,808","13,022","10,188","12,063","11,497","13,519","13,099","13,860","14,654","10,949","8,508","5,807","2,950","966","223","29"
"부산광역시 사상구 (2653000000)","198,635","198,635","3,412","5,095","6,587","6,701","10,342","12,871","13,150","10,399","12,520","12,618","15,918","19,161","21,371","19,130","12,558","8,312","5,182","2,434","720","132","22"
"부산광역시 기장군 (2671000000)","175,626","175,626","5,103","8,770","10,923","8,541","7,322","8,170","9,916","10,935","16,419","15,801","15,063","12,333","12,002","11,796","8,552","6,326","4,356","2,309","788","169","32"
