"행정구역","2017년12월_전체세대","2017년12월_1인세대","2017년12월_2인세대","2017년12월_3인세대","2017년12월_4인세대","2017년12월_5인세대","2017년12월_6인세대","2017년12월_7인세대","2017년12월_8인세대","2017년12월_9인세대","2017년12월_10인이상세대"
"부산광역시  (2600000000)","1,467,555","513,523","344,340","280,666","247,514","62,899","14,087","3,246","813","250","217"
"부산광역시 중구 (2611000000)","23,284","12,208","5,173","3,083","2,009","578","171","48","7","5","2"
"부산광역시 서구 (2614000000)","51,953","23,106","12,165","8,207","6,076","1,753","483","116","22","8","17"
"부산광역시 동구 (2617000000)","43,413","19,946","10,405","6,559","4,735","1,309","355","71","21","4","8"
"부산광역시 영도구 (2620000000)","55,713","21,451","14,454","9,841","7,297","1,972","512","127","37","13","9"
"부산광역시 부산진구 (2623000000)","166,491","66,369","38,300","29,181","24,485","6,343","1,388","316","76","21","12"
"부산광역시 동래구 (2626000000)","108,609","33,592","25,227","21,850","20,958","5,378","1,223","269","70","24","18"
"부산광역시 남구 (2629000000)","113,898","37,980","27,364","22,083","19,738","5,134","1,181","312","74","18","14"
"부산광역시 북구 (2632000000)","120,249","35,294","28,224","25,083","24,310","5,906","1,135","215","56","17","9"
"부산광역시 해운대구 (2635000000)","165,002","50,473","37,587","34,515","32,448","7,734","1,704","384","107","29","21"
"부산광역시 사하구 (2638000000)","137,679","44,745","32,955","27,704","24,549","6,011","1,328","268","74","24","21"
"부산광역시 금정구 (2641000000)","104,827","38,091","24,559","19,681","16,848","4,276","1,010","251","59","21","31"
"부산광역시 강서구 (2644000000)","47,850","16,180","10,157","9,411","8,992","2,384","535","133","42","9","7"
"부산광역시 연제구 (2647000000)","85,892","28,424","20,470","17,077","15,053","3,757","864","172","52","12","11"
"부산광역시 수영구 (2650000000)","79,788","30,254","19,585","14,812","11,268","2,932","693","181","37","16","10"
"부산광역시 사상구 (2653000000)","97,169","34,099","22,570","18,762","16,535","4,103","824","213","39","14","10"
"부산광역시 기장군 (2671000000)","65,738","21,311","15,145","12,817","12,213","3,329","681","170","40","15","17"
