"행정구역","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2022년_계_20~29세","2022년_계_30~39세","2022년_계_40~49세","2022년_계_50~59세","2022년_계_60~69세","2022년_계_70~79세","2022년_계_80~89세","2022년_계_90~99세","2022년_계_100세 이상","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0~9세","2022년_남_10~19세","2022년_남_20~29세","2022년_남_30~39세","2022년_남_40~49세","2022년_남_50~59세","2022년_남_60~69세","2022년_남_70~79세","2022년_남_80~89세","2022년_남_90~99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0~9세","2022년_여_10~19세","2022년_여_20~29세","2022년_여_30~39세","2022년_여_40~49세","2022년_여_50~59세","2022년_여_60~69세","2022년_여_70~79세","2022년_여_80~89세","2022년_여_90~99세","2022년_여_100세 이상"
"전국  (1000000000)","9,724,256","9,724,256","2,667","38,816","1,520,908","1,634,357","1,297,189","1,616,370","1,758,345","1,044,878","699,500","108,446","2,780","5,014,677","5,014,677","1,329","18,474","784,184","1,038,059","835,441","973,455","858,491","347,524","140,285","16,986","449","4,709,579","4,709,579","1,338","20,342","736,724","596,298","461,748","642,915","899,854","697,354","559,215","91,460","2,331"
"서울특별시  (1100000000)","1,952,606","1,952,606","451","9,262","443,805","439,666","254,667","252,533","272,837","171,232","94,418","13,340","395","942,766","942,766","239","3,762","192,293","245,026","145,500","148,324","127,323","56,024","21,689","2,477","109","1,009,840","1,009,840","212","5,500","251,512","194,640","109,167","104,209","145,514","115,208","72,729","10,863","286"
"부산광역시  (2600000000)","635,133","635,133","118","2,317","97,804","90,380","75,409","97,884","130,500","86,689","48,155","5,760","117","300,377","300,377","58","948","46,074","54,458","46,207","56,467","58,469","26,961","9,751","961","23","334,756","334,756","60","1,369","51,730","35,922","29,202","41,417","72,031","59,728","38,404","4,799","94"
"대구광역시  (2700000000)","414,133","414,133","132","1,821","58,067","60,012","51,336","71,869","83,016","51,438","32,062","4,302","78","198,590","198,590","51","768","28,804","38,895","32,078","40,629","35,602","14,962","6,119","673","9","215,543","215,543","81","1,053","29,263","21,117","19,258","31,240","47,414","36,476","25,943","3,629","69"
"인천광역시  (2800000000)","503,860","503,860","171","1,514","71,321","88,337","73,374","89,652","94,566","49,878","30,031","4,867","149","268,644","268,644","86","718","37,645","57,379","48,348","54,418","45,680","17,169","6,432","747","22","235,216","235,216","85","796","33,676","30,958","25,026","35,234","48,886","32,709","23,599","4,120","127"
"광주광역시  (2900000000)","265,358","265,358","69","904","45,600","45,757","37,668","44,157","44,688","27,080","17,055","2,325","55","134,481","134,481","31","389","22,732","29,166","24,759","25,290","19,930","8,475","3,343","361","5","130,877","130,877","38","515","22,868","16,591","12,909","18,867","24,758","18,605","13,712","1,964","50"
"대전광역시  (3000000000)","284,482","284,482","85","1,499","64,167","51,297","35,548","42,491","46,091","25,357","15,580","2,307","60","146,791","146,791","49","689","32,722","33,001","22,491","24,536","20,976","8,411","3,490","421","5","137,691","137,691","36","810","31,445","18,296","13,057","17,955","25,115","16,946","12,090","1,886","55"
"울산광역시  (3100000000)","174,179","174,179","47","307","22,368","27,715","26,488","33,074","35,657","18,250","9,171","1,086","16","98,408","98,408","23","152","14,099","20,066","18,631","20,155","16,902","6,302","1,923","154","1","75,771","75,771","24","155","8,269","7,649","7,857","12,919","18,755","11,948","7,248","932","15"
"세종특별자치시  (3600000000)","55,780","55,780","14","174","10,883","14,269","8,912","8,059","7,216","3,570","2,284","393","6","29,736","29,736","3","70","5,452","8,880","5,422","4,584","3,507","1,248","506","64","0","26,044","26,044","11","104","5,431","5,389","3,490","3,475","3,709","2,322","1,778","329","6"
"경기도  (4100000000)","2,197,601","2,197,601","724","7,141","337,913","427,272","331,574","380,264","375,132","198,911","119,811","18,337","522","1,214,477","1,214,477","352","3,560","190,971","285,283","218,180","232,058","185,051","68,555","27,010","3,346","111","983,124","983,124","372","3,581","146,942","141,989","113,394","148,206","190,081","130,356","92,801","14,991","411"
"강원도  (4200000000)","336,973","336,973","77","1,546","43,247","36,990","38,465","62,418","75,019","42,736","31,298","5,062","115","174,371","174,371","46","854","25,903","24,394","24,787","37,596","38,804","14,759","6,476","741","11","162,602","162,602","31","692","17,344","12,596","13,678","24,822","36,215","27,977","24,822","4,321","104"
"충청북도  (4300000000)","340,801","340,801","103","1,752","50,879","49,068","42,194","60,652","66,738","36,538","28,434","4,337","106","183,155","183,155","46","873","29,766","34,019","28,360","36,581","34,100","12,719","5,945","730","16","157,646","157,646","57","879","21,113","15,049","13,834","24,071","32,638","23,819","22,489","3,607","90"
