"행정구역","2013년_계_총인구수","2013년_계_연령구간인구수","2013년_계_0~4세","2013년_계_5~9세","2013년_계_10~14세","2013년_계_15~19세","2013년_계_20~24세","2013년_계_25~29세","2013년_계_30~34세","2013년_계_35~39세","2013년_계_40~44세","2013년_계_45~49세","2013년_계_50~54세","2013년_계_55~59세","2013년_계_60~64세","2013년_계_65~69세","2013년_계_70~74세","2013년_계_75~79세","2013년_계_80~84세","2013년_계_85~89세","2013년_계_90~94세","2013년_계_95~99세","2013년_계_100세 이상"
"부산광역시  (2600000000)","3,527,635","3,527,635","133,204","130,721","166,576","220,929","241,024","217,618","271,416","246,643","292,074","288,735","329,763","302,788","218,728","164,940","139,282","86,991","46,012","20,729","6,683","1,480","1,299"
"부산광역시 중구 (2611000000)","47,345","47,345","1,239","1,142","1,622","2,247","2,770","2,839","3,535","3,090","3,802","3,623","4,341","4,634","3,611","2,970","2,704","1,589","872","449","164","42","60"
"부산광역시 서구 (2614000000)","118,783","118,783","3,043","3,315","4,699","6,786","7,614","6,932","8,233","6,976","9,121","9,062","11,214","11,022","8,825","7,152","6,609","4,267","2,307","1,071","355","81","99"
"부산광역시 동구 (2617000000)","96,011","96,011","2,689","2,499","3,476","5,023","5,591","5,516","6,878","6,006","7,304","7,099","8,868","8,980","7,348","6,130","5,761","3,776","1,879","832","232","64","60"
"부산광역시 영도구 (2620000000)","135,816","135,816","3,773","3,994","5,543","7,521","8,290","7,755","9,152","8,367","10,269","10,421","12,848","13,083","10,175","8,405","7,642","4,649","2,340","1,057","359","80","93"
"부산광역시 부산진구 (2623000000)","389,765","389,765","14,741","13,321","16,179","21,879","26,844","26,943","33,076","28,174","31,279","30,272","35,132","33,407","24,300","18,720","16,651","10,296","5,235","2,246","740","161","169"
"부산광역시 동래구 (2626000000)","276,689","276,689","9,387","10,335","14,064","18,624","19,365","17,007","20,065","18,827","23,012","23,063","26,166","24,125","17,496","12,894","10,301","6,322","3,395","1,502","540","102","97"
"부산광역시 남구 (2629000000)","291,770","291,770","10,974","11,104","14,040","17,769","20,087","17,850","22,100","20,892","24,792","22,744","25,511","24,632","18,732","14,671","12,417","7,370","3,661","1,705","507","119","93"
"부산광역시 북구 (2632000000)","309,719","309,719","11,872","11,841","16,240","22,762","23,957","19,359","22,469","20,312","25,884","28,365","31,899","25,787","16,760","11,418","9,507","6,009","3,234","1,437","449","93","65"
"부산광역시 해운대구 (2635000000)","425,536","425,536","16,870","18,751","24,456","30,119","28,693","23,655","30,005","31,303","39,864","37,804","38,686","33,241","22,736","17,074","14,415","9,510","5,149","2,246","702","145","112"
"부산광역시 사하구 (2638000000)","349,110","349,110","14,585","13,446","17,087","23,026","24,456","21,897","28,147","24,856","28,846","28,990","33,549","29,802","20,416","14,633","11,615","7,207","3,839","1,862","598","126","127"
"부산광역시 금정구 (2641000000)","253,526","253,526","8,083","8,440","11,463","16,694","19,253","16,349","18,111","16,056","19,676","21,009","24,928","22,503","16,564","12,009","10,059","6,438","3,494","1,603","524","129","141"
"부산광역시 강서구 (2644000000)","69,873","69,873","3,917","3,013","2,888","3,188","3,718","4,020","6,342","5,566","5,256","4,878","6,307","6,321","4,512","3,277","2,925","1,819","1,156","529","179","39","23"
"부산광역시 연제구 (2647000000)","209,290","209,290","7,690","7,875","9,849","12,672","13,875","12,619","16,298","14,802","17,448","16,943","19,173","18,550","13,502","10,243","8,375","5,133","2,618","1,137","364","74","50"
"부산광역시 수영구 (2650000000)","175,098","175,098","5,757","5,719","7,168","9,787","11,322","11,456","14,395","12,241","14,025","12,834","15,591","16,102","12,307","9,681","7,647","4,661","2,730","1,207","347","82","39"
"부산광역시 사상구 (2653000000)","246,797","246,797","9,578","8,616","10,799","15,686","18,461","16,802","20,107","16,806","19,491","22,140","25,964","21,637","14,536","10,002","7,813","4,650","2,269","1,006","313","75","46"
"부산광역시 기장군 (2671000000)","132,507","132,507","9,006","7,310","7,003","7,146","6,728","6,619","12,503","12,369","12,005","9,488","9,586","8,962","6,908","5,661","4,841","3,295","1,834","840","310","68","25"
