"행정구역","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~4세","2021년_계_5~9세","2021년_계_10~14세","2021년_계_15~19세","2021년_계_20~24세","2021년_계_25~29세","2021년_계_30~34세","2021년_계_35~39세","2021년_계_40~44세","2021년_계_45~49세","2021년_계_50~54세","2021년_계_55~59세","2021년_계_60~64세","2021년_계_65~69세","2021년_계_70~74세","2021년_계_75~79세","2021년_계_80~84세","2021년_계_85~89세","2021년_계_90~94세","2021년_계_95~99세","2021년_계_100세 이상"
"전국  (0000000000)","51,638,809","51,638,809","1,530,469","2,229,881","2,364,196","2,345,120","3,121,322","3,534,601","3,216,061","3,507,374","3,992,831","4,173,961","4,526,822","4,108,389","4,136,749","3,027,963","2,109,712","1,605,372","1,201,825","633,656","217,247","47,297","7,961"
"서울특별시  (1100000000)","9,509,458","9,509,458","244,538","339,145","367,879","388,257","603,077","819,200","736,001","703,278","729,566","751,214","801,892","705,302","722,662","563,260","396,569","299,231","199,138","95,871","33,815","7,920","1,643"
"부산광역시  (2600000000)","3,350,380","3,350,380","87,778","131,833","133,297","132,808","194,686","220,863","194,498","210,802","249,223","253,168","283,992","270,776","304,771","244,107","175,111","123,017","84,624","39,167","12,867","2,590","402"
"대구광역시  (2700000000)","2,385,412","2,385,412","66,357","101,466","107,087","111,450","150,657","158,264","136,780","148,085","176,972","195,583","219,286","200,158","196,207","146,084","104,441","73,387","55,039","27,742","8,479","1,643","245"
"인천광역시  (2800000000)","2,948,375","2,948,375","88,754","128,630","137,016","134,115","177,952","213,099","193,549","208,542","238,044","243,022","262,497","248,472","239,252","159,876","102,577","76,667","53,953","28,900","10,569","2,472","417"
"광주광역시  (2900000000)","1,441,611","1,441,611","45,349","68,716","75,021","77,383","103,128","103,344","84,397","96,792","114,283","121,884","126,905","108,859","102,259","69,865","54,408","40,139","28,532","14,104","4,994","1,072","177"
"대전광역시  (3000000000)","1,452,251","1,452,251","43,471","64,077","69,695","72,480","100,236","109,161","93,164","96,505","110,877","120,141","129,577","110,440","111,220","79,294","53,290","39,100","28,193","15,006","5,086","1,069","169"
"울산광역시  (3100000000)","1,121,592","1,121,592","36,524","55,494","56,685","53,305","65,888","71,534","67,456","77,435","91,676","92,278","106,777","100,279","93,300","62,475","38,693","24,331","16,051","8,068","2,673","603","67"
"세종특별자치시  (3600000000)","371,895","371,895","19,998","27,065","25,992","19,802","17,528","20,982","27,081","34,638","38,999","33,765","28,013","20,863","19,706","13,816","8,733","6,042","4,665","2,892","1,071","217","27"
"경기도  (4100000000)","13,565,450","13,565,450","451,584","648,343","673,470","647,535","839,318","958,951","899,899","1,000,548","1,136,759","1,159,414","1,213,970","1,060,874","993,321","676,280","435,645","337,928","245,205","129,283","45,080","10,283","1,760"
"강원도  (4200000000)","1,538,492","1,538,492","42,371","58,600","65,395","68,490","89,259","86,165","76,692","86,125","102,885","116,537","133,400","131,186","148,211","111,947","68,389","64,238","51,114","25,472","9,372","2,286","358"
"충청북도  (4300000000)","1,597,427","1,597,427","48,252","68,723","73,830","72,581","92,950","101,465","89,632","100,975","113,768","123,559","139,383","131,491","139,302","102,395","65,336","54,732","44,266","24,927","7,933","1,659","268"
"충청남도  (4400000000)","2,119,257","2,119,257","66,394","96,332","102,846","97,827","116,853","121,444","119,176","140,389","160,243","165,176","177,805","162,786","172,007","127,794","96,915","75,152","64,308","39,865","12,831","2,697","417"
"전라북도  (4500000000)","1,786,855","1,786,855","46,252","73,421","83,690","86,438","107,426","99,153","83,512","98,669","120,748","138,927","154,042","144,612","152,346","116,047","95,579","74,758","60,589","35,402","12,442","2,397","405"
"전라남도  (4600000000)","1,832,803","1,832,803","50,563","73,149","81,264","81,884","100,470","93,265","79,963","98,465","118,947","133,307","156,395","156,068","163,865","121,006","104,632","86,390","75,612","39,878","14,204","3,012","464"
"경상북도  (4700000000)","2,626,609","2,626,609","72,134","106,381","110,844","111,120","139,367","136,654","128,064","151,411","179,407","197,773","228,104","226,323","242,715","190,332","139,126","105,025","89,949","51,014","16,860","3,453","553"
"경상남도  (4800000000)","3,314,183","3,314,183","97,104","153,565","163,834","155,627","182,871","179,790","169,872","210,014","256,582","270,814","303,598","276,181","285,952","208,161","144,807","104,913","84,787","46,635","15,664","3,018","394"
"제주특별자치도  (5000000000)","676,759","676,759","23,046","34,941","36,351","34,018","39,656","41,267","36,325","44,701","53,852","57,399","61,186","53,719","49,653","35,224","25,461","20,322","15,800","9,430","3,307","906","195"
