"행정구역","2014년12월_전체세대","2014년12월_1인세대","2014년12월_2인세대","2014년12월_3인세대","2014년12월_4인세대","2014년12월_5인세대","2014년12월_6인세대","2014년12월_7인세대","2014년12월_8인세대","2014년12월_9인세대","2014년12월_10인이상세대"
"부산광역시  (2600000000)","1,421,648","459,063","317,071","281,875","272,066","70,198","16,182","3,694","987","281","231"
"부산광역시 중구 (2611000000)","23,493","11,635","5,105","3,439","2,376","670","197","49","13","3","6"
"부산광역시 서구 (2614000000)","53,417","22,465","12,164","8,782","7,192","2,050","571","129","40","9","15"
"부산광역시 동구 (2617000000)","43,728","18,558","10,241","7,184","5,563","1,632","413","96","24","10","7"
"부산광역시 영도구 (2620000000)","56,580","20,092","13,923","10,660","8,635","2,435","615","167","35","10","8"
"부산광역시 부산진구 (2623000000)","165,056","60,546","37,127","30,367","27,662","7,205","1,654","358","98","23","16"
"부산광역시 동래구 (2626000000)","107,023","31,424","23,140","21,921","22,874","5,869","1,344","324","84","22","21"
"부산광역시 남구 (2629000000)","114,412","35,166","26,104","23,312","22,134","5,856","1,379","323","94","24","20"
"부산광역시 북구 (2632000000)","115,869","30,895","25,039","24,553","27,020","6,635","1,346","262","84","25","10"
"부산광역시 해운대구 (2635000000)","162,347","45,606","34,694","34,578","36,119","8,791","1,949","435","116","36","23"
"부산광역시 사하구 (2638000000)","134,877","40,020","29,871","28,140","27,997","6,915","1,474","349","70","26","15"
"부산광역시 금정구 (2641000000)","100,616","32,628","22,260","19,918","19,177","5,019","1,196","287","77","19","35"
"부산광역시 강서구 (2644000000)","33,165","12,100","7,072","5,899","5,801","1,675","452","113","35","12","6"
"부산광역시 연제구 (2647000000)","83,188","25,854","18,749","16,883","16,358","4,091","975","182","65","18","13"
"부산광역시 수영구 (2650000000)","74,356","24,975","17,760","14,815","12,388","3,330","822","203","42","15","6"
"부산광역시 사상구 (2653000000)","96,915","30,511","20,846","19,699","19,622","4,829","1,066","256","57","17","12"
"부산광역시 기장군 (2671000000)","56,606","16,588","12,976","11,725","11,148","3,196","729","161","53","12","18"
