"행정구역","2012년12월_전체세대","2012년12월_1인세대","2012년12월_2인세대","2012년12월_3인세대","2012년12월_4인세대","2012년12월_5인세대","2012년12월_6인세대","2012년12월_7인세대","2012년12월_8인세대","2012년12월_9인세대","2012년12월_10인이상세대"
"전국  (1000000000)","20,211,770","6,736,745","4,022,460","3,748,862","4,166,064","1,172,250","273,461","66,083","16,778","5,021","4,046"
"서울특별시  (1100000000)","4,177,970","1,499,877","795,708","778,231","840,592","204,730","44,861","10,115","2,555","762","539"
"부산광역시  (2600000000)","1,389,526","428,885","293,306","280,825","288,015","75,577","17,368","4,024","973","300","253"
"대구광역시  (2700000000)","948,652","272,561","188,995","194,816","217,602","57,655","13,047","2,975","674","189","138"
"인천광역시  (2800000000)","1,097,491","337,213","209,893","219,321","250,950","62,882","13,243","2,943","705","203","138"
"광주광역시  (2900000000)","555,538","169,825","105,144","105,590","120,605","42,183","9,310","2,119","502","135","125"
"대전광역시  (3000000000)","575,600","171,749","109,265","112,582","131,221","39,202","8,710","2,104","527","131","109"
"울산광역시  (3100000000)","422,177","115,888","76,088","85,882","110,381","26,971","5,257","1,250","302","91","67"
"세종특별자치시  (3600000000)","46,592","17,559","9,489","7,430","7,922","3,048","838","223","49","18","16"
"경기도  (4100000000)","4,639,665","1,451,421","853,061","887,152","1,086,444","280,377","61,708","14,069","3,557","1,110","766"
"강원도  (4200000000)","655,301","250,062","144,816","109,226","104,175","34,518","9,268","2,346","598","153","139"
"충청북도  (4300000000)","633,166","220,292","135,179","109,693","116,362","38,623","9,667","2,417","587","183","163"
"충청남도  (4400000000)","842,446","311,626","182,153","137,822","143,966","48,916","12,907","3,650","911","260","235"
"전라북도  (4500000000)","760,189","267,623","168,775","127,465","127,193","50,079","13,705","3,711","1,001","327","310"
"전라남도  (4600000000)","808,682","310,108","187,405","123,661","117,786","49,579","14,184","4,123","1,163","370","303"
"경상북도  (4700000000)","1,125,195","407,530","251,954","192,209","192,552","59,723","15,577","3,938","1,119","296","297"
"경상남도  (4800000000)","1,301,439","419,511","267,858","238,343","270,045","80,305","18,850","4,604","1,198","361","364"
"제주특별자치도  (5000000000)","232,141","85,015","43,371","38,614","40,253","17,882","4,961","1,472","357","132","84"
