"행정구역","2010년12월_전체세대","2010년12월_1인세대","2010년12월_2인세대","2010년12월_3인세대","2010년12월_4인세대","2010년12월_5인세대","2010년12월_6인세대","2010년12월_7인세대","2010년12월_8인세대","2010년12월_9인세대","2010년12월_10인이상세대"
"전국  (1000000000)","19,865,179","6,610,998","3,803,789","3,654,436","4,224,275","1,198,064","281,030","67,108","16,635","4,951","3,893"
"서울특별시  (1100000000)","4,224,181","1,537,711","777,477","774,466","864,711","211,224","45,030","9,893","2,478","700","491"
"부산광역시  (2600000000)","1,371,346","410,637","275,049","278,372","302,283","80,727","18,516","4,264","942","321","235"
"대구광역시  (2700000000)","934,598","262,191","177,285","191,409","225,299","60,858","13,637","2,917","688","173","141"
"인천광역시  (2800000000)","1,059,664","329,719","192,470","208,901","249,894","61,929","13,062","2,765","618","176","130"
"광주광역시  (2900000000)","540,875","162,092","97,981","102,150","122,207","43,683","9,736","2,195","558","150","123"
"대전광역시  (3000000000)","555,768","161,020","100,152","107,937","133,570","40,694","9,411","2,149","546","161","128"
"울산광역시  (3100000000)","405,501","107,853","68,332","81,224","112,873","27,967","5,651","1,154","303","82","62"
"경기도  (4100000000)","4,527,282","1,446,665","801,591","850,617","1,073,527","276,075","60,243","13,550","3,341","982","691"
"강원도  (4200000000)","639,001","237,947","137,156","107,402","107,244","35,953","9,880","2,545","593","157","124"
"충청북도  (4300000000)","617,431","211,993","126,725","107,485","117,858","39,633","10,198","2,606","592","181","160"
"충청남도  (4400000000)","854,432","315,582","179,798","139,032","148,988","51,216","14,217","4,044","1,011","284","260"
"전라북도  (4500000000)","740,650","251,694","159,960","125,528","130,550","52,365","14,682","4,095","1,101","368","307"
"전라남도  (4600000000)","799,520","301,047","181,133","122,441","121,762","52,046","14,968","4,296","1,165","348","314"
"경상북도  (4700000000)","1,101,486","391,434","238,258","187,921","198,286","62,804","16,871","4,261","1,069","308","274"
"경상남도  (4800000000)","1,268,731","401,141","250,382","232,583","274,991","82,878","19,882","4,849","1,239","427","359"
"제주특별자치도  (5000000000)","224,713","82,272","40,040","36,968","40,232","18,012","5,046","1,525","391","133","94"
