"행정구역","2019년12월_전체세대","2019년12월_1인세대","2019년12월_2인세대","2019년12월_3인세대","2019년12월_4인세대","2019년12월_5인세대","2019년12월_6인세대","2019년12월_7인세대","2019년12월_8인세대","2019년12월_9인세대","2019년12월_10인이상세대"
"전국  (1000000000)","22,481,466","8,488,621","5,129,120","4,005,553","3,634,837","948,536","205,246","48,850","13,174","3,995","3,534"
"서울특별시  (1100000000)","4,327,605","1,754,933","918,378","765,546","679,419","160,376","35,909","9,072","2,574","802","596"
"부산광역시  (2600000000)","1,497,908","555,793","365,110","277,089","227,855","56,067","12,116","2,732","720","230","196"
"대구광역시  (2700000000)","1,031,251","358,352","242,380","198,725","178,192","42,481","8,634","1,848","421","100","118"
"인천광역시  (2800000000)","1,238,641","430,821","277,501","240,508","220,683","54,431","11,154","2,524","647","216","156"
"광주광역시  (2900000000)","616,485","224,995","137,075","111,136","104,158","31,371","6,023","1,214","335","89","89"
"대전광역시  (3000000000)","635,343","239,247","141,524","113,543","105,142","28,212","5,831","1,282","371","90","101"
"울산광역시  (3100000000)","468,659","150,941","105,926","94,537","91,778","20,593","3,775","791","204","61","53"
"세종특별자치시  (3600000000)","135,408","43,719","27,900","26,255","28,015","7,604","1,425","354","86","30","20"
"경기도  (4100000000)","5,468,920","1,886,202","1,181,615","1,043,308","1,033,313","254,066","52,728","12,513","3,438","1,023","714"
"강원도  (4200000000)","719,524","304,301","179,762","112,489","88,114","26,299","6,366","1,598","391","101","103"
"충청북도  (4300000000)","722,123","292,456","174,904","115,506","100,387","30,090","6,602","1,559","376","113","130"
"충청남도  (4400000000)","959,255","391,284","230,962","150,933","133,498","40,096","9,206","2,276","630","198","172"
"전라북도  (4500000000)","816,191","327,085","202,592","128,958","108,208","37,195","8,901","2,211","621","175","245"
"전라남도  (4600000000)","872,628","376,808","219,030","125,654","101,355","36,912","9,194","2,426","737","237","275"
"경상북도  (4700000000)","1,227,548","501,690","312,223","196,377","159,107","44,337","10,325","2,402","636","204","247"
"경상남도  (4800000000)","1,450,822","530,845","348,485","257,938","234,473","62,030","12,909","2,942","702","233","265"
"제주특별자치도  (5000000000)","293,155","119,149","63,753","47,051","41,140","16,376","4,148","1,106","285","93","54"
